method,site_key,profile,deployment,year,alt_cm,right_censored,alt_lo,alt_hi,coverage,peak_day,n_days,peak_days,depth_max_cm,n_layers,depth_reversed,obs_start,obs_end,core_top,core_bot,stefan_clim_cm,stefan_year_cm,s1_catboost_cm,s1_ftt_cm,s1_ens7_cm,above_near_obs_cm,cell_dist_km
isotherm_0C,ID13_B,ID13,B,2025,80.0,1,80.0,inf,full,2025-05-01,129.0,51.0,80.0,8.0,0,2025-05-01,2025-09-20,,,59.6,,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID20_B,ID20,B,2024,127.2,0,120.0,130.0,peak_tail,2024-09-10,53.0,4.0,160.0,16.0,0,2024-09-07,2024-10-31,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID20_B,ID20,B,2025,136.4,0,130.0,140.0,full,2025-08-07,124.0,51.0,160.0,16.0,0,2025-05-01,2025-09-15,,,59.6,,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID21_B,ID21,B,2024,128.6,0,120.0,130.0,peak_tail,2024-09-11,53.0,4.0,160.0,14.0,0,2024-09-07,2024-10-31,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID21_B,ID21,B,2025,153.1,0,150.0,160.0,partial_end,2025-08-06,112.0,44.0,160.0,14.0,0,2025-05-01,2025-09-03,,,59.6,,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID22_B,ID22,B,2024,125.9,0,120.0,130.0,peak_tail,2024-09-10,53.0,4.0,160.0,16.0,0,2024-09-07,2024-10-31,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID22_B,ID22,B,2025,140.0,0,140.0,150.0,full,2025-08-18,127.0,51.0,160.0,16.0,0,2025-05-01,2025-09-18,,,59.6,,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID23_B,ID23,B,2024,160.0,1,160.0,inf,peak_tail,2024-09-07,53.0,4.0,160.0,16.0,0,2024-09-07,2024-10-31,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID23_B,ID23,B,2025,160.0,1,160.0,inf,partial_end,2025-07-31,101.0,33.0,160.0,16.0,0,2025-05-01,2025-08-17,,,59.6,,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID24_B,ID24,B,2024,116.1,0,100.0,120.0,peak_tail,2024-09-10,53.0,4.0,160.0,15.0,0,2024-09-07,2024-10-31,,,59.6,52.5,53.0,55.0,53.8,35.0,0.97
isotherm_0C,ID24_B,ID24,B,2025,121.1,0,120.0,130.0,full,2025-08-03,120.0,51.0,160.0,15.0,0,2025-05-01,2025-09-11,,,59.6,,53.0,55.0,53.8,35.0,0.97
core_2022,SF1_C,SF1,core,2022,86.0,0,86.0,86.0,core,,,,,,0,,,26.0,112.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF1_H,SF1,core,2022,87.0,0,87.0,87.0,core,,,,,,0,,,33.0,120.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF1_L,SF1,core,2022,83.0,0,83.0,83.0,core,,,,,,0,,,30.0,113.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF2_C,SF2,core,2022,81.0,0,81.0,81.0,core,,,,,,0,,,30.0,111.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF2_H,SF2,core,2022,84.0,0,84.0,84.0,core,,,,,,0,,,27.0,111.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF2_L,SF2,core,2022,85.0,0,85.0,85.0,core,,,,,,0,,,29.0,114.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF3_C,SF3,core,2022,77.0,0,77.0,77.0,core,,,,,,0,,,33.0,110.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF3_H,SF3,core,2022,77.0,0,77.0,77.0,core,,,,,,0,,,31.0,108.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF3_L,SF3,core,2022,81.0,0,81.0,81.0,core,,,,,,0,,,31.0,112.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF4_C,SF4,core,2022,74.0,0,74.0,74.0,core,,,,,,0,,,36.0,110.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF4_H,SF4,core,2022,76.0,0,76.0,76.0,core,,,,,,0,,,28.0,104.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF4_L,SF4,core,2022,81.0,0,81.0,81.0,core,,,,,,0,,,36.0,117.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF5_C,SF5,core,2022,79.0,0,79.0,79.0,core,,,,,,0,,,31.0,110.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF5_H,SF5,core,2022,84.0,0,84.0,84.0,core,,,,,,0,,,27.0,111.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF5_L,SF5,core,2022,88.0,0,88.0,88.0,core,,,,,,0,,,19.0,107.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF6_C,SF6,core,2022,87.0,0,87.0,87.0,core,,,,,,0,,,25.0,112.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF6_H,SF6,core,2022,72.0,0,72.0,72.0,core,,,,,,0,,,32.0,104.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
core_2022,SF6_L,SF6,core,2022,82.0,0,82.0,82.0,core,,,,,,0,,,27.0,109.0,59.6,56.6,53.0,55.0,53.8,35.0,0.97
