lat,lon,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe
71.3167,-156.6,-7.726895809173584,449.57373046875,3245.4922485351562,21.203153785905293,5.65899658203125,-20.974624633789062,-1.8505960702896118,0.04529404640197754
71.3167,-156.5833,-7.726895809173584,449.57373046875,3245.4922485351562,21.203153785905293,5.65899658203125,-20.974624633789062,-1.8505960702896118,0.04529404640197754
70.45,-157.4,-7.538575649261475,815.647216796875,3539.690673828125,28.559538105453928,10.761871337890625,-23.735031127929688,-0.4406280517578125,0.040392253547906876
70.3745,-148.5522,,,,,,,,
70.3667,-148.5667,,,,,,,,
70.1613,-148.4653,-7.959259033203125,678.8207702636719,3556.9395599365234,26.054189111612587,8.73614501953125,-23.342453002929688,-0.7593638300895691,0.04032885655760765
70.2833,-148.8667,-7.997859954833984,654.3119506835938,3546.526580810547,25.57952209646603,8.42431640625,-23.227554321289062,-1.4949365854263306,0.03830802068114281
70.2835,-148.8928,-7.997859954833984,654.3119506835938,3546.526580810547,25.57952209646603,8.42431640625,-23.227554321289062,-1.4949365854263306,0.03830802068114281
70.275,-148.919,-7.997859954833984,654.3119506835938,3546.526580810547,25.57952209646603,8.42431640625,-23.227554321289062,-1.4949365854263306,0.03830802068114281
69.6739,-148.7219,-7.916646480560303,870.9507141113281,3732.5765991210938,29.511874120620128,11.50762939453125,-24.452484130859375,-0.10048166662454605,0.046654969453811646
69.1466,-148.8483,-7.935438632965088,946.5900573730469,3815.492935180664,30.766703713154694,12.228668212890625,-24.398056030273438,0.5273106694221497,0.06401119381189346
69.1482,-148.8505,-7.916014194488525,944.2830505371094,3806.234130859375,30.72918890138673,12.21826171875,-24.391876220703125,0.5570933222770691,0.06357480585575104
69.1288,-148.5928,-7.6344170570373535,948.0073852539062,3707.612808227539,30.789728567395755,12.17431640625,-23.831008911132812,0.33053335547447205,0.05998648703098297
68.6114,-149.3101,-8.521889686584473,739.0660705566406,3823.3618774414062,27.185769633332814,10.48614501953125,-23.114913940429688,-0.43351998925209045,0.0901748314499855
68.611,-149.3145,-8.521889686584473,739.0660705566406,3823.3618774414062,27.185769633332814,10.48614501953125,-23.114913940429688,-0.43351998925209045,0.0901748314499855
68.611,-149.3093,-8.521889686584473,739.0660705566406,3823.3618774414062,27.185769633332814,10.48614501953125,-23.114913940429688,-0.43351998925209045,0.0901748314499855
68.6215,-149.6063,-8.2219820022583,780.2532348632812,3755.425048828125,27.933013350930853,10.88525390625,-23.057632446289062,-0.24675242602825165,0.0881476178765297
68.624,-149.6182,-8.2219820022583,780.2532348632812,3755.425048828125,27.933013350930853,10.88525390625,-23.057632446289062,-0.24675242602825165,0.0881476178765297
68.6167,-149.6,-8.2219820022583,780.2532348632812,3755.425048828125,27.933013350930853,10.88525390625,-23.057632446289062,-0.24675242602825165,0.0881476178765297
68.4774,-149.5024,-8.520755767822266,692.6470947265625,3777.546676635742,26.31818942721103,10.04376220703125,-22.983413696289062,-0.6407114863395691,0.08989784121513367
68.0691,-149.5804,-8.80331039428711,600.396728515625,3788.0979766845703,24.502994276529247,9.07501220703125,-22.881195068359375,-0.6584218144416809,0.08053771406412125
68.4833,-155.7333,-7.68408203125,830.5691528320312,3610.647994995117,28.819596680592724,11.60791015625,-23.063812255859375,0.45371246337890625,0.0705537274479866
69.5006,-148.5592,-7.894613742828369,932.3966674804688,3785.993194580078,30.535170991505332,12.080230712890625,-24.486984252929688,0.28653207421302795,0.05328265205025673
69.441,-148.6703,-8.067981719970703,932.4406433105469,3849.1348419189453,30.53589106789823,12.11993408203125,-24.763031005859375,0.46982574462890625,0.05777084827423096
69.401,-148.8056,-8.050808906555176,929.9315185546875,3840.3970489501953,30.49477854575579,12.11016845703125,-24.761398315429688,0.4868672788143158,0.0573652982711792
70.8645,-153.9067,,,,,,,,
69.9896,-153.0938,-7.670600891113281,855.4183959960938,3626.6963653564453,29.247536579959924,11.44775390625,-24.229507446289062,0.06932830810546875,0.04173639044165611
70.3352,-152.052,-7.831602573394775,749.6557312011719,3580.491455078125,27.379841694231395,9.880035400390625,-23.732437133789062,-0.6084874272346497,0.03770244121551514
69.1704,-158.0067,-7.491757869720459,845.9699401855469,3554.762191772461,29.085562401052982,11.76806640625,-23.284835815429688,0.0888620987534523,0.05998901650309563
69.3957,-152.1428,-7.8116326332092285,949.3960266113281,3771.4178314208984,30.812270714949396,12.56005859375,-25.092453002929688,0.16839599609375,0.04694155976176262
70.1959,-161.0781,-6.771298885345459,772.3965759277344,3217.9788665771484,27.792023602604658,9.681793212890625,-22.188812255859375,-0.14139048755168915,0.05123018100857735
69.8894,-142.9839,-7.497617244720459,612.7777709960938,3323.4017333984375,24.754348526998115,7.84912109375,-20.988937377929688,-0.6991729736328125,0.04687085375189781
69.7516,-154.6176,-7.580567836761475,930.4631042480469,3668.2962951660156,30.50349331221011,12.39990234375,-24.844406127929688,0.08723195642232895,0.044188935309648514
69.7776,-144.7933,-7.632302761077881,722.5352783203125,3481.7049865722656,26.880016337798466,9.865386962890625,-21.838882446289062,-0.18677520751953125,0.05559122934937477
70.6285,-156.8353,-7.666912078857422,751.943115234375,3523.2242126464844,27.421581195007246,9.90771484375,-23.308273315429688,-0.7015253901481628,0.04040176793932915
69.972,-144.7706,-7.309820652008057,575.4649658203125,3219.0252380371094,23.988850864939582,7.256988525390625,-20.644210815429688,-1.114672303199768,0.04995502158999443
69.1555,-158.0305,-7.491757869720459,845.9699401855469,3554.762191772461,29.085562401052982,11.76806640625,-23.284835815429688,0.0888620987534523,0.05998901650309563
68.6816,-144.8421,-8.9639253616333,812.9429931640625,4054.420181274414,28.512155182729742,11.08544921875,-23.519866943359375,-0.8975753784179688,0.05816628038883209
70.0366,-157.0814,-7.367028713226318,889.6273803710938,3550.6942749023438,29.826622007379477,11.80450439453125,-24.162765502929688,-0.49054208397865295,0.042925719171762466
70.5685,-152.965,-7.937123775482178,631.6319580078125,3502.2249908447266,25.132289151762766,8.25146484375,-22.946945190429688,-1.3641000986099243,0.037910304963588715
70.7233,-153.836,-7.902620792388916,627.3422546386719,3485.487335205078,25.046801285566822,8.21630859375,-22.778335571289062,-2.164578676223755,0.039129588752985
66.45,-150.6167,-3.7986972332000732,1504.0155334472656,2860.9440307617188,38.78163912790775,15.013824462890625,-20.925460815429688,2.3082351684570312,0.06362409889698029
65.1667,-147.9,-2.239718198776245,1746.31103515625,2535.6473693847656,41.78888650294777,15.922027587890625,-20.370773315429688,3.10687255859375,0.044595733284950256
64.7,-148.1333,-0.062071483582258224,2181.7355346679688,2176.3514862060547,46.70905195642456,18.18243408203125,-19.944351196289062,3.8076655864715576,0.02627757005393505
64.9,-147.8167,-0.35175958275794983,2056.3458862304688,2157.693618774414,45.34695013151897,17.51220703125,-19.466812133789062,3.6983439922332764,0.02821209281682968
64.88,-147.67,-0.3196907043457031,2038.7533874511719,2128.699478149414,45.152556820751265,17.38037109375,-19.147140502929688,3.6218998432159424,0.027739522978663445
62.55,-143.3667,-4.2030487060546875,1155.2821350097656,2664.0665588378906,33.98944152247527,11.69903564453125,-20.021163940429688,0.6265335083007812,0.06930503249168396
62.5167,-143.3667,-4.2030487060546875,1155.2821350097656,2664.0665588378906,33.98944152247527,11.69903564453125,-20.021163940429688,0.6265335083007812,0.06930503249168396
63.0213,-163.5607,0.5084025263786316,1676.6913757324219,1471.4286193847656,40.94742208897188,13.607574462890625,-12.77899169921875,3.42718505859375,0.03861356899142265
62.7848,-164.5262,0.4729512631893158,1662.7450561523438,1470.7434387207031,40.776771036367556,13.19287109375,-12.896484375,3.3943355083465576,0.03845813497900963
61.5279,-165.6178,0.8088023066520691,1620.2060241699219,1307.1515808105469,40.251782869457124,12.37188720703125,-11.69989013671875,3.77923321723938,0.048023421317338943
61.879,-162.0576,0.6448542475700378,1790.6239624023438,1536.1360168457031,42.315764939350245,14.30157470703125,-14.157562255859375,3.658655881881714,0.045636456459760666
62.0476,-163.2341,0.7125065922737122,1768.606689453125,1489.3140258789062,42.05480578308649,13.91455078125,-13.48602294921875,3.5053889751434326,0.04629817232489586
65.8282,-144.0784,-3.098663330078125,2016.3410339355469,3111.47802734375,44.90368619540657,18.30450439453125,-25.219406127929688,2.7033588886260986,0.029915226623415947
66.6208,-145.1035,-2.764789581298828,2085.5538940429688,3056.029571533203,45.66786500421241,19.34649658203125,-24.264984130859375,2.32464337348938,0.02135046385228634
65.6572,-149.0844,-3.2548065185546875,1858.6981506347656,3012.6639251708984,43.11262170913253,17.28009033203125,-23.995452880859375,3.1685588359832764,0.04143036901950836
64.7333,-156.7833,-1.0231958627700806,1928.5103454589844,2275.692901611328,43.9148078153484,17.00537109375,-21.551773071289062,3.32928204536438,0.040977705270051956
64.7777,-141.1095,-2.996936798095703,1789.3634643554688,2850.7447967529297,42.30086836408289,16.19482421875,-22.644866943359375,2.1357879638671875,0.041132424026727676
66.5449,-152.6454,-3.465609312057495,1773.4972839355469,3007.520950317383,42.112911131095494,16.921051025390625,-25.364913940429688,2.9173405170440674,0.05473275110125542
64.7349,-155.4846,-1.237364411354065,1846.0262451171875,2271.813766479492,42.965407540452674,16.52423095703125,-20.701187133789062,3.048495054244995,0.04994228482246399
65.3699,-147.0609,-3.236738920211792,1533.50146484375,2688.2555084228516,39.15994720174875,14.67559814453125,-19.675796508789062,2.4978764057159424,0.06108110025525093
68.1301,-145.5401,-8.29318618774414,1151.8269958496094,4142.270538330078,33.93857680943044,13.60888671875,-26.304367065429688,0.27996572852134705,0.050797995179891586
67.0383,-146.4026,-2.716719388961792,2023.9757690429688,2977.4384765625,44.988618216644184,19.150543212890625,-22.626312255859375,2.5821101665496826,0.026123113930225372
64.5545,-149.0834,0.0449422188103199,2178.1251525878906,2133.7816772460938,46.67038839122608,18.31622314453125,-19.440765380859375,3.988492250442505,0.02430511824786663
63.6748,-144.146,-1.8187967538833618,1818.1423645019531,2453.049530029297,42.63968063320776,15.86376953125,-20.673843383789062,2.713778257369995,0.039361581206321716
64.8442,-163.7202,-1.8429946899414062,1440.0744934082031,2091.306915283203,37.94831344616257,13.364410400390625,-16.938812255859375,2.515345335006714,0.09497656673192978
65.454,-164.6268,-3.129474639892578,1311.0167846679688,2429.8343963623047,36.20796576263252,12.75048828125,-18.698898315429688,1.6329370737075806,0.05628911033272743
78.8833,-75.9167,-15.717963218688965,197.0096435546875,5899.360107421875,14.036012380825527,4.72344970703125,-31.095504760742188,-23.80458641052246,10.0
69.7197,-134.4619,,,,,,,,
69.3692,-134.9486,-7.136694431304932,856.0730895996094,3429.2122192382812,29.258726725536253,9.60528564453125,-22.002609252929688,0.0027643840294331312,0.046424269676208496
