split,model,rmse
사이트분리,NF v2 (FF+3앙상블),2.36
사이트분리,GBM,1.31
사이트분리,IDW-3,1.3
지역전이,NF v2 (FF+3앙상블),2.36
지역전이,GBM,1.4
지역전이,IDW-3,1.69
