cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
labels,Lena,0,0,none,none,0.0,catboost_lo,1.0,17.048,4.54,1496
labels,Lena,0,1,none,none,0.0,catboost_lo,1.0,16.078,2.305,1496
labels,Lena,0,2,none,none,0.0,catboost_lo,1.0,15.405,3.406,1496
labels,Lena,0,0,stefan,none,0.0,ridge,0.0,15.976,6.953,1496
labels,Lena,0,0,stefan,none,0.0,ridge,0.25,16.636,7.371,1496
labels,Lena,0,0,stefan,none,0.0,ridge,0.5,17.519,7.788,1496
labels,Lena,0,0,stefan,none,0.0,ridge,0.75,18.593,8.206,1496
labels,Lena,0,0,stefan,none,0.0,ridge,1.0,19.826,8.623,1496
labels,Lena,0,1,stefan,none,0.0,ridge,0.0,15.976,6.953,1496
labels,Lena,0,1,stefan,none,0.0,ridge,0.25,16.636,7.371,1496
labels,Lena,0,1,stefan,none,0.0,ridge,0.5,17.519,7.788,1496
labels,Lena,0,1,stefan,none,0.0,ridge,0.75,18.593,8.206,1496
labels,Lena,0,1,stefan,none,0.0,ridge,1.0,19.826,8.623,1496
labels,Lena,0,2,stefan,none,0.0,ridge,0.0,15.976,6.953,1496
labels,Lena,0,2,stefan,none,0.0,ridge,0.25,16.636,7.371,1496
labels,Lena,0,2,stefan,none,0.0,ridge,0.5,17.519,7.788,1496
labels,Lena,0,2,stefan,none,0.0,ridge,0.75,18.593,8.206,1496
labels,Lena,0,2,stefan,none,0.0,ridge,1.0,19.826,8.623,1496
labels,Lena,0,0,stefan,none,0.0,mlp,0.0,15.976,6.953,1496
labels,Lena,0,0,stefan,none,0.0,mlp,0.25,15.558,6.16,1496
labels,Lena,0,0,stefan,none,0.0,mlp,0.5,15.28,5.367,1496
labels,Lena,0,0,stefan,none,0.0,mlp,0.75,15.148,4.574,1496
labels,Lena,0,0,stefan,none,0.0,mlp,1.0,15.167,3.781,1496
labels,Lena,0,1,stefan,none,0.0,mlp,0.0,15.976,6.953,1496
labels,Lena,0,1,stefan,none,0.0,mlp,0.25,15.897,6.85,1496
labels,Lena,0,1,stefan,none,0.0,mlp,0.5,15.935,6.747,1496
labels,Lena,0,1,stefan,none,0.0,mlp,0.75,16.09,6.643,1496
labels,Lena,0,1,stefan,none,0.0,mlp,1.0,16.357,6.54,1496
labels,Lena,0,2,stefan,none,0.0,mlp,0.0,15.976,6.953,1496
labels,Lena,0,2,stefan,none,0.0,mlp,0.25,15.332,5.881,1496
labels,Lena,0,2,stefan,none,0.0,mlp,0.5,14.852,4.81,1496
labels,Lena,0,2,stefan,none,0.0,mlp,0.75,14.553,3.738,1496
