setting,region,seed,lam,n,family,anchor,resid,pseudo,r,rmse_cm,bias_cm,ci_lo,ci_hi,error
indomain,Alaska,-1,0.0,6803,analytic,stefan,none,none,0.0,17.851,7.805,15.390377433017383,22.16913650069963,
indomain,Alaska,0,1.0,6803,model,none,catboost,none,0.0,16.359,-1.05,13.42256719856936,20.103427308828238,
indomain,Alaska,1,1.0,6803,model,none,catboost,none,0.0,16.332,0.244,13.614776511189996,21.192292902551962,
indomain,Alaska,2,1.0,6803,model,none,catboost,none,0.0,16.479,-1.87,13.692772636511782,20.76167134848448,
indomain,Alaska,0,0.0,6803,model,stefan,mlp,none,0.0,17.851,7.805,15.390377433017383,22.16913650069963,
indomain,Alaska,0,0.25,6803,model,stefan,mlp,none,0.0,17.448,7.091,15.262884875365872,20.95740501888001,
indomain,Alaska,0,0.5,6803,model,stefan,mlp,none,0.0,17.254,6.378,15.124545808393204,20.67645663349326,
indomain,Alaska,0,0.75,6803,model,stefan,mlp,none,0.0,17.274,5.664,15.093315911976909,20.757177891172315,
indomain,Alaska,0,1.0,6803,model,stefan,mlp,none,0.0,17.51,4.951,15.262079099723284,20.999912827312368,
indomain,Alaska,1,0.0,6803,model,stefan,mlp,none,0.0,17.851,7.805,15.644356686793948,22.764508678183304,
indomain,Alaska,1,0.25,6803,model,stefan,mlp,none,0.0,17.082,7.054,14.89510948249647,21.525582932313334,
indomain,Alaska,1,0.5,6803,model,stefan,mlp,none,0.0,16.539,6.303,14.208905987817193,20.818165549997712,
indomain,Alaska,1,0.75,6803,model,stefan,mlp,none,0.0,16.247,5.552,13.860186823497669,20.50810735247887,
indomain,Alaska,1,1.0,6803,model,stefan,mlp,none,0.0,16.218,4.801,13.727107159146872,20.643893969452126,
indomain,Alaska,2,0.0,6803,model,stefan,mlp,none,0.0,17.851,7.805,15.856610315177864,22.989366780352228,
indomain,Alaska,2,0.25,6803,model,stefan,mlp,none,0.0,17.814,7.997,16.171521979869652,21.882135783163072,
indomain,Alaska,2,0.5,6803,model,stefan,mlp,none,0.0,18.145,8.189,16.712494990394465,21.45508934836505,
