cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
noinfo,Lena,0,0,none,none,0.0,ridge,1.0,26.189,-9.875,2958
noinfo,Lena,0,1,none,none,0.0,ridge,1.0,26.189,-9.875,2958
noinfo,Lena,0,2,none,none,0.0,ridge,1.0,26.189,-9.875,2958
noinfo,Lena,0,0,none,none,0.0,catboost_lo,1.0,24.301,12.197,2958
noinfo,Lena,0,1,none,none,0.0,catboost_lo,1.0,24.013,11.509,2958
noinfo,Lena,0,2,none,none,0.0,catboost_lo,1.0,24.105,11.537,2958
noinfo,Lena,0,0,none,none,0.0,mlp,1.0,22.952,7.266,2958
noinfo,Lena,0,1,none,none,0.0,mlp,1.0,27.777,17.072,2958
noinfo,Lena,0,2,none,none,0.0,mlp,1.0,21.737,4.174,2958
noinfo,Lena,0,0,stefan,none,0.0,ridge,0.0,21.624,5.676,2958
noinfo,Lena,0,0,stefan,none,0.0,ridge,0.25,21.525,2.82,2958
noinfo,Lena,0,0,stefan,none,0.0,ridge,0.5,22.042,-0.036,2958
noinfo,Lena,0,0,stefan,none,0.0,ridge,0.75,23.132,-2.892,2958
noinfo,Lena,0,0,stefan,none,0.0,ridge,1.0,24.72,-5.748,2958
noinfo,Lena,0,1,stefan,none,0.0,ridge,0.0,21.624,5.676,2958
noinfo,Lena,0,1,stefan,none,0.0,ridge,0.25,21.525,2.82,2958
noinfo,Lena,0,1,stefan,none,0.0,ridge,0.5,22.042,-0.036,2958
noinfo,Lena,0,1,stefan,none,0.0,ridge,0.75,23.132,-2.892,2958
noinfo,Lena,0,1,stefan,none,0.0,ridge,1.0,24.72,-5.748,2958
noinfo,Lena,0,2,stefan,none,0.0,ridge,0.0,21.624,5.676,2958
noinfo,Lena,0,2,stefan,none,0.0,ridge,0.25,21.525,2.82,2958
noinfo,Lena,0,2,stefan,none,0.0,ridge,0.5,22.042,-0.036,2958
noinfo,Lena,0,2,stefan,none,0.0,ridge,0.75,23.132,-2.892,2958
noinfo,Lena,0,2,stefan,none,0.0,ridge,1.0,24.72,-5.748,2958
noinfo,Lena,0,0,stefan,none,0.0,catboost_lo,0.0,21.624,5.676,2958
noinfo,Lena,0,0,stefan,none,0.0,catboost_lo,0.25,22.069,7.218,2958
noinfo,Lena,0,0,stefan,none,0.0,catboost_lo,0.5,22.639,8.759,2958
noinfo,Lena,0,0,stefan,none,0.0,catboost_lo,0.75,23.324,10.301,2958
noinfo,Lena,0,0,stefan,none,0.0,catboost_lo,1.0,24.114,11.842,2958
noinfo,Lena,0,1,stefan,none,0.0,catboost_lo,0.0,21.624,5.676,2958
noinfo,Lena,0,1,stefan,none,0.0,catboost_lo,0.25,22.031,7.031,2958
noinfo,Lena,0,1,stefan,none,0.0,catboost_lo,0.5,22.529,8.386,2958
noinfo,Lena,0,1,stefan,none,0.0,catboost_lo,0.75,23.112,9.742,2958
noinfo,Lena,0,1,stefan,none,0.0,catboost_lo,1.0,23.774,11.097,2958
noinfo,Lena,0,2,stefan,none,0.0,catboost_lo,0.0,21.624,5.676,2958
noinfo,Lena,0,2,stefan,none,0.0,catboost_lo,0.25,22.152,7.352,2958
noinfo,Lena,0,2,stefan,none,0.0,catboost_lo,0.5,22.811,9.027,2958
noinfo,Lena,0,2,stefan,none,0.0,catboost_lo,0.75,23.591,10.703,2958
noinfo,Lena,0,2,stefan,none,0.0,catboost_lo,1.0,24.479,12.378,2958
noinfo,Lena,0,0,stefan,none,0.0,mlp,0.0,21.624,5.676,2958
noinfo,Lena,0,0,stefan,none,0.0,mlp,0.25,21.729,5.935,2958
noinfo,Lena,0,0,stefan,none,0.0,mlp,0.5,21.936,6.193,2958
noinfo,Lena,0,0,stefan,none,0.0,mlp,0.75,22.244,6.451,2958
noinfo,Lena,0,0,stefan,none,0.0,mlp,1.0,22.647,6.709,2958
noinfo,Lena,0,1,stefan,none,0.0,mlp,0.0,21.624,5.676,2958
noinfo,Lena,0,1,stefan,none,0.0,mlp,0.25,21.583,6.36,2958
