setting,region,seed,lam,n,family,anchor,resid,pseudo,r,rmse_cm,bias_cm,ci_lo,ci_hi,error
indomain,Alaska,0,1.0,6803,model,none,ridge,none,0.0,16.433,4.928,13.55589725027459,20.124935345803927,
indomain,Alaska,1,1.0,6803,model,none,ridge,none,0.0,16.433,4.928,13.667807758016009,20.748046240962708,
indomain,Alaska,2,1.0,6803,model,none,ridge,none,0.0,16.433,4.928,13.781691798485395,20.95753218523622,
indomain,Alaska,0,0.0,6803,model,stefan,catboost,none,0.0,17.851,7.805,15.390377433017383,22.16913650069963,
indomain,Alaska,0,0.25,6803,model,stefan,catboost,none,0.0,17.008,6.103,14.31038332400081,21.040085283812918,
indomain,Alaska,0,0.5,6803,model,stefan,catboost,none,0.0,16.47,4.401,13.34764482065157,20.639293522878113,
indomain,Alaska,0,0.75,6803,model,stefan,catboost,none,0.0,16.268,2.699,12.831943909917308,20.500431744464954,
indomain,Alaska,0,1.0,6803,model,stefan,catboost,none,0.0,16.414,0.997,12.88230597552551,20.68045622624984,
indomain,Alaska,1,0.0,6803,model,stefan,catboost,none,0.0,17.851,7.805,15.644356686793948,22.764508678183304,
indomain,Alaska,1,0.25,6803,model,stefan,catboost,none,0.0,17.111,6.564,14.744456315520587,21.825904644922858,
indomain,Alaska,1,0.5,6803,model,stefan,catboost,none,0.0,16.571,5.323,13.900883194175893,21.367317847344204,
indomain,Alaska,1,0.75,6803,model,stefan,catboost,none,0.0,16.251,4.082,13.399648281012839,21.11070447917936,
indomain,Alaska,1,1.0,6803,model,stefan,catboost,none,0.0,16.164,2.841,13.153070955492463,21.26510751600835,
indomain,Alaska,2,0.0,6803,model,stefan,catboost,none,0.0,17.851,7.805,15.856610315177864,22.989366780352228,
indomain,Alaska,2,0.25,6803,model,stefan,catboost,none,0.0,16.908,5.905,14.18543810773234,21.983264951545237,
indomain,Alaska,2,0.5,6803,model,stefan,catboost,none,0.0,16.34,4.006,13.206915911249034,21.4143489094104,
indomain,Alaska,2,0.75,6803,model,stefan,catboost,none,0.0,16.186,2.106,12.985798042576944,20.911988511664806,
indomain,Alaska,2,1.0,6803,model,stefan,catboost,none,0.0,16.458,0.207,13.414377032488833,20.84166736042177,
indomain,Alaska,0,0.0,6803,model,cci,mlp,none,0.0,20.945,1.66,15.748526038612662,30.84926130387692,
indomain,Alaska,0,0.25,6803,model,cci,mlp,none,0.0,19.404,2.866,14.608984669698588,27.493063182350884,
indomain,Alaska,0,0.5,6803,model,cci,mlp,none,0.0,18.397,4.072,14.080951200073725,25.254430393931923,
indomain,Alaska,0,0.75,6803,model,cci,mlp,none,0.0,18.016,5.277,14.434286834235227,23.507844276661572,
indomain,Alaska,0,1.0,6803,model,cci,mlp,none,0.0,18.298,6.483,15.635572755003464,22.600958458155276,
indomain,Alaska,1,0.0,6803,model,cci,mlp,none,0.0,20.945,1.66,15.678815413126097,32.6368444526404,
indomain,Alaska,1,0.25,6803,model,cci,mlp,none,0.0,19.282,2.466,14.470006894022326,29.432814945849533,
indomain,Alaska,1,0.5,6803,model,cci,mlp,none,0.0,18.084,3.271,13.856039437256083,26.653180504908523,
indomain,Alaska,1,0.75,6803,model,cci,mlp,none,0.0,17.445,4.076,13.653236763933348,24.52398313697681,
indomain,Alaska,1,1.0,6803,model,cci,mlp,none,0.0,17.429,4.882,14.128367117811532,23.001481618549533,
indomain,Alaska,2,0.0,6803,model,cci,mlp,none,0.0,20.945,1.66,15.9891999289701,32.11884178314847,
indomain,Alaska,2,0.25,6803,model,cci,mlp,none,0.0,19.313,2.518,15.046409808835145,28.267813690412403,
indomain,Alaska,2,0.5,6803,model,cci,mlp,none,0.0,18.173,3.375,14.229628969987413,25.975296796470733,
indomain,Alaska,2,0.75,6803,model,cci,mlp,none,0.0,17.623,4.232,14.224673181181933,23.903393289869594,
indomain,Alaska,2,1.0,6803,model,cci,mlp,none,0.0,17.717,5.089,14.83006588571212,22.667332308021315,
pseudo,Lena,0,1.0,1518,model,none,ridge,cci,1.0,,,,,Input y contains NaN.
pseudo,Lena,1,1.0,1518,model,none,ridge,cci,1.0,,,,,Input y contains NaN.
pseudo,Lena,2,1.0,1518,model,none,ridge,cci,1.0,,,,,Input y contains NaN.
pseudo,Lena,0,1.0,1518,model,none,ridge,stefan_cci,5.0,,,,,Input y contains NaN.
pseudo,Lena,1,1.0,1518,model,none,ridge,stefan_cci,5.0,,,,,Input y contains NaN.
pseudo,Lena,2,1.0,1518,model,none,ridge,stefan_cci,5.0,,,,,Input y contains NaN.
pseudo,Lena,0,1.0,1518,model,none,ridge,const,10.0,14.785,3.712,12.484427789353756,27.117087505510636,
pseudo,Lena,1,1.0,1518,model,none,ridge,const,10.0,14.779,3.703,12.5450505864387,24.73240589605102,
pseudo,Lena,2,1.0,1518,model,none,ridge,const,10.0,14.786,3.715,12.680045338253317,24.632253364005024,
pseudo,Lena,0,1.0,1518,model,none,catboost,stefan,10.0,19.3,12.809,16.956374012093807,26.529468440178782,
pseudo,Lena,1,1.0,1518,model,none,catboost,stefan,10.0,19.002,12.471,16.72989048168239,25.64872348586056,
pseudo,Lena,2,1.0,1518,model,none,catboost,stefan,10.0,19.199,12.616,16.86322857947861,25.85231109577674,
pseudo,Lena,0,1.0,1518,model,none,catboost,stefan_cci,1.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,1,1.0,1518,model,none,catboost,stefan_cci,1.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,2,1.0,1518,model,none,catboost,stefan_cci,1.0,,,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
pseudo,Lena,0,1.0,1518,model,none,catboost,const,5.0,14.801,3.367,12.299868408078742,26.843695730490104,
pseudo,Lena,1,1.0,1518,model,none,catboost,const,5.0,14.872,3.659,12.332009405592837,24.295555702595127,
pseudo,Lena,2,1.0,1518,model,none,catboost,const,5.0,14.952,3.73,12.525675553066675,24.41421760770743,
