proto,target,seed,lam,family,anchor,pseudo,resid,r,rmse_cm,bias_cm,n,ci_lo,ci_hi,error
half,Lena,-1,0.0,analytic,stefan_cci,none,none,0.0,14.568,0.172,1518,,,
half,Lena,0,1.0,direct,none,stefan,catboost,1.0,17.023,9.089,1518,14.655042689478934,26.130491568847724,
half,Lena,1,1.0,direct,none,stefan,catboost,1.0,17.042,9.116,1518,14.598286180451314,26.276923799853773,
half,Lena,2,1.0,direct,none,stefan,catboost,1.0,16.967,8.856,1518,14.652594863265604,24.1128841285586,
half,Lena,0,1.0,direct,none,cci,catboost,0.5,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,cci,catboost,0.5,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,cci,catboost,0.5,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,cci,catboost,10.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,cci,catboost,10.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,cci,catboost,10.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,stefan_cci,catboost,5.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,stefan_cci,catboost,5.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,stefan_cci,catboost,5.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,const,catboost,2.0,18.212,11.174,1518,15.792338389137985,26.2509283371165,
half,Lena,1,1.0,direct,none,const,catboost,2.0,18.201,11.226,1518,15.736661742238969,26.195459908047702,
half,Lena,2,1.0,direct,none,const,catboost,2.0,18.212,11.239,1518,15.851908487838978,24.3342554191895,
half,Lena,0,1.0,direct,none,stefan,mlp,0.5,17.195,9.234,1518,14.66450911614302,26.124829669242306,
half,Lena,1,1.0,direct,none,stefan,mlp,0.5,17.189,9.508,1518,14.650997166601002,26.13037248061163,
half,Lena,2,1.0,direct,none,stefan,mlp,0.5,17.091,9.108,1518,14.771203109117865,24.077267408342376,
half,Lena,0,1.0,direct,none,stefan,mlp,10.0,16.493,8.066,1518,13.840420190436387,26.239149186917455,
half,Lena,1,1.0,direct,none,stefan,mlp,10.0,16.666,8.393,1518,14.150318741819069,26.434896366911392,
half,Lena,2,1.0,direct,none,stefan,mlp,10.0,16.528,8.151,1518,14.066827684586428,23.918150221064906,
half,Lena,0,1.0,direct,none,cci,mlp,5.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,cci,mlp,5.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,cci,mlp,5.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,stefan_cci,mlp,2.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,stefan_cci,mlp,2.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,stefan_cci,mlp,2.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,const,mlp,1.0,18.152,11.082,1518,15.764354984278281,26.085117288039076,
half,Lena,1,1.0,direct,none,const,mlp,1.0,18.255,11.348,1518,15.848071888265256,26.15112959910193,
half,Lena,2,1.0,direct,none,const,mlp,1.0,18.231,11.133,1518,15.827770094426086,24.416819828433507,
half,Lena,0,1.0,direct,none,none,ftt,0.0,14.692,1.978,1518,11.956517560871157,26.732034742714216,
half,Lena,1,1.0,direct,none,none,ftt,0.0,14.029,-1.586,1518,10.841847369924293,28.59665372312024,
