proto,target,seed,lam,family,anchor,pseudo,resid,r,rmse_cm,bias_cm,n,ci_lo,ci_hi,error
half,Lena,-1,0.0,analytic,cci,none,none,0.0,16.485,-7.016,1518,,,
half,Lena,0,1.0,direct,none,none,catboost,0.0,21.978,16.525,1518,19.879022657960206,27.961829493974292,
half,Lena,1,1.0,direct,none,none,catboost,0.0,22.495,16.795,1518,19.408536192963115,29.567215847569436,
half,Lena,2,1.0,direct,none,none,catboost,0.0,21.264,15.281,1518,18.329282042840475,27.915624628595634,
half,Lena,0,1.0,direct,none,stefan,catboost,5.0,16.583,8.422,1518,14.243559487531599,26.140088199435958,
half,Lena,1,1.0,direct,none,stefan,catboost,5.0,16.575,8.415,1518,14.147587542820753,26.281378147428416,
half,Lena,2,1.0,direct,none,stefan,catboost,5.0,16.632,8.411,1518,14.293006592464874,23.91953508113226,
half,Lena,0,1.0,direct,none,cci,catboost,2.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,cci,catboost,2.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,cci,catboost,2.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,stefan_cci,catboost,1.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,stefan_cci,catboost,1.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,stefan_cci,catboost,1.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,const,catboost,0.5,18.111,11.023,1518,15.685276679362241,26.23944212492978,
half,Lena,1,1.0,direct,none,const,catboost,0.5,18.181,11.103,1518,15.679218316048079,26.464673141997856,
half,Lena,2,1.0,direct,none,const,catboost,0.5,18.129,10.999,1518,15.737616231806461,24.354882493894074,
half,Lena,0,1.0,direct,none,const,catboost,10.0,18.172,11.201,1518,15.778476729368318,26.23078819839132,
half,Lena,1,1.0,direct,none,const,catboost,10.0,18.242,11.289,1518,15.78365355959873,26.203784913115616,
half,Lena,2,1.0,direct,none,const,catboost,10.0,18.184,11.245,1518,15.892492406956146,24.249485873317504,
half,Lena,0,1.0,direct,none,stefan,mlp,2.0,16.706,8.456,1518,14.20698775523471,26.118876222290996,
half,Lena,1,1.0,direct,none,stefan,mlp,2.0,16.754,8.611,1518,14.25560152208967,26.36706545791445,
half,Lena,2,1.0,direct,none,stefan,mlp,2.0,16.803,8.743,1518,14.3405113036747,23.927825672188614,
half,Lena,0,1.0,direct,none,cci,mlp,1.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,cci,mlp,1.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,cci,mlp,1.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,stefan_cci,mlp,0.5,,,1518,,,diverged
half,Lena,1,1.0,direct,none,stefan_cci,mlp,0.5,,,1518,,,diverged
half,Lena,2,1.0,direct,none,stefan_cci,mlp,0.5,,,1518,,,diverged
half,Lena,0,1.0,direct,none,stefan_cci,mlp,10.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,stefan_cci,mlp,10.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,stefan_cci,mlp,10.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,const,mlp,5.0,18.252,11.221,1518,15.74461624851619,26.10091811076513,
half,Lena,1,1.0,direct,none,const,mlp,5.0,18.089,10.991,1518,15.546915755189795,26.178551775799587,
half,Lena,2,1.0,direct,none,const,mlp,5.0,18.185,11.143,1518,15.848972836194783,24.307260023125302,
half,Lena,0,1.0,direct,none,stefan,ftt,1.0,17.152,9.149,1518,14.81993425745296,26.01163903817708,
half,Lena,1,1.0,direct,none,stefan,ftt,1.0,16.859,8.717,1518,14.489731209066953,26.144048582078604,
half,Lena,2,1.0,direct,none,stefan,ftt,1.0,17.0,8.93,1518,14.68074497081753,23.964348869827376,
half,Lena,0,1.0,direct,none,cci,ftt,0.5,,,1518,,,diverged
half,Lena,1,1.0,direct,none,cci,ftt,0.5,,,1518,,,diverged
half,Lena,2,1.0,direct,none,cci,ftt,0.5,,,1518,,,diverged
half,Lena,0,1.0,direct,none,cci,ftt,10.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,cci,ftt,10.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,cci,ftt,10.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,stefan_cci,ftt,5.0,,,1518,,,diverged
