scope,n,alt_sd,polsar_r,gbm14_rmse,gbm14_skill,gbm14_r2,gbm18_rmse,gbm18_skill,gbm18_r2,diff18_rmse,diff18_skill,diff18_r2,ens18_rmse,ens18_skill,ens18_r2
"평탄툰드라 (slope<2,elev<150)",64234,14.0,0.57,15.42,-0.10142857142857142,-0.21314489795918368,18.04,-0.2885714285714285,-0.660416326530612,14.97,-0.0692857142857144,-0.14337193877551035,12.97,0.07357142857142851,0.14173010204081626
"완만 (slope<5,elev<400)",109612,18.2,0.36,17.51,0.03791208791208778,0.07438684941432172,17.27,0.05109890109890114,0.09958670450428697,17.79,0.02252747252747256,0.04454745803646909,16.58,0.08901098901098903,0.17009902185726367
PolSAR유효 전체,144206,17.2,0.31,16.78,0.024418604651162634,0.0482409410492155,17.13,0.0040697674418604946,0.0081229718766902,17.75,-0.03197674418604657,-0.06497600054083308,16.3,0.05232558139534871,0.1019131963223362
전역 (다양지형),225421,19.3,0.07,17.24,0.10673575129533686,0.20207898198609375,19.25,0.002590673575129543,0.005174635560686203,18.15,0.059585492227979375,0.11562055357190815,17.3,0.10362694300518138,0.1965153426937637
