cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
covonly,Lena,0,0,none,stefan,10.0,ridge,1.0,16.84,8.484,1496
covonly,Lena,0,1,none,stefan,10.0,ridge,1.0,16.836,8.479,1496
covonly,Lena,0,2,none,stefan,10.0,ridge,1.0,16.849,8.501,1496
covonly,Lena,0,0,none,tddlin,10.0,ridge,1.0,16.969,8.75,1496
covonly,Lena,0,1,none,tddlin,10.0,ridge,1.0,16.967,8.748,1496
covonly,Lena,0,2,none,tddlin,10.0,ridge,1.0,16.979,8.767,1496
covonly,Lena,0,0,none,const,10.0,catboost_lo,1.0,18.188,11.139,1496
covonly,Lena,0,1,none,const,10.0,catboost_lo,1.0,18.194,11.15,1496
covonly,Lena,0,2,none,const,10.0,catboost_lo,1.0,18.182,11.144,1496
covonly,Lena,0,0,none,stefan,10.0,mlp,1.0,16.478,8.06,1496
covonly,Lena,0,1,none,stefan,10.0,mlp,1.0,16.622,8.28,1496
covonly,Lena,0,2,none,stefan,10.0,mlp,1.0,16.471,7.979,1496
covonly,Lena,0,0,none,tddlin,10.0,mlp,1.0,16.529,8.198,1496
covonly,Lena,0,1,none,tddlin,10.0,mlp,1.0,16.713,8.509,1496
covonly,Lena,0,2,none,tddlin,10.0,mlp,1.0,16.632,8.289,1496
covonly,Lena,0,0,stefan,const,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,0,stefan,const,10.0,ridge,0.25,16.695,8.444,1496
covonly,Lena,0,0,stefan,const,10.0,ridge,0.5,17.349,9.623,1496
covonly,Lena,0,0,stefan,const,10.0,ridge,0.75,18.068,10.803,1496
covonly,Lena,0,0,stefan,const,10.0,ridge,1.0,18.844,11.983,1496
covonly,Lena,0,1,stefan,const,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,1,stefan,const,10.0,ridge,0.25,16.696,8.445,1496
covonly,Lena,0,1,stefan,const,10.0,ridge,0.5,17.351,9.627,1496
covonly,Lena,0,1,stefan,const,10.0,ridge,0.75,18.071,10.808,1496
covonly,Lena,0,1,stefan,const,10.0,ridge,1.0,18.849,11.99,1496
covonly,Lena,0,2,stefan,const,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,2,stefan,const,10.0,ridge,0.25,16.699,8.45,1496
covonly,Lena,0,2,stefan,const,10.0,ridge,0.5,17.357,9.635,1496
covonly,Lena,0,2,stefan,const,10.0,ridge,0.75,18.08,10.821,1496
covonly,Lena,0,2,stefan,const,10.0,ridge,1.0,18.862,12.006,1496
covonly,Lena,0,0,stefan,stefan,10.0,catboost_lo,0.0,16.114,7.264,1496
covonly,Lena,0,0,stefan,stefan,10.0,catboost_lo,0.25,16.154,7.431,1496
covonly,Lena,0,0,stefan,stefan,10.0,catboost_lo,0.5,16.207,7.598,1496
covonly,Lena,0,0,stefan,stefan,10.0,catboost_lo,0.75,16.273,7.764,1496
covonly,Lena,0,0,stefan,stefan,10.0,catboost_lo,1.0,16.353,7.931,1496
covonly,Lena,0,1,stefan,stefan,10.0,catboost_lo,0.0,16.114,7.264,1496
covonly,Lena,0,1,stefan,stefan,10.0,catboost_lo,0.25,16.146,7.43,1496
covonly,Lena,0,1,stefan,stefan,10.0,catboost_lo,0.5,16.196,7.595,1496
covonly,Lena,0,1,stefan,stefan,10.0,catboost_lo,0.75,16.265,7.761,1496
