axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Canada,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),742,27.834,21.255,-1.008,0.1874,0.0985,27.469,0.36499999999999844,-0.700775661933464,1.468114192381559
LORO,Canada,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,742,27.834,21.585,0.553,0.1874,0.0985,27.469,0.36499999999999844,-0.0266587427262972,0.8138574326291109
LORO,Canada,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),742,27.443,21.408,1.487,0.21,0.1112,27.469,-0.0259999999999998,-0.12753389198273624,0.09332123799142004
LORO,Alaska,F1k1,F1 Stefan,1,E·√TDD,13606,14.602,10.674,-4.047,0.2943,0.1599,14.602,0.0,0.0,0.0
LORO,Alaska,F1k2,F1 Stefan,2,a+E·√TDD,13606,16.763,13.059,-5.14,0.07,0.0356,14.602,2.1610000000000014,0.28240206943134827,3.7029175943956716
LORO,Alaska,F2k2,F2 멱법칙,2,a·TDD^b,13606,16.755,13.097,-4.448,0.0709,0.0361,14.602,2.1529999999999987,0.6060675624261707,3.501484752347454
LORO,Alaska,F3k2,F3 TDD 선형,2,a+b·TDD,13606,15.651,11.88,-3.376,0.1893,0.0996,14.602,1.0489999999999995,0.27309398525166984,1.5871327296410787
LORO,Alaska,F4k2,F4 MAAT 선형,2,a+b·MAAT,13606,23.386,19.708,16.802,-0.8101,-0.3454,14.602,8.783999999999999,3.0577927039173893,14.167343465959311
LORO,Alaska,F5k0,F5 edaphic,0,pedotransfer raw,13606,40.955,33.251,32.191,-4.5516,-1.3562,14.602,26.352999999999998,11.568713244670695,42.409303394577385
LORO,Alaska,F5k1,F5 edaphic,1,c·edaphic,13606,20.154,16.031,-14.197,-0.3444,-0.1595,14.602,5.552,3.0894454133969123,6.881226068605337
LORO,Alaska,F5k2,F5 edaphic,2,a+c·edaphic,13606,19.743,15.609,-13.722,-0.2901,-0.1358,14.602,5.140999999999998,3.0005859998374573,6.46021250356274
LORO,Alaska,F6k0,F6 Kudryavtsev,0,raw,11652,25.292,19.112,10.397,-1.3462,-0.5317,15.03,10.262000000000002,4.20936479052231,21.38414354931038
LORO,Alaska,F6k1,F6 Kudryavtsev,1,c·Ku,11652,20.747,16.665,-12.88,-0.5788,-0.2565,15.03,5.7170000000000005,2.1785737521219155,8.081198111531815
LORO,Alaska,F6k2,F6 Kudryavtsev,2,a+c·Ku,11652,17.431,13.14,-9.03,-0.1144,-0.0556,15.03,2.4010000000000016,1.0314572662946109,3.2083431948686107
LORO,Alaska,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,13606,13.682,9.822,-1.397,0.3804,0.2128,14.602,-0.9199999999999999,-1.6398793657312156,-0.09631242681112932
LORO,Alaska,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,13606,14.633,10.92,-1.314,0.2913,0.1582,14.602,0.030999999999998806,-0.5108454127366525,0.8295283755196926
LORO,Alaska,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),13606,29.709,26.335,-25.818,-1.9214,-0.7092,14.602,15.107,11.91259749596189,18.834436690860027
LORO,Alaska,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,13606,17.366,13.923,-1.051,0.0019,0.0009,14.602,2.7639999999999993,1.063945079782317,4.175294723911052
LORO,Alaska,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),13606,15.644,11.72,-3.25,0.19,0.1,14.602,1.0419999999999998,0.48089788221689594,2.121916049327732
LORO,Lena,F1k1,F1 Stefan,1,E·√TDD,3037,21.722,15.632,5.578,-0.0605,-0.0298,21.722,0.0,0.0,0.0
LORO,Lena,F1k2,F1 Stefan,2,a+E·√TDD,3037,22.156,16.392,7.043,-0.1033,-0.0504,21.722,0.4339999999999975,-0.19334604343891662,0.8530578271517282
LORO,Lena,F2k2,F2 멱법칙,2,a·TDD^b,3037,22.239,16.533,7.302,-0.1115,-0.0543,21.722,0.5169999999999995,-0.13230339522075324,0.9957149409565018
LORO,Lena,F3k2,F3 TDD 선형,2,a+b·TDD,3037,21.758,15.677,5.651,-0.0639,-0.0315,21.722,0.03599999999999781,-0.0866827511086277,0.18619132492307092
LORO,Lena,F4k2,F4 MAAT 선형,2,a+b·MAAT,3037,22.026,12.881,-6.426,-0.0903,-0.0442,21.722,0.3039999999999985,-2.3235351754151807,4.430604419791157
LORO,Lena,F5k0,F5 edaphic,0,pedotransfer raw,3037,61.434,58.426,56.838,-7.4821,-1.9124,21.722,39.711999999999996,22.457123199898984,46.47302752997819
LORO,Lena,F5k1,F5 edaphic,1,c·edaphic,3037,25.671,21.298,13.324,-0.4811,-0.217,21.722,3.948999999999998,-1.30951982015246,6.786747824178029
LORO,Lena,F5k2,F5 edaphic,2,a+c·edaphic,3037,25.329,20.897,13.463,-0.4418,-0.2008,21.722,3.6069999999999993,-0.3745463234305619,6.235190649889373
LORO,Lena,F6k0,F6 Kudryavtsev,0,raw,3037,33.399,29.939,24.953,-1.507,-0.5833,21.722,11.677,-0.5927355856806733,17.078483699471107
LORO,Lena,F6k1,F6 Kudryavtsev,1,c·Ku,3037,22.294,16.341,4.997,-0.1171,-0.0569,21.722,0.5719999999999992,-0.31670042799014203,2.144496067078783
LORO,Lena,F6k2,F6 Kudryavtsev,2,a+c·Ku,3037,22.878,17.513,8.354,-0.1763,-0.0846,21.722,1.1559999999999988,-0.38876577395195533,2.567814263492703
LORO,Lena,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,3037,21.351,14.984,4.609,-0.0246,-0.0122,21.722,-0.3710000000000022,-0.8093537231141522,0.10081125805365374
LORO,Lena,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,3037,21.25,14.777,4.177,-0.0149,-0.0074,21.722,-0.4720000000000013,-0.9660033665582016,0.16867840408986845
LORO,Lena,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),3037,21.391,14.942,4.316,-0.0283,-0.0141,21.722,-0.33100000000000307,-0.7141556884787644,0.17819129993016358
LORO,Lena,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,3037,22.595,17.12,8.327,-0.1474,-0.0712,21.722,0.8729999999999976,-0.4302949406031622,1.741017950953981
LORO,Lena,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),3037,21.712,15.609,5.519,-0.0595,-0.0293,21.722,-0.010000000000001563,-0.023764259237431862,0.021429622243580398
LORO_gate,UNWEIGHTED_MEAN,F1k1,F1 Stefan,1,E·√TDD,3,21.264333333333333,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F1k2,F1 Stefan,2,a+E·√TDD,3,22.346999999999998,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F2k2,F2 멱법칙,2,a·TDD^b,3,22.402,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F3k2,F3 TDD 선형,2,a+b·TDD,3,21.590999999999998,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F4k2,F4 MAAT 선형,2,a+b·MAAT,3,24.813,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k0,F5 edaphic,0,pedotransfer raw,3,62.67966666666666,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k1,F5 edaphic,1,c·edaphic,3,24.972333333333335,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k2,F5 edaphic,2,a+c·edaphic,3,23.907333333333337,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k0,F6 Kudryavtsev,0,raw,3,39.63033333333333,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k1,F6 Kudryavtsev,1,c·Ku,3,24.799333333333333,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k2,F6 Kudryavtsev,2,a+c·Ku,3,21.941000000000003,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,3,20.808333333333334,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,3,21.002333333333333,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),3,26.311333333333334,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,3,22.598333333333333,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),3,21.599666666666668,,,,,,,,
