proto,target,family,anchor,pseudo,resid,r,lam,rmse,bias,sd,n,nseed,name
half,Canada,anchored,stefan,cci,mlp,5.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,mlp,5.0,0.25,30.075999999999997,-4.256666666666667,1.7819705384769984,371,3,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,mlp,5.0,0.5,32.556666666666665,-0.006333333333333339,1.7397213378392897,371,3,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,mlp,5.0,0.75,37.913333333333334,4.243666666666667,3.3185328585586316,371,3,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,mlp,5.0,1.0,45.01333333333333,8.494,6.58921978183558,371,3,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,mlp,10.0,0.0,31.289,-8.507,0.0,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,mlp,10.0,0.25,29.61,-3.9795,0.10748023074035595,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,mlp,10.0,0.5,29.6475,0.547,0.05303300858899182,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,mlp,10.0,0.75,31.3925,5.0735,0.45325544674057694,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,mlp,10.0,1.0,34.5845,9.6005,1.0062129496284584,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,ridge,0.5,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,ridge,0.5,0.25,29.962333333333333,-4.8133333333333335,0.010692676621563903,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,ridge,0.5,0.5,29.733333333333334,-1.1199999999999999,0.012220201853215972,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,ridge,0.5,0.75,30.626666666666665,2.5726666666666667,0.06384616929255305,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,ridge,0.5,1.0,32.550333333333334,6.266000000000001,0.1397223437154305,371,3,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=0.5)
half,Canada,anchored,stefan,cci,ridge,1.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,ridge,1.0,0.25,29.927666666666667,-4.5136666666666665,0.0061101009266077925,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,ridge,1.0,0.5,29.947,-0.5206666666666666,0.013076696830622516,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,ridge,1.0,0.75,31.345,3.471666666666667,0.052716221412389755,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,ridge,1.0,1.0,33.95166666666666,7.464666666666666,0.10661300733650525,371,3,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=1)
half,Canada,anchored,stefan,cci,ridge,2.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,ridge,2.0,0.25,29.907333333333337,-4.282,0.0005773502691908441,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,ridge,2.0,0.5,30.143,-0.05766666666666667,0.006244997998398493,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,ridge,2.0,0.75,31.961333333333332,4.167000000000001,0.020599352740641667,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,ridge,2.0,1.0,35.11666666666667,8.391333333333334,0.038552993831001484,371,3,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=2)
half,Canada,anchored,stefan,cci,ridge,5.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,ridge,5.0,0.25,29.861666666666668,-4.021,0.0011547005383798934,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,ridge,5.0,0.5,30.310000000000002,0.465,0.0017320508075691994,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,ridge,5.0,0.75,32.556666666666665,4.951,0.0030550504633043325,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,ridge,5.0,1.0,36.269666666666666,9.436666666666667,0.004041451884326899,371,3,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=5)
half,Canada,anchored,stefan,cci,ridge,10.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,ridge,10.0,0.25,29.831999999999997,-3.876333333333333,0.0009999999999998899,371,3,Stefan 앵커 + 선형 잔차(λ=0.25) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,ridge,10.0,0.5,30.389333333333337,0.754,0.0030550504633041387,371,3,Stefan 앵커 + 선형 잔차(λ=0.5) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,ridge,10.0,0.75,32.858666666666664,5.384333333333333,0.009291573243179333,371,3,Stefan 앵커 + 선형 잔차(λ=0.75) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,cci,ridge,10.0,1.0,36.85733333333334,10.014333333333333,0.017953644012659458,371,3,Stefan 앵커 + 선형 잔차(λ=1) · 위성제품 증강(r=10)
half,Canada,anchored,stefan,none,catboost,0.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 부스팅 잔차(λ=0)
half,Canada,anchored,stefan,none,catboost,0.0,0.25,30.640666666666664,-6.889666666666667,0.1520537185777887,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.25)
half,Canada,anchored,stefan,none,catboost,0.0,0.5,30.118666666666666,-5.272333333333333,0.27523141778026167,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.5)
half,Canada,anchored,stefan,none,catboost,0.0,0.75,29.730333333333334,-3.6553333333333335,0.3684363355226158,371,3,Stefan 앵커 + 부스팅 잔차(λ=0.75)
half,Canada,anchored,stefan,none,catboost,0.0,1.0,29.480666666666668,-2.038,0.4309133710310391,371,3,Stefan 앵커 + 부스팅 잔차(λ=1)
half,Canada,anchored,stefan,none,ridge,0.0,0.0,31.289,-8.507,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0)
half,Canada,anchored,stefan,none,ridge,0.0,0.25,33.595,-14.159,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0.25)
half,Canada,anchored,stefan,none,ridge,0.0,0.5,36.72,-19.811,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0.5)
half,Canada,anchored,stefan,none,ridge,0.0,0.75,40.474,-25.463000000000005,0.0,371,3,Stefan 앵커 + 선형 잔차(λ=0.75)
