cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
noinfo,Lena,0,0,stefan_ku,none,0.0,catboost_lo,0.0,22.133,6.65,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,catboost_lo,0.25,22.808,8.558,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,catboost_lo,0.5,23.634,10.465,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,catboost_lo,0.75,24.596,12.372,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,catboost_lo,1.0,25.679,14.279,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,catboost_lo,0.0,22.133,6.65,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,catboost_lo,0.25,22.386,7.724,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,catboost_lo,0.5,22.71,8.798,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,catboost_lo,0.75,23.102,9.872,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,catboost_lo,1.0,23.558,10.946,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,catboost_lo,0.0,22.133,6.65,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,catboost_lo,0.25,22.519,7.83,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,catboost_lo,0.5,22.982,9.009,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,catboost_lo,0.75,23.518,10.189,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,catboost_lo,1.0,24.122,11.369,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,mlp,0.0,22.133,6.65,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,mlp,0.25,21.914,5.976,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,mlp,0.5,21.896,5.301,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,mlp,0.75,22.081,4.626,2958
noinfo,Lena,0,0,stefan_ku,none,0.0,mlp,1.0,22.463,3.952,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,mlp,0.0,22.133,6.65,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,mlp,0.25,22.016,6.911,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,mlp,0.5,22.02,7.172,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,mlp,0.75,22.144,7.433,2958
noinfo,Lena,0,1,stefan_ku,none,0.0,mlp,1.0,22.387,7.694,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,mlp,0.0,22.133,6.65,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,mlp,0.25,22.344,7.869,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,mlp,0.5,22.716,9.087,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,mlp,0.75,23.243,10.306,2958
noinfo,Lena,0,2,stefan_ku,none,0.0,mlp,1.0,23.915,11.524,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,ridge,0.0,20.963,1.492,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,ridge,0.25,21.439,-0.87,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,ridge,0.5,22.353,-3.232,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,ridge,0.75,23.652,-5.594,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,ridge,1.0,25.277,-7.956,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,ridge,0.0,20.963,1.492,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,ridge,0.25,21.439,-0.87,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,ridge,0.5,22.353,-3.232,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,ridge,0.75,23.652,-5.594,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,ridge,1.0,25.277,-7.956,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,ridge,0.0,20.963,1.492,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,ridge,0.25,21.439,-0.87,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,ridge,0.5,22.353,-3.232,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,ridge,0.75,23.652,-5.594,2958
noinfo,Lena,0,2,stefan_ku_cci,none,0.0,ridge,1.0,25.277,-7.956,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,catboost_lo,0.0,20.963,1.492,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,catboost_lo,0.25,21.533,5.194,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,catboost_lo,0.5,22.717,8.895,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,catboost_lo,0.75,24.426,12.596,2958
noinfo,Lena,0,0,stefan_ku_cci,none,0.0,catboost_lo,1.0,26.559,16.297,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,catboost_lo,0.0,20.963,1.492,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,catboost_lo,0.25,21.173,3.759,2958
noinfo,Lena,0,1,stefan_ku_cci,none,0.0,catboost_lo,0.5,21.654,6.026,2958
