source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
PERMOS,MAT_0205,45.9823,7.6761,15.0,-2.9114,2009.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,2.0,-3.84824,2010.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,30.0,-2.96516,2006.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,20.0,-3.37713,2012.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,20.0,-3.26805,2022.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,52.9,-3.03599,2009.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,50.0,-3.00874,2009.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,20.0,-2.93789,2006.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,52.9,-3.0323,2006.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,50.0,-3.0271,2008.0,3343.956,CH 09
PERMOS,ATT_0108,46.0968,7.2731,2.0,-0.28305,2019.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,4.0,-0.67671,2013.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-1.12185,2010.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,12.5,-0.63598,2017.0,2661.0,CH 01
PERMOS,MAT_0205,45.9823,7.6761,1.0,-3.38535,2007.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,1.0,-2.07455,2020.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,0.5,-2.94601,2011.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,1.0,-2.56179,2014.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,0.5,-4.2215,2010.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,0.5,-3.58772,2006.0,3343.956,CH 09
PERMOS,LAP_1208,46.1056,7.2838,31.0,0.79512,2017.0,2535.0,CH 33
PERMOS,MAT_0205,45.9823,7.6761,0.5,-3.46176,2021.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,0.5,-3.38424,2007.0,3343.956,CH 09
PERMOS,LAP_1208,46.1056,7.2838,22.0,0.25151,2010.0,2535.0,CH 33
PERMOS,LAP_1208,46.1056,7.2838,34.0,0.86637,2014.0,2535.0,CH 33
PERMOS,LAP_1208,46.1056,7.2838,22.0,0.27006,2013.0,2535.0,CH 33
PERMOS,LAP_1208,46.1056,7.2838,34.0,0.82832,2010.0,2535.0,CH 33
