source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
PERMOS,ATT_0108,46.0968,7.2731,8.5,-0.82636,2023.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-0.49901,2020.0,2661.0,CH 01
PERMOS,COR_0200,46.4285,9.822,3.5,-1.91734,2010.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,3.5,-3.33383,2017.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,10.0,-1.07935,2021.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,54.0,0.18901,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,54.0,0.28503,2004.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,25.0,-0.06285,2002.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.30959,2010.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,54.0,0.02096,2015.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,-0.54176,2019.0,2672.3,CH 14
PERMOS,ATT_0108,46.0968,7.2731,2.0,-0.40834,2014.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,5.0,-0.87552,2022.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,3.0,-1.12048,2011.0,2661.0,CH 01
PERMOS,MAT_0205,45.9823,7.6761,2.0,-3.3593,2021.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,10.0,-3.07563,2009.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,6.0,-3.1429,2008.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,15.0,-2.33968,2020.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,4.0,-3.12301,2009.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,40.0,-2.9551,2008.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,30.0,-3.28277,2022.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,20.0,-3.20092,2021.0,3343.956,CH 09
PERMOS,COR_0200,46.4285,9.822,61.0,-2.48256,2022.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,56.0,-0.06316,2020.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,46.0,-0.0812,2013.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,50.0,-0.06994,2009.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,44.0,0.17878,2002.0,2672.3,CH 14
