borehole_id,depth,magt,n_months,n_years,n_obs,amp,sampling,lat,lon,elev,site
33,9.0,-8.024430981682123,12,3,20,0.25508944281524926,seasonal,71.309033,-156.661517,,Barrow
33,10.0,-8.1231911953495,12,3,21,0.15551982758620664,seasonal,71.309033,-156.661517,,Barrow
33,11.0,-8.239243378611544,12,3,21,0.1149096774193552,seasonal,71.309033,-156.661517,,Barrow
33,12.0,-8.216079484087512,12,3,21,0.10325289495450729,seasonal,71.309033,-156.661517,,Barrow
33,13.0,-8.36876067632042,12,3,21,0.08701666666666696,seasonal,71.309033,-156.661517,,Barrow
33,15.0,-8.528990931198907,12,3,21,0.02363884150124207,seasonal,71.309033,-156.661517,,Barrow
64,4.0,-5.816111111111112,3,5,5,,sparse,70.161283,-148.4653,,Dead Horse
64,4.3,-4.63,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,4.4,-7.08,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,6.0,-6.5873333333333335,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,6.3,-5.62,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,6.4,-7.44,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,8.0,-6.772416666666667,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,9.3,-6.35,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,9.4,-7.18,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,10.0,-6.698583333333333,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,11.3,-6.49,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,11.4,-6.88,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,12.0,-6.53725,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,13.3,-6.53,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,13.4,-6.65,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,14.0,-6.37725,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,15.3,-6.54,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,15.4,-6.51,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,16.0,-6.276166666666666,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,17.3,-6.52,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,17.4,-6.47,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,18.0,-6.2565,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,19.3,-6.54,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,19.4,-6.5,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,20.0,-6.2860000000000005,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,21.3,-6.58,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,21.4,-6.57,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,22.0,-6.353750000000001,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,23.3,-6.64,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,23.4,-6.66,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,24.0,-6.43775,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,25.3,-6.71,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,25.4,-6.75,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,26.0,-6.5285,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,27.3,-6.8,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,27.4,-6.85,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,28.0,-6.63325,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,29.3,-6.88,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,29.4,-6.92,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,30.0,-6.726333333333333,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,31.3,-6.95,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,31.4,-7.0,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,32.0,-6.802916666666666,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,33.3,-7.02,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,33.4,-7.07,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,34.0,-6.879416666666667,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,35.3,-7.09,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,35.4,-7.14,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,36.0,-6.954666666666667,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,37.3,-7.16,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,37.4,-7.21,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,38.0,-7.021249999999999,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,39.3,-7.22,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,39.4,-7.28,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,40.0,-7.07975,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,41.4,-7.35,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,42.0,-7.144000000000001,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,43.3,-7.34,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,43.4,-7.4,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
64,44.0,-7.203416666666667,3,6,6,,sparse,70.161283,-148.4653,,Dead Horse
64,45.4,-7.46,1,1,1,,sparse,70.161283,-148.4653,,Dead Horse
