proto,target,seed,lam,family,anchor,pseudo,resid,r,rmse_cm,bias_cm,n,ci_lo,ci_hi,error
half,Lena,2,1.0,direct,none,stefan,ridge,1.0,19.665,11.682,1518,18.117939170136097,25.28118473203471,
half,Lena,0,1.0,direct,none,cci,ridge,0.5,,,1518,,,Input y contains NaN.
half,Lena,1,1.0,direct,none,cci,ridge,0.5,,,1518,,,Input y contains NaN.
half,Lena,2,1.0,direct,none,cci,ridge,0.5,,,1518,,,Input y contains NaN.
half,Lena,0,1.0,direct,none,cci,ridge,10.0,,,1518,,,Input y contains NaN.
half,Lena,1,1.0,direct,none,cci,ridge,10.0,,,1518,,,Input y contains NaN.
half,Lena,2,1.0,direct,none,cci,ridge,10.0,,,1518,,,Input y contains NaN.
half,Lena,0,1.0,direct,none,stefan_cci,ridge,5.0,,,1518,,,Input y contains NaN.
half,Lena,1,1.0,direct,none,stefan_cci,ridge,5.0,,,1518,,,Input y contains NaN.
half,Lena,2,1.0,direct,none,stefan_cci,ridge,5.0,,,1518,,,Input y contains NaN.
half,Lena,0,1.0,direct,none,const,ridge,2.0,19.426,12.69,1518,17.71895910755023,26.522980420163808,
half,Lena,1,1.0,direct,none,const,ridge,2.0,19.445,12.715,1518,17.75544845943608,27.176197285889284,
half,Lena,2,1.0,direct,none,const,ridge,2.0,19.469,12.746,1518,17.817317297444653,24.850866872128595,
half,Lena,0,0.0,anchored,stefan,stefan,ridge,0.5,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan,ridge,0.5,17.131,8.682,1518,14.882514011165034,26.532734390091033,
half,Lena,0,0.5,anchored,stefan,stefan,ridge,0.5,18.265,10.0,1518,16.261341188806565,26.70091585175718,
half,Lena,0,0.75,anchored,stefan,stefan,ridge,0.5,19.529,11.319,1518,17.746306853031836,27.097391879985782,
half,Lena,0,1.0,anchored,stefan,stefan,ridge,0.5,20.901,12.637,1518,19.36193190490742,27.554483651067407,
half,Lena,1,0.0,anchored,stefan,stefan,ridge,0.5,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan,ridge,0.5,17.116,8.66,1518,14.851990143195238,26.80603482832245,
half,Lena,1,0.5,anchored,stefan,stefan,ridge,0.5,18.229,9.956,1518,16.16689792044894,26.822475504307743,
half,Lena,1,0.75,anchored,stefan,stefan,ridge,0.5,19.471,11.253,1518,17.644444795428296,27.14125200133697,
half,Lena,1,1.0,anchored,stefan,stefan,ridge,0.5,20.819,12.55,1518,19.24698504046409,27.594573265192864,
half,Lena,2,0.0,anchored,stefan,stefan,ridge,0.5,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan,ridge,0.5,17.094,8.616,1518,14.90052601304785,24.20469630672938,
half,Lena,2,0.5,anchored,stefan,stefan,ridge,0.5,18.18,9.869,1518,16.178020439235233,24.700023437285783,
half,Lena,2,0.75,anchored,stefan,stefan,ridge,0.5,19.392,11.122,1518,17.602301027132135,25.34771175972468,
half,Lena,2,1.0,anchored,stefan,stefan,ridge,0.5,20.707,12.374,1518,19.168891024270987,25.996185391097544,
half,Lena,0,0.0,anchored,stefan,stefan,ridge,10.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,stefan,ridge,10.0,16.324,7.663,1518,13.895087316398119,26.25713482110565,
half,Lena,0,0.5,anchored,stefan,stefan,ridge,10.0,16.499,7.962,1518,14.142335275972751,26.42276074007592,
half,Lena,0,0.75,anchored,stefan,stefan,ridge,10.0,16.684,8.262,1518,14.401828152794437,26.543417001948864,
half,Lena,0,1.0,anchored,stefan,stefan,ridge,10.0,16.877,8.562,1518,14.673677728162192,26.52213414142221,
half,Lena,1,0.0,anchored,stefan,stefan,ridge,10.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,stefan,ridge,10.0,16.324,7.663,1518,13.961452754557085,26.910592113269267,
half,Lena,1,0.5,anchored,stefan,stefan,ridge,10.0,16.499,7.963,1518,14.18961011028618,26.87724749149356,
half,Lena,1,0.75,anchored,stefan,stefan,ridge,10.0,16.684,8.263,1518,14.430319334596563,26.84999907278924,
half,Lena,1,1.0,anchored,stefan,stefan,ridge,10.0,16.877,8.563,1518,14.682963065858601,26.83684353878671,
half,Lena,2,0.0,anchored,stefan,stefan,ridge,10.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,stefan,ridge,10.0,16.326,7.668,1518,14.049527111445515,23.958903455153585,
half,Lena,2,0.5,anchored,stefan,stefan,ridge,10.0,16.504,7.972,1518,14.284451021561306,23.97121998819541,
half,Lena,2,0.75,anchored,stefan,stefan,ridge,10.0,16.692,8.277,1518,14.53039467659329,24.030618559617544,
half,Lena,2,1.0,anchored,stefan,stefan,ridge,10.0,16.888,8.582,1518,14.788358850020916,24.147589082993125,
half,Lena,0,0.0,anchored,stefan,cci,ridge,5.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,0,0.25,anchored,stefan,cci,ridge,5.0,15.093,4.306,1518,12.647835659062988,26.987864936524005,
half,Lena,0,0.5,anchored,stefan,cci,ridge,5.0,14.65,1.249,1518,12.000282604347221,28.274513287163998,
half,Lena,0,0.75,anchored,stefan,cci,ridge,5.0,14.883,-1.808,1518,11.606327704642597,30.119748070114035,
half,Lena,0,1.0,anchored,stefan,cci,ridge,5.0,15.764,-4.864,1518,11.859491270057088,32.37671616676146,
half,Lena,1,0.0,anchored,stefan,cci,ridge,5.0,16.157,7.363,1518,13.746472251012738,26.812157640487214,
half,Lena,1,0.25,anchored,stefan,cci,ridge,5.0,15.088,4.298,1518,12.793403378858581,27.38720295255621,
half,Lena,1,0.5,anchored,stefan,cci,ridge,5.0,14.643,1.233,1518,12.055490807425272,28.863003201723146,
half,Lena,1,0.75,anchored,stefan,cci,ridge,5.0,14.878,-1.832,1518,11.64727704857954,30.81959856473093,
half,Lena,1,1.0,anchored,stefan,cci,ridge,5.0,15.763,-4.897,1518,11.585231596013566,33.160922511848625,
half,Lena,2,0.0,anchored,stefan,cci,ridge,5.0,16.157,7.363,1518,13.823848949163905,23.95155084923662,
half,Lena,2,0.25,anchored,stefan,cci,ridge,5.0,15.097,4.317,1518,12.868024113626285,24.716964289532132,
half,Lena,2,0.5,anchored,stefan,cci,ridge,5.0,14.654,1.271,1518,12.253048475889376,25.847813336669788,
