cv_type,config,nfeat,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean
spatial_block,M_clim,8,17423,21.756,16.38,6.97,-0.1561,20.234,-0.0752
spatial_block,M_climterr,14,17423,24.471,18.527,8.951,-0.4626,20.234,-0.2094
spatial_block,M_soil,23,17423,19.093,14.042,3.974,0.1096,20.234,0.0564
spatial_block,M_soilonly,17,17423,22.99,17.583,9.048,-0.291,20.234,-0.1362
LORO,M_clim,8,17305,24.982,17.987,11.961,-0.6875,19.231,-0.299
LORO,M_climterr,14,17305,21.979,15.512,7.127,-0.3062,19.231,-0.1429
LORO,M_soil,23,17305,31.495,21.107,12.583,-1.6821,19.231,-0.6377
LORO,M_soilonly,17,17305,26.37,18.814,12.183,-0.8803,19.231,-0.3712
