lat,lon,site,name,country,macro,n_siteyear,year_min,year_max,alt_mean,alt_sd
69.25,-53.5,G3,Disko Island,Denmark (Greenland),Greenland,4,1997,2000,67.5,7.416198487095665
69.3167,154.9833,R22,Alazeya River,Russia,Russia_E,21,1998,2023,52.76190476190476,3.8846462117516154
69.3833,158.4667,R15 A,"Konkovaya River, Kolyma",Russia,Russia_E,39,1996,2023,38.333333333333336,7.695977532155263
69.4333,88.4667,R32,Talnah (Norilsk Region),Russia,Russia_W,19,2005,2023,98.21052631578948,10.554509027837979
69.4833,156.9833,R14,"Chukochya River, Kolyma",Russia,Russia_E,19,1996,2021,44.8421052631579,3.65548534389282
69.7167,66.85,R3,"Marre Sale, Yamal Peninsula",Russia,Russia_W,29,1995,2023,111.86206896551724,13.037649157977155
69.85,159.5,R25,Jakutskoe Lake,Russia,Russia_E,21,1999,2023,45.80952380952381,9.667569744351718
69.9833,153.5833,R37 A,Khomus-1,Russia,Russia_E,2,2005,2005,52.5,2.1213203435596424
70.0833,159.5833,R13 A,"""Cape Chukochii; edoma,Kolyma""",Russia,Russia_E,24,1997,2023,43.291666666666664,5.614261085506435
70.0833,159.9167,R13 B,"Cape Chukochi, alas, Kolyma",Russia,Russia_E,22,2000,2023,40.09090909090909,7.615204658532954
70.1167,75.5833,R4,"Parisento, Gydan Peninsula",Russia,Russia_W,3,1992,1995,89.0,6.244997998398398
70.2742,68.8908,R5d,"Vaskiny Dachi, Yamal Peninsula",Russia,Russia_W,9,2014,2022,46.666666666666664,5.522680508593631
70.2755,68.8916,R5a,"Vaskiny Dachi, Yamal Peninsula",Russia,Russia_W,16,2007,2022,72.0,8.733078876700167
70.2833,68.9,R5,"Vaskiny Dachy, Yamal Peninsula",Russia,Russia_W,29,1993,2022,93.82758620689656,7.928560333724982
70.2955,68.8835,R5b,"Vaskiny Dachi, Yamal Peninsula",Russia,Russia_W,16,2007,2022,75.9375,7.028216938408581
70.3014,68.8413,R5c,"Vaskiny Dachi, Yamal Peninsula",Russia,Russia_W,16,2007,2022,118.5,13.918812209859476
70.55,147.4333,R31,Allaiha (Indigirka basin),Russia,Russia_E,16,2004,2021,46.125,4.031128874149274
70.5667,147.4167,R31 A,"Allaiha (Indigirka basin, alas)",Russia,Russia_E,5,2014,2018,41.2,3.9623225512317903
70.8699,78.5478,R54c,"Gyda, Gydan Peninsula",Russia,Russia_W,6,2017,2022,70.33333333333333,4.082482904638631
70.8893,78.4171,R54a,"Gyda, Gydan Peninsula",Russia,Russia_W,7,2016,2022,100.71428571428571,7.364651739090942
70.8906,78.4308,R54b,"Gyda, Gydan Peninsula",Russia,Russia_W,7,2016,2022,65.14285714285714,4.810702354423641
70.9167,156.6333,R12 A,"""Kuropatochya River; Kolyma   """,Russia,Russia_E,3,1996,2023,29.666666666666668,6.429100507328637
71.5833,128.7833,R8,"Tiksi (Game), Lena Delta",Russia,Russia_C,4,1997,2000,42.25,3.3040379335998358
71.7855,71.4192,R29 B,Bykovsky (Lena delta) (alas),Russia,Russia_W,20,2004,2023,31.8,5.207282350102038
71.7855,129.4192,R29 A,Bykovsky (Lena delta) (edoma),Russia,Russia_C,22,2001,2023,34.04545454545455,5.056605983193082
71.8617,141.0102,R28,Svjatoy Nos cape (East Siberian sea),Russia,Russia_E,1,2001,2001,38.0,
