cond,target,fold,seed,anchor,pseudo,r,resid,lam,rmse_cm,bias_cm,n
covonly,Lena,0,0,none,const,10.0,ridge,1.0,18.846,11.986,1496
covonly,Lena,0,1,none,const,10.0,ridge,1.0,18.85,11.992,1496
covonly,Lena,0,2,none,const,10.0,ridge,1.0,18.863,12.01,1496
covonly,Lena,0,0,none,stefan,10.0,catboost_lo,1.0,16.48,8.128,1496
covonly,Lena,0,1,none,stefan,10.0,catboost_lo,1.0,16.488,8.164,1496
covonly,Lena,0,2,none,stefan,10.0,catboost_lo,1.0,16.477,8.141,1496
covonly,Lena,0,0,none,tddlin,10.0,catboost_lo,1.0,16.609,8.358,1496
covonly,Lena,0,1,none,tddlin,10.0,catboost_lo,1.0,16.558,8.312,1496
covonly,Lena,0,2,none,tddlin,10.0,catboost_lo,1.0,16.592,8.335,1496
covonly,Lena,0,0,none,const,10.0,mlp,1.0,18.2,11.142,1496
covonly,Lena,0,1,none,const,10.0,mlp,1.0,18.204,11.223,1496
covonly,Lena,0,2,none,const,10.0,mlp,1.0,18.146,11.085,1496
covonly,Lena,0,0,stefan,stefan,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,0,stefan,stefan,10.0,ridge,0.25,16.282,7.569,1496
covonly,Lena,0,0,stefan,stefan,10.0,ridge,0.5,16.459,7.874,1496
covonly,Lena,0,0,stefan,stefan,10.0,ridge,0.75,16.645,8.179,1496
covonly,Lena,0,0,stefan,stefan,10.0,ridge,1.0,16.841,8.484,1496
covonly,Lena,0,1,stefan,stefan,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,1,stefan,stefan,10.0,ridge,0.25,16.281,7.568,1496
covonly,Lena,0,1,stefan,stefan,10.0,ridge,0.5,16.457,7.872,1496
covonly,Lena,0,1,stefan,stefan,10.0,ridge,0.75,16.643,8.176,1496
covonly,Lena,0,1,stefan,stefan,10.0,ridge,1.0,16.837,8.479,1496
covonly,Lena,0,2,stefan,stefan,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,2,stefan,stefan,10.0,ridge,0.25,16.284,7.573,1496
covonly,Lena,0,2,stefan,stefan,10.0,ridge,0.5,16.463,7.881,1496
covonly,Lena,0,2,stefan,stefan,10.0,ridge,0.75,16.651,8.189,1496
covonly,Lena,0,2,stefan,stefan,10.0,ridge,1.0,16.849,8.498,1496
covonly,Lena,0,0,stefan,tddlin,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,0,stefan,tddlin,10.0,ridge,0.25,16.308,7.634,1496
covonly,Lena,0,0,stefan,tddlin,10.0,ridge,0.5,16.515,8.005,1496
covonly,Lena,0,0,stefan,tddlin,10.0,ridge,0.75,16.735,8.375,1496
covonly,Lena,0,0,stefan,tddlin,10.0,ridge,1.0,16.967,8.745,1496
covonly,Lena,0,1,stefan,tddlin,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,1,stefan,tddlin,10.0,ridge,0.25,16.308,7.634,1496
covonly,Lena,0,1,stefan,tddlin,10.0,ridge,0.5,16.515,8.004,1496
covonly,Lena,0,1,stefan,tddlin,10.0,ridge,0.75,16.734,8.374,1496
covonly,Lena,0,1,stefan,tddlin,10.0,ridge,1.0,16.966,8.744,1496
covonly,Lena,0,2,stefan,tddlin,10.0,ridge,0.0,16.114,7.264,1496
covonly,Lena,0,2,stefan,tddlin,10.0,ridge,0.25,16.311,7.639,1496
covonly,Lena,0,2,stefan,tddlin,10.0,ridge,0.5,16.521,8.014,1496
covonly,Lena,0,2,stefan,tddlin,10.0,ridge,0.75,16.743,8.389,1496
covonly,Lena,0,2,stefan,tddlin,10.0,ridge,1.0,16.979,8.764,1496
covonly,Lena,0,0,stefan,const,10.0,catboost_lo,0.0,16.114,7.264,1496
covonly,Lena,0,0,stefan,const,10.0,catboost_lo,0.25,16.458,8.03,1496
covonly,Lena,0,0,stefan,const,10.0,catboost_lo,0.5,16.831,8.796,1496
covonly,Lena,0,0,stefan,const,10.0,catboost_lo,0.75,17.23,9.562,1496
covonly,Lena,0,0,stefan,const,10.0,catboost_lo,1.0,17.655,10.328,1496
covonly,Lena,0,1,stefan,const,10.0,catboost_lo,0.0,16.114,7.264,1496
covonly,Lena,0,1,stefan,const,10.0,catboost_lo,0.25,16.431,7.995,1496
covonly,Lena,0,1,stefan,const,10.0,catboost_lo,0.5,16.776,8.726,1496
covonly,Lena,0,1,stefan,const,10.0,catboost_lo,0.75,17.146,9.458,1496
covonly,Lena,0,1,stefan,const,10.0,catboost_lo,1.0,17.54,10.189,1496
covonly,Lena,0,2,stefan,const,10.0,catboost_lo,0.0,16.114,7.264,1496
covonly,Lena,0,2,stefan,const,10.0,catboost_lo,0.25,16.439,7.971,1496
covonly,Lena,0,2,stefan,const,10.0,catboost_lo,0.5,16.79,8.678,1496
covonly,Lena,0,2,stefan,const,10.0,catboost_lo,0.75,17.163,9.385,1496
covonly,Lena,0,2,stefan,const,10.0,catboost_lo,1.0,17.559,10.091,1496
covonly,Lena,0,0,stefan,stefan,10.0,mlp,0.0,16.114,7.264,1496
covonly,Lena,0,0,stefan,stefan,10.0,mlp,0.25,16.116,7.275,1496
covonly,Lena,0,0,stefan,stefan,10.0,mlp,0.5,16.119,7.286,1496
covonly,Lena,0,0,stefan,stefan,10.0,mlp,0.75,16.122,7.296,1496
covonly,Lena,0,0,stefan,stefan,10.0,mlp,1.0,16.125,7.307,1496
