setting,region,seed,lam,n,family,anchor,resid,pseudo,r,rmse_cm,bias_cm,ci_lo,ci_hi,error
indomain,Alaska,-1,0.0,6803,analytic,stefan_cci,none,none,0.0,18.335,4.733,14.652187465093332,25.6578468471697,
indomain,Alaska,0,0.0,6803,model,stefan,ridge,none,0.0,17.851,7.805,15.390377433017383,22.16913650069963,
indomain,Alaska,0,0.25,6803,model,stefan,ridge,none,0.0,17.171,7.105,14.845733097646566,20.820788310485202,
indomain,Alaska,0,0.5,6803,model,stefan,ridge,none,0.0,16.7,6.405,14.282113703430028,20.2902862738539,
indomain,Alaska,0,0.75,6803,model,stefan,ridge,none,0.0,16.457,5.705,13.835356538866796,20.026083538117263,
indomain,Alaska,0,1.0,6803,model,stefan,ridge,none,0.0,16.452,5.005,13.5381836877214,20.129815775744564,
indomain,Alaska,1,0.0,6803,model,stefan,ridge,none,0.0,17.851,7.805,15.644356686793948,22.764508678183304,
indomain,Alaska,1,0.25,6803,model,stefan,ridge,none,0.0,17.171,7.105,14.943144742397003,21.680326456041733,
indomain,Alaska,1,0.5,6803,model,stefan,ridge,none,0.0,16.7,6.405,14.36424311465763,21.068822915769594,
indomain,Alaska,1,0.75,6803,model,stefan,ridge,none,0.0,16.457,5.705,13.906422749916397,20.72110875003509,
indomain,Alaska,1,1.0,6803,model,stefan,ridge,none,0.0,16.452,5.005,13.617477587311667,20.691029137224945,
indomain,Alaska,2,0.0,6803,model,stefan,ridge,none,0.0,17.851,7.805,15.856610315177864,22.989366780352228,
indomain,Alaska,2,0.25,6803,model,stefan,ridge,none,0.0,17.171,7.105,15.199237006679112,21.831560031863415,
indomain,Alaska,2,0.5,6803,model,stefan,ridge,none,0.0,16.7,6.405,14.572898430376787,21.42043148189511,
indomain,Alaska,2,0.75,6803,model,stefan,ridge,none,0.0,16.457,5.705,14.046854984808114,20.93126280140153,
indomain,Alaska,2,1.0,6803,model,stefan,ridge,none,0.0,16.452,5.005,13.788774484130782,20.87462016282365,
indomain,Alaska,0,0.0,6803,model,cci,catboost,none,0.0,20.945,1.66,15.748526038612662,30.84926130387692,
indomain,Alaska,0,0.25,6803,model,cci,catboost,none,0.0,19.583,1.951,14.858879610355034,27.84864660534358,
indomain,Alaska,0,0.5,6803,model,cci,catboost,none,0.0,18.516,2.242,14.23441485465077,25.676111669908206,
indomain,Alaska,0,0.75,6803,model,cci,catboost,none,0.0,17.797,2.533,13.842764147688548,24.084351456288775,
indomain,Alaska,0,1.0,6803,model,cci,catboost,none,0.0,17.468,2.824,13.854787837195952,22.83662218284165,
indomain,Alaska,1,0.0,6803,model,cci,catboost,none,0.0,20.945,1.66,15.678815413126097,32.6368444526404,
indomain,Alaska,1,0.25,6803,model,cci,catboost,none,0.0,19.593,1.94,14.814622248746064,29.83001366526015,
indomain,Alaska,1,0.5,6803,model,cci,catboost,none,0.0,18.553,2.219,14.253373092783335,27.14421588466727,
indomain,Alaska,1,0.75,6803,model,cci,catboost,none,0.0,17.88,2.498,13.985046039852316,24.957192334077945,
indomain,Alaska,1,1.0,6803,model,cci,catboost,none,0.0,17.615,2.777,14.081170259440757,23.958909207275738,
indomain,Alaska,2,0.0,6803,model,cci,catboost,none,0.0,20.945,1.66,15.9891999289701,32.11884178314847,
indomain,Alaska,2,0.25,6803,model,cci,catboost,none,0.0,19.524,1.641,15.392665801899659,28.697491313252886,
indomain,Alaska,2,0.5,6803,model,cci,catboost,none,0.0,18.41,1.621,14.509663720524594,26.244361704768416,
