interval,axis,bin,lo,hi,n,coverage,width_mean,interval_score
raw,alt_quintile,Q1,3.75,35.5087874,2722,0.056943423952975754,12.217768751467496,252.82917643435954
raw,alt_quintile,Q2,35.51086956521739,44.205000000000005,2721,0.3399485483278207,13.270955163354303,83.90409800420821
raw,alt_quintile,Q3,44.210191075,52.388579708,2721,0.7596471885336273,13.461660916745465,29.311589412721116
raw,alt_quintile,Q4,52.390563475,65.01603005380953,2721,0.6754869533259831,16.550453503602714,41.99503818690422
raw,alt_quintile,Q5,65.01635486088236,201.75,2721,0.39617787578096286,17.750664259890307,211.46588943527445
raw,width_quintile,W1,2.9217016170735945,8.05844492947034,2722,0.14107274063188832,6.565968934084978,197.46391996004937
raw,width_quintile,W2,8.058706908713958,11.46959798967827,2721,0.3480338110988607,9.593293500002256,130.51735112424353
raw,width_quintile,W3,11.469677871925683,16.897148022607098,2721,0.4902609334803381,14.266758782661181,106.18813600628108
raw,width_quintile,W4,16.899714107473436,20.497544887111168,2721,0.5931642778390298,18.750250186214135,91.99670427292934
raw,width_quintile,W5,20.497544887111168,49.43766520517958,2721,0.6556413083425211,24.077308296036502,93.36002750300884
raw,block_coverage_dist,blocks_n>=20 (33),0.15664656904966984,0.7621118012422361,13518,0.55,,0.9393939393939394
cqr,alt_quintile,Q1,3.75,35.5087874,2722,0.8479059515062454,50.98389638344797,64.19173533567827
cqr,alt_quintile,Q2,35.51086956521739,44.205000000000005,2721,0.9959573686144799,52.657930727338126,52.74439699926517
cqr,alt_quintile,Q3,44.210191075,52.388579708,2721,1.0,52.199733690007996,52.199733690007996
cqr,alt_quintile,Q4,52.390563475,65.01603005380953,2721,0.9996324880558618,55.189216535641044,55.19645631109411
cqr,alt_quintile,Q5,65.01635486088236,201.75,2721,0.8283719220874678,57.16877983428453,119.93000849285926
cqr,width_quintile,W1,33.976368899845674,44.45637412173932,2722,0.8592946362968406,42.33235830825857,75.52034096117288
cqr,width_quintile,W2,44.457640133790925,48.31932477489269,2721,0.914369717015803,46.14845436561579,62.89613305996599
cqr,width_quintile,W3,48.32096910105908,54.83775581485555,2721,0.9496508636530687,51.933909298923375,67.25921643650338
cqr,width_quintile,W4,54.84312771725039,61.746370564835594,2721,0.9805218669606762,58.20447620210014,61.99505174126576
cqr,width_quintile,W5,61.7501037851837,92.50613345971912,2721,0.9680264608599779,69.58353853939957,76.58742523211903
cqr,block_coverage_dist,blocks_n>=20 (33),0.7023809523809524,1.0,13518,0.98,,0.15151515151515152
