model,rmse,ci_lo,ci_hi,vs_GBM
앙상블(GBM+FT-T),16.95,14.924478935642615,23.026800736280574,동률
Diffusion,17.09,14.057624832828065,23.994976604282744,동률
GBM,17.24,14.766333886070713,23.757134270532895,동률
FT-Transformer,17.95,16.14683802043602,23.15013716425879,동률
MLP,18.18,16.360853799494326,23.92578116758523,동률
Flow matching,18.31,14.67288407558879,25.339318691146705,동률
TabM,20.36,17.437948129733183,24.723589380783146,동률
