method,cv_type,n,rmse_cm,mae_cm,bias_cm,r2,skill_over_mean
PHYS_only,spatial_block,17423,17.86,12.213,-1.311,0.2209,0.1173
ML_only,spatial_block,17423,20.524,15.629,6.363,-0.0288,-0.0143
RESIDUAL,spatial_block,17423,20.255,14.673,5.738,-0.0021,-0.001
PHYS_strat,spatial_block,17423,17.893,12.363,-0.552,0.218,0.1157
PHYS_only,LORO,17305,18.237,13.843,-2.746,0.1008,0.0517
ML_only,LORO,17305,40.644,25.778,17.542,-3.4667,-1.1135
RESIDUAL,LORO,17305,48.841,35.296,30.147,-5.4501,-1.5397
PHYS_strat,LORO,17305,19.036,14.712,3.85,0.0202,0.0102
