site,lat,lon,region,block,nn_km,block_share
Chara#220,56.67408,118.36963,Russia,11300236,0.6844809166255669,12
Cherskii#222,68.812194,160.98841,Russia,13700321,25.223614618572523,1
Chara#223,56.60562,118.4263,Russia,11300236,6.998199651149129,12
Chara#224,56.761026,118.189628,Russia,11300236,0.02770372846316466,12
Chara#225,56.905454,118.281306,Russia,11300236,8.191679654773239,12
Chara#226,56.86143,118.17319,Russia,11300236,7.124691621426018,12
Chara#227,56.54419,118.48066,Russia,11300236,7.599006081312474,12
Chara#228,56.67757,118.3604,Russia,11300236,0.6844809166255669,12
Abisko#230,68.350833,18.873333,Sweden,13600037,0.05707328248904625,8
Abisko#232,68.348083,18.977361,Sweden,13600037,0.16014906980352317,8
Abisko#233,68.347222,18.973889,Sweden,13600037,0.009609096518177257,8
Abisko#234,68.347306,18.973944,Sweden,13600037,0.009609096518177257,8
Abisko#235,68.346667,18.974722,Sweden,13600037,0.0324640613039701,8
Abisko#236,68.346944,18.974972,Sweden,13600037,0.0324640613039701,8
Mackenzie River#260,65.232,-126.52055,Canada,12999746,226.99725960198765,1
Mackenzie River#265,63.61194,-123.64194,Canada,12699752,226.99725960198765,1
Ellesmere Island#354,82.5,-62.41666667,Canada,16499875,0.0,3
Ellesmere Island#356,82.5,-62.41666667,Canada,16499875,0.0,3
Ellesmere Island#369,82.5,-62.41666667,Canada,16499875,0.0,3
Vorkuta#400,67.96188,61.52051,Russia,13500123,0.8211469016197229,3
Vorkuta#401,67.96219,61.49621,Russia,13500122,0.6533548492569712,1
Vorkuta#402,67.95733,61.50501,Russia,13500123,0.34319339149135447,3
Vorkuta#403,67.95469,61.50075,Russia,13500123,0.34319339149135447,3
Vorkuta#411,68.27393,62.51497,Russia,13600125,53.873276400815875,1
Novyi Urengoy#419,66.18825,76.54077,Russia,13200153,0.10785907884447399,2
Novyi Urengoy#420,66.18728,76.54077,Russia,13200153,0.10785907884447399,2
Bolvansky#431,68.291111,54.504167,Russia,13600109,0.1689685005668839,3
Bolvansky#432,68.28972,53.5025,Russia,13600107,40.32781020208025,1
