axis,fit_on,eval_subset,n,rmse,bias,rmse_stefan_cci
indomain_AK,E_all,ABoVE GPR 우세,10835,12.691581195783659,-2.218506970088445,
indomain_AK,E_all,ABoVE 탐침 우세,1284,20.323840209705402,-0.7938731453000585,
indomain_AK,E_all,CALM(탐침),64,15.381574004428536,-0.7276539455428427,
indomain_AK,E_all,ALL,13606,14.456724745464383,-0.9932706583650692,
indomain_AK,E_gpr,ABoVE GPR 우세,10835,12.724597989241444,-1.0516753559283778,
indomain_AK,E_gpr,ABoVE 탐침 우세,1284,20.42842867817214,0.32426614464214365,
indomain_AK,E_gpr,CALM(탐침),64,15.513068267297603,0.5108010738564267,
indomain_AK,E_gpr,ALL,13606,14.559298734036474,0.14601555990549342,
indomain_AK,E_probe,ABoVE GPR 우세,10835,12.62265744599882,-2.091096778587621,
indomain_AK,E_probe,ABoVE 탐침 우세,1284,20.441714263116907,-1.730386579127383,
indomain_AK,E_probe,CALM(탐침),64,15.562498998609996,-1.2873226920897873,
indomain_AK,E_probe,ALL,13606,14.370995422493612,-1.0984811827052319,
transfer_noinfo,E_all,Lena,2958,21.623974081831232,5.676348206946391,20.76094056848308
transfer_noinfo,E_probe,Lena,2958,21.593785670428588,5.559733346257375,20.76551891909353
transfer_noinfo,E_gpr,Lena,2958,21.934924022786774,6.768824357922935,20.725975694791263
transfer_noinfo,E_all,Canada,749,26.633749756933238,2.18231217822313,25.820710132215194
transfer_noinfo,E_probe,Canada,749,26.627946262479625,2.0233514076885015,25.8025795833681
transfer_noinfo,E_gpr,Canada,749,26.734608084559937,3.671495029566987,26.00190528036577
transfer_noinfo,E_all,Russia_W,28,42.455734340860666,-32.36599149517499,41.44395750678667
transfer_noinfo,E_probe,Russia_W,28,42.559000453003954,-32.50104631813971,41.491608239856625
transfer_noinfo,E_gpr,Russia_W,28,41.49739974885633,-31.10076532853078,41.00032148205575
transfer_noinfo,E_all,Russia_C,7,53.385994252504055,-19.903991277754567,53.99961304203407
transfer_noinfo,E_probe,Russia_C,7,53.456036226446884,-20.049512540323207,54.028733425519235
transfer_noinfo,E_gpr,Russia_C,7,52.74570098994677,-18.540712979629433,53.731044359004564
transfer_noinfo,E_all,Russia_E,27,28.444276079044673,-9.286842413946676,27.656741143859833
transfer_noinfo,E_probe,Russia_E,27,28.49067105043484,-9.415881432274873,27.686652183131187
transfer_noinfo,E_gpr,Russia_E,27,28.035021609217626,-8.077973756589891,27.382390076030095
transfer_noinfo,E_all,Greenland,3,43.39198511206248,-42.46204696903195,38.73375407849758
transfer_noinfo,E_probe,Greenland,3,43.45409433177011,-42.52863543592028,38.76317144765086
transfer_noinfo,E_gpr,Greenland,3,42.81108447269859,-41.83823014520896,38.45855545103889
