proto,target,seed,lam,family,anchor,pseudo,resid,r,rmse_cm,bias_cm,n,ci_lo,ci_hi,error
half,Lena,-1,0.0,analytic,stefan,none,none,0.0,16.157,7.363,1518,13.660648018891463,26.100440164969392,
half,Lena,-1,0.0,analytic,stefan_cci_w,none,none,0.0,16.158,7.361,1518,,,
half,Lena,0,1.0,direct,none,stefan,catboost,2.0,16.799,8.759,1518,14.493190692086774,26.065358828687263,
half,Lena,1,1.0,direct,none,stefan,catboost,2.0,16.787,8.654,1518,14.360426544257479,26.286827014904368,
half,Lena,2,1.0,direct,none,stefan,catboost,2.0,16.751,8.636,1518,14.441380338558856,23.932446511213474,
half,Lena,0,1.0,direct,none,cci,catboost,1.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,cci,catboost,1.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,cci,catboost,1.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,stefan_cci,catboost,0.5,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,stefan_cci,catboost,0.5,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,stefan_cci,catboost,0.5,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,stefan_cci,catboost,10.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,1,1.0,direct,none,stefan_cci,catboost,10.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,2,1.0,direct,none,stefan_cci,catboost,10.0,,,1518,,,catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data
half,Lena,0,1.0,direct,none,const,catboost,5.0,18.195,11.142,1518,15.746759586746352,26.24877419275354,
half,Lena,1,1.0,direct,none,const,catboost,5.0,18.201,11.219,1518,15.765337448566271,26.19665741086708,
half,Lena,2,1.0,direct,none,const,catboost,5.0,18.192,11.152,1518,15.857836393724476,24.33340230437243,
half,Lena,0,1.0,direct,none,stefan,mlp,1.0,16.818,8.66,1518,14.35857236060411,26.074382472541103,
half,Lena,1,1.0,direct,none,stefan,mlp,1.0,16.996,8.972,1518,14.480692458220073,26.233920147702406,
half,Lena,2,1.0,direct,none,stefan,mlp,1.0,16.978,8.881,1518,14.508830316174917,23.994006352865465,
half,Lena,0,1.0,direct,none,cci,mlp,0.5,,,1518,,,diverged
half,Lena,1,1.0,direct,none,cci,mlp,0.5,,,1518,,,diverged
half,Lena,2,1.0,direct,none,cci,mlp,0.5,,,1518,,,diverged
half,Lena,0,1.0,direct,none,cci,mlp,10.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,cci,mlp,10.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,cci,mlp,10.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,stefan_cci,mlp,5.0,,,1518,,,diverged
half,Lena,1,1.0,direct,none,stefan_cci,mlp,5.0,,,1518,,,diverged
half,Lena,2,1.0,direct,none,stefan_cci,mlp,5.0,,,1518,,,diverged
half,Lena,0,1.0,direct,none,const,mlp,2.0,18.068,10.963,1518,15.605579892369182,26.16252903556357,
half,Lena,1,1.0,direct,none,const,mlp,2.0,18.206,11.239,1518,15.709861096412984,26.12718050306282,
half,Lena,2,1.0,direct,none,const,mlp,2.0,18.207,11.2,1518,15.859669439073569,24.33782414283393,
half,Lena,0,1.0,direct,none,stefan,ftt,0.5,16.932,8.676,1518,14.604857519898395,26.05428329156547,
