axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
indomain_AK,Alaska,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,13606,14.239,10.506,-1.096,0.3289,0.1808,14.457,-0.21799999999999997,-0.7043560985074523,0.32282777758900705
indomain_AK,Alaska,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),13606,14.689,10.997,-1.331,0.2859,0.1549,14.457,0.23199999999999932,-0.04315995061406696,0.7196708632949422
LORO,Canada,F1k1,F1 Stefan,1,E·√TDD,752,27.874,21.533,0.675,0.1955,0.103,27.874,0.0,0.0,0.0
LORO,Canada,F1k2,F1 Stefan,2,a+E·√TDD,752,28.462,21.529,-1.877,0.1611,0.0841,27.874,0.588000000000001,-0.795635956492142,1.8110877736334956
LORO,Canada,F2k2,F2 멱법칙,2,a·TDD^b,752,28.551,21.632,-1.806,0.1559,0.0812,27.874,0.6769999999999996,-0.6257553327061495,1.9435439727112223
LORO,Canada,F3k2,F3 TDD 선형,2,a+b·TDD,752,27.727,20.982,-1.218,0.2039,0.1078,27.874,-0.14699999999999847,-1.0658068542018366,0.6792124138757045
LORO,Canada,F4k2,F4 MAAT 선형,2,a+b·MAAT,752,29.568,20.746,-10.092,0.0947,0.0485,27.874,1.6940000000000026,-3.4990243400583334,5.718831962646913
LORO,Canada,F5k0,F5 edaphic,0,pedotransfer raw,752,85.199,80.958,80.123,-6.5165,-1.7416,27.874,57.325,47.85822283821277,70.52197225029855
LORO,Canada,F5k1,F5 edaphic,1,c·edaphic,752,29.271,24.094,14.49,0.1128,0.0581,27.874,1.397000000000002,-3.1665426326044663,7.25273585668707
LORO,Canada,F5k2,F5 edaphic,2,a+c·edaphic,752,26.994,21.002,2.482,0.2455,0.1314,27.874,-0.879999999999999,-1.92720508284328,0.667657678281968
LORO,Canada,F6k0,F6 Kudryavtsev,0,raw,751,59.982,54.731,53.399,-2.9091,-0.9772,26.97,33.012,24.31669288167774,47.71209149777009
LORO,Canada,F6k1,F6 Kudryavtsev,1,c·Ku,751,31.375,26.297,19.645,-0.0695,-0.0342,26.97,4.405000000000001,-1.6897767509217363,13.004561429793949
LORO,Canada,F6k2,F6 Kudryavtsev,2,a+c·Ku,751,25.931,20.074,-0.078,0.2694,0.1452,26.97,-1.038999999999998,-2.8861217921148294,0.10823820843896752
LORO,Canada,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,752,27.875,20.82,-2.555,0.1954,0.103,27.874,0.0010000000000012221,-1.9954515765596998,1.4447143392881716
LORO,Canada,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,752,27.58,20.754,-1.657,0.2123,0.1125,27.874,-0.2940000000000005,-1.7711543673480419,0.8686370609403155
LORO,Canada,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),752,28.248,21.398,-1.579,0.1737,0.091,27.874,0.37400000000000233,-0.66862001497779,1.284883741446588
LORO,Canada,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,752,28.212,21.68,-0.013,0.1758,0.0922,27.874,0.33800000000000097,-0.06467632104297695,0.7206260040489358
LORO,Canada,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),752,27.802,21.545,1.347,0.1996,0.1054,27.874,-0.07199999999999918,-0.3424404279384012,0.33669983577162066
LORO,Alaska,F1k1,F1 Stefan,1,E·√TDD,13606,14.69,10.744,-4.409,0.2858,0.1549,14.69,0.0,0.0,0.0
LORO,Alaska,F1k2,F1 Stefan,2,a+E·√TDD,13606,17.567,13.917,-5.763,-0.0214,-0.0107,14.69,2.8770000000000007,0.5088541302780047,4.93017473298748
LORO,Alaska,F2k2,F2 멱법칙,2,a·TDD^b,13606,17.023,13.372,-4.804,0.0409,0.0207,14.69,2.333,0.5776955189478103,3.6687969400920246
LORO,Alaska,F3k2,F3 TDD 선형,2,a+b·TDD,13606,16.077,12.331,-3.863,0.1445,0.0751,14.69,1.3870000000000022,0.4188929129271155,2.175746567755305
