axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
LORO,Alaska,direct_catboost,2,1.515,13606.0,39.025,32.361,30.806,-4.0407,17.382,-1.2451,0.1004,18.63,,,,,,,,,,,
LORO,Alaska,direct_mlp,2,1.515,13606.0,37.582,29.192,20.48,-3.6747,17.382,-1.1621,,,,,,,,,,,,,
LORO,Alaska,physfeat_catboost,2,1.515,13606.0,43.509,36.528,35.022,-5.2656,17.382,-1.5031,0.0844,24.999,,,,,,,,,,,
LORO,Alaska,pool_catboost,2,1.515,13606.0,16.52,12.647,-4.567,0.0968,17.382,0.0496,0.1885,9.049,,,,,,,,,,,
LORO,Alaska,pool_mlp,2,1.515,13606.0,16.426,12.581,-4.846,0.1069,17.382,0.055,,,,,,,,,,,,,
LORO,Alaska,fixaug_catboost,2,1.515,13606.0,14.567,10.644,-4.05,0.2976,17.382,0.1619,0.0535,1.605,,,,,,,,,,,
LORO,Alaska,sa_z,2,1.515,13606.0,17.826,13.95,-7.621,-0.0517,17.382,-0.0255,0.9967,133.536,,,,,,,,,,,
LORO,Alaska,sa_fusion,2,1.515,13606.0,17.205,13.379,-7.416,0.0203,17.382,0.0102,0.0722,4.226,,,,,,,,,,,
LORO,Lena,stefan_anchor,0,1.6224,3037.0,21.722,15.632,5.578,-0.0605,21.094,-0.0298,,,,,,,,,,,,,
LORO,Lena,direct_catboost,0,1.6224,3037.0,49.91,46.939,45.519,-4.5985,21.094,-1.3661,0.0454,28.624,,,,,,,,,,,
LORO,Lena,direct_mlp,0,1.6224,3037.0,28.793,23.604,15.248,-0.8632,21.094,-0.365,,,,,,,,,,,,,
LORO,Lena,physfeat_catboost,0,1.6224,3037.0,47.181,44.325,42.581,-4.003,21.094,-1.2367,0.0527,38.364,,,,,,,,,,,
LORO,Lena,pool_catboost,0,1.6224,3037.0,20.897,13.02,-1.577,0.0186,21.094,0.0093,0.4096,15.021,,,,,,,,,,,
LORO,Lena,pool_mlp,0,1.6224,3037.0,21.024,13.051,-1.823,0.0066,21.094,0.0033,,,,,,,,,,,,,
LORO,Lena,fixaug_catboost,0,1.6224,3037.0,21.738,15.652,5.595,-0.062,21.094,-0.0305,0.0148,0.91,,,,,,,,,,,
LORO,Lena,sa_z,0,1.6224,3037.0,21.695,15.557,5.355,-0.0578,21.094,-0.0285,0.9993,793.235,,,,,,,,,,,
LORO,Lena,sa_fusion,0,1.6224,3037.0,21.679,15.554,5.406,-0.0562,21.094,-0.0277,0.0807,4.242,,,,,,,,,,,
LORO,Lena,direct_catboost,1,1.6224,3037.0,47.369,44.536,42.706,-4.0428,21.094,-1.2456,0.1149,41.448,,,,,,,,,,,
LORO,Lena,direct_mlp,1,1.6224,3037.0,39.21,35.031,29.87,-2.4553,21.094,-0.8588,,,,,,,,,,,,,
LORO,Lena,physfeat_catboost,1,1.6224,3037.0,42.128,39.064,36.888,-2.9888,21.094,-0.9972,0.1126,33.723,,,,,,,,,,,
LORO,Lena,pool_catboost,1,1.6224,3037.0,20.897,13.023,-1.582,0.0186,21.094,0.0093,0.4129,15.078,,,,,,,,,,,
LORO,Lena,pool_mlp,1,1.6224,3037.0,20.929,13.165,-1.235,0.0155,21.094,0.0078,,,,,,,,,,,,,
LORO,Lena,fixaug_catboost,1,1.6224,3037.0,21.743,15.656,5.595,-0.0625,21.094,-0.0308,0.0188,1.078,,,,,,,,,,,
LORO,Lena,sa_z,1,1.6224,3037.0,21.632,15.378,4.637,-0.0517,21.094,-0.0255,0.9997,877.677,,,,,,,,,,,
LORO,Lena,sa_fusion,1,1.6224,3037.0,21.551,15.309,4.775,-0.0439,21.094,-0.0217,0.2246,11.669,,,,,,,,,,,
LORO,Lena,direct_catboost,2,1.6224,3037.0,45.312,41.94,40.303,-3.6144,21.094,-1.1481,0.0234,14.012,,,,,,,,,,,
LORO,Lena,direct_mlp,2,1.6224,3037.0,36.204,32.606,26.826,-1.9458,21.094,-0.7163,,,,,,,,,,,,,
LORO,Lena,physfeat_catboost,2,1.6224,3037.0,44.893,41.931,40.22,-3.5295,21.094,-1.1283,0.0244,22.608,,,,,,,,,,,
LORO,Lena,pool_catboost,2,1.6224,3037.0,20.872,13.01,-1.567,0.0209,21.094,0.0105,0.4211,15.236,,,,,,,,,,,
LORO,Lena,pool_mlp,2,1.6224,3037.0,21.038,12.904,-2.323,0.0053,21.094,0.0027,,,,,,,,,,,,,
LORO,Lena,fixaug_catboost,2,1.6224,3037.0,21.729,15.651,5.596,-0.0611,21.094,-0.0301,0.0168,0.993,,,,,,,,,,,
LORO,Lena,sa_z,2,1.6224,3037.0,21.732,15.652,5.536,-0.0614,21.094,-0.0302,1.0,1152.591,,,,,,,,,,,
LORO,Lena,sa_fusion,2,1.6224,3037.0,21.567,15.355,4.965,-0.0454,21.094,-0.0224,0.2035,11.802,,,,,,,,,,,
