axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
AK_fold,fold3,physfeat_catboost,2,1.6516,1778.0,11.061,8.263,-1.108,0.3292,13.505,0.181,0.8757,32.642,,,,,,,,,,,
AK_fold,fold3,pool_catboost,2,1.6516,1778.0,13.13,9.517,4.172,0.0548,13.505,0.0278,0.3645,10.619,,,,,,,,,,,
AK_fold,fold3,pool_mlp,2,1.6516,1778.0,13.196,9.582,4.01,0.0452,13.505,0.0229,,,,,,,,,,,,,
AK_fold,fold3,fixaug_catboost,2,1.6516,1778.0,13.31,10.254,6.773,0.0287,13.505,0.0144,0.0951,3.785,,,,,,,,,,,
AK_fold,fold3,sa_z,2,1.6516,1778.0,12.712,9.548,-1.098,0.114,13.505,0.0587,0.9916,134.801,,,,,,,,,,,
AK_fold,fold3,sa_fusion,2,1.6516,1778.0,12.798,9.269,0.957,0.102,13.505,0.0524,0.329,10.626,,,,,,,,,,,
AK_fold,fold4,stefan_anchor,0,1.6063,1778.0,11.962,9.093,-3.169,-0.1912,10.96,-0.0914,,,,,,,,,,,,,
AK_fold,fold4,direct_catboost,0,1.6063,1778.0,11.635,8.944,-2.455,-0.1271,10.96,-0.0616,0.6873,23.405,,,,,,,,,,,
AK_fold,fold4,direct_mlp,0,1.6063,1778.0,14.755,11.516,-5.703,-0.8127,10.96,-0.3463,,,,,,,,,,,,,
AK_fold,fold4,physfeat_catboost,0,1.6063,1778.0,12.091,9.281,-3.569,-0.2171,10.96,-0.1032,0.6935,23.77,,,,,,,,,,,
AK_fold,fold4,pool_catboost,0,1.6063,1778.0,12.572,9.578,-1.678,-0.3159,10.96,-0.1471,0.2047,7.363,,,,,,,,,,,
AK_fold,fold4,pool_mlp,0,1.6063,1778.0,12.541,9.578,-1.78,-0.3093,10.96,-0.1443,,,,,,,,,,,,,
AK_fold,fold4,fixaug_catboost,0,1.6063,1778.0,11.938,9.079,-3.184,-0.1865,10.96,-0.0893,0.1018,3.087,,,,,,,,,,,
AK_fold,fold4,sa_z,0,1.6063,1778.0,11.199,8.69,-0.417,-0.0441,10.96,-0.0218,0.9972,953.728,,,,,,,,,,,
AK_fold,fold4,sa_fusion,0,1.6063,1778.0,11.544,9.007,-0.155,-0.1096,10.96,-0.0534,0.1985,9.211,,,,,,,,,,,
AK_fold,fold4,direct_catboost,1,1.6063,1778.0,12.46,9.625,-4.209,-0.2925,10.96,-0.1369,0.6204,18.762,,,,,,,,,,,
AK_fold,fold4,direct_mlp,1,1.6063,1778.0,12.782,9.95,-4.427,-0.3602,10.96,-0.1663,,,,,,,,,,,,,
AK_fold,fold4,physfeat_catboost,1,1.6063,1778.0,12.062,9.241,-3.306,-0.2113,10.96,-0.1006,0.5253,16.455,,,,,,,,,,,
AK_fold,fold4,pool_catboost,1,1.6063,1778.0,12.599,9.597,-1.687,-0.3215,10.96,-0.1495,0.2148,7.735,,,,,,,,,,,
AK_fold,fold4,pool_mlp,1,1.6063,1778.0,12.488,9.551,-1.799,-0.2984,10.96,-0.1395,,,,,,,,,,,,,
AK_fold,fold4,fixaug_catboost,1,1.6063,1778.0,11.936,9.077,-3.187,-0.1862,10.96,-0.0891,0.104,3.149,,,,,,,,,,,
AK_fold,fold4,sa_z,1,1.6063,1778.0,11.498,8.792,-1.607,-0.1007,10.96,-0.0492,0.9983,951.663,,,,,,,,,,,
AK_fold,fold4,sa_fusion,1,1.6063,1778.0,11.75,8.978,-1.859,-0.1494,10.96,-0.0721,0.3178,10.709,,,,,,,,,,,
AK_fold,fold4,direct_catboost,2,1.6063,1778.0,11.798,9.068,-2.276,-0.1588,10.96,-0.0765,0.6102,18.323,,,,,,,,,,,
AK_fold,fold4,direct_mlp,2,1.6063,1778.0,12.071,9.29,-1.008,-0.213,10.96,-0.1014,,,,,,,,,,,,,
AK_fold,fold4,physfeat_catboost,2,1.6063,1778.0,11.964,9.202,-3.323,-0.1916,10.96,-0.0916,0.6879,21.625,,,,,,,,,,,
AK_fold,fold4,pool_catboost,2,1.6063,1778.0,12.6,9.596,-1.698,-0.3217,10.96,-0.1497,0.2098,7.475,,,,,,,,,,,
AK_fold,fold4,pool_mlp,2,1.6063,1778.0,12.48,9.504,-1.622,-0.2968,10.96,-0.1388,,,,,,,,,,,,,
AK_fold,fold4,fixaug_catboost,2,1.6063,1778.0,11.941,9.079,-3.186,-0.187,10.96,-0.0895,0.1299,3.955,,,,,,,,,,,
AK_fold,fold4,sa_z,2,1.6063,1778.0,11.398,8.846,-0.035,-0.0816,10.96,-0.04,0.9944,1060.348,,,,,,,,,,,
AK_fold,fold4,sa_fusion,2,1.6063,1778.0,11.651,9.081,0.255,-0.1301,10.96,-0.0631,0.1254,6.238,,,,,,,,,,,
AK_fold,fold5,stefan_anchor,0,1.6208,1778.0,22.563,16.283,0.444,0.0613,23.288,0.0311,,,,,,,,,,,,,
AK_fold,fold5,direct_catboost,0,1.6208,1778.0,23.267,15.534,-8.621,0.0018,23.288,0.0009,0.5607,23.144,,,,,,,,,,,
AK_fold,fold5,direct_mlp,0,1.6208,1778.0,23.23,15.635,-6.821,0.005,23.288,0.0025,,,,,,,,,,,,,
AK_fold,fold5,physfeat_catboost,0,1.6208,1778.0,23.268,15.499,-8.56,0.0017,23.288,0.0008,0.5433,22.44,,,,,,,,,,,
AK_fold,fold5,pool_catboost,0,1.6208,1778.0,25.607,20.015,2.905,-0.2091,23.288,-0.0996,0.261,19.612,,,,,,,,,,,
AK_fold,fold5,pool_mlp,0,1.6208,1778.0,25.178,19.535,2.242,-0.1689,23.288,-0.0812,,,,,,,,,,,,,
AK_fold,fold5,fixaug_catboost,0,1.6208,1778.0,22.549,16.272,0.43,0.0625,23.288,0.0317,0.1777,7.782,,,,,,,,,,,
AK_fold,fold5,sa_z,0,1.6208,1778.0,22.464,16.217,0.027,0.0695,23.288,0.0354,0.9713,307.466,,,,,,,,,,,
AK_fold,fold5,sa_fusion,0,1.6208,1778.0,22.734,16.533,0.902,0.047,23.288,0.0238,0.2722,18.307,,,,,,,,,,,
AK_fold,fold5,direct_catboost,1,1.6208,1778.0,23.379,15.566,-8.693,-0.0078,23.288,-0.0039,0.5377,22.862,,,,,,,,,,,
AK_fold,fold5,direct_mlp,1,1.6208,1778.0,23.334,15.865,-6.273,-0.0039,23.288,-0.002,,,,,,,,,,,,,
AK_fold,fold5,physfeat_catboost,1,1.6208,1778.0,23.277,15.469,-8.637,0.001,23.288,0.0005,0.563,23.502,,,,,,,,,,,
AK_fold,fold5,pool_catboost,1,1.6208,1778.0,25.605,20.014,2.927,-0.2089,23.288,-0.0995,0.2373,18.477,,,,,,,,,,,
AK_fold,fold5,pool_mlp,1,1.6208,1778.0,25.12,19.412,2.081,-0.1635,23.288,-0.0787,,,,,,,,,,,,,
AK_fold,fold5,fixaug_catboost,1,1.6208,1778.0,22.554,16.274,0.431,0.0621,23.288,0.0315,0.1586,7.329,,,,,,,,,,,
AK_fold,fold5,sa_z,1,1.6208,1778.0,22.433,16.213,0.531,0.072,23.288,0.0367,0.9792,323.863,,,,,,,,,,,
AK_fold,fold5,sa_fusion,1,1.6208,1778.0,22.725,16.551,1.06,0.0477,23.288,0.0242,0.221,13.128,,,,,,,,,,,
AK_fold,fold5,direct_catboost,2,1.6208,1778.0,23.192,15.49,-8.403,0.0082,23.288,0.0041,0.5652,23.181,,,,,,,,,,,
AK_fold,fold5,direct_mlp,2,1.6208,1778.0,22.814,15.272,-6.706,0.0403,23.288,0.0204,,,,,,,,,,,,,
AK_fold,fold5,physfeat_catboost,2,1.6208,1778.0,23.512,15.836,-8.917,-0.0193,23.288,-0.0096,0.5467,23.544,,,,,,,,,,,
AK_fold,fold5,pool_catboost,2,1.6208,1778.0,25.602,20.012,2.903,-0.2086,23.288,-0.0994,0.2351,18.199,,,,,,,,,,,
AK_fold,fold5,pool_mlp,2,1.6208,1778.0,25.091,19.402,2.218,-0.1609,23.288,-0.0774,,,,,,,,,,,,,
AK_fold,fold5,fixaug_catboost,2,1.6208,1778.0,22.553,16.274,0.427,0.0621,23.288,0.0316,0.153,7.24,,,,,,,,,,,
AK_fold,fold5,sa_z,2,1.6208,1778.0,22.668,16.428,0.529,0.0526,23.288,0.0266,0.9904,319.016,,,,,,,,,,,
AK_fold,fold5,sa_fusion,2,1.6208,1778.0,22.787,16.61,1.002,0.0425,23.288,0.0215,0.2182,11.746,,,,,,,,,,,
spatial_block_AK,Alaska,direct_catboost,0,,13606.0,15.552,11.663,2.39,0.1994,17.382,0.1053,0.5358,20.314,,,,,,,,,,,
spatial_block_AK,Alaska,direct_catboost,1,,13606.0,15.953,12.009,2.397,0.1577,17.382,0.0822,0.4961,17.631,,,,,,,,,,,
spatial_block_AK,Alaska,direct_catboost,2,,13606.0,15.473,11.524,2.018,0.2076,17.382,0.1098,0.4935,18.14,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,direct_catboost,-1,,13606.0,15.607,11.676,2.268,0.1938,17.382,0.1021,,,,,,,,,,,,,
spatial_block_AK,Alaska,direct_mlp,0,,13606.0,14.897,10.901,1.319,0.2655,17.382,0.1429,,,,,,,,,,,,,
spatial_block_AK,Alaska,direct_mlp,1,,13606.0,14.299,10.238,0.109,0.3233,17.382,0.1774,,,,,,,,,,,,,
spatial_block_AK,Alaska,direct_mlp,2,,13606.0,14.793,10.885,2.916,0.2757,17.382,0.149,,,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,direct_mlp,-1,,13606.0,14.374,10.373,1.448,0.3162,17.382,0.1731,,,,,,,,,,,,,
spatial_block_AK,Alaska,fixaug_catboost,0,,13606.0,14.448,10.725,-1.002,0.3091,17.382,0.1688,0.0722,2.631,,,,,,,,,,,
spatial_block_AK,Alaska,fixaug_catboost,1,,13606.0,14.449,10.725,-1.001,0.309,17.382,0.1687,0.0665,2.505,,,,,,,,,,,
spatial_block_AK,Alaska,fixaug_catboost,2,,13606.0,14.45,10.726,-1.002,0.3089,17.382,0.1687,0.0713,2.625,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,fixaug_catboost,-1,,13606.0,14.449,10.725,-1.002,0.309,17.382,0.1687,,,,,,,,,,,,,
spatial_block_AK,Alaska,physfeat_catboost,0,,13606.0,15.423,11.404,1.566,0.2127,17.382,0.1127,0.5376,20.274,,,,,,,,,,,
spatial_block_AK,Alaska,physfeat_catboost,1,,13606.0,15.217,11.284,1.368,0.2336,17.382,0.1245,0.4996,18.196,,,,,,,,,,,
spatial_block_AK,Alaska,physfeat_catboost,2,,13606.0,15.603,11.658,2.173,0.1942,17.382,0.1024,0.5523,20.143,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,physfeat_catboost,-1,,13606.0,15.368,11.399,1.702,0.2183,17.382,0.1159,,,,,,,,,,,,,
spatial_block_AK,Alaska,pool_catboost,0,,13606.0,16.373,12.526,-3.085,0.1128,17.382,0.0581,0.2445,10.512,,,,,,,,,,,
spatial_block_AK,Alaska,pool_catboost,1,,13606.0,16.378,12.532,-3.086,0.1122,17.382,0.0578,0.242,10.415,,,,,,,,,,,
spatial_block_AK,Alaska,pool_catboost,2,,13606.0,16.376,12.531,-3.093,0.1123,17.382,0.0578,0.2439,10.434,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,pool_catboost,-1,,13606.0,16.375,12.53,-3.088,0.1125,17.382,0.0579,,,,,,,,,,,,,
spatial_block_AK,Alaska,pool_mlp,0,,13606.0,16.23,12.41,-3.307,0.1282,17.382,0.0663,,,,,,,,,,,,,
spatial_block_AK,Alaska,pool_mlp,1,,13606.0,16.156,12.352,-3.178,0.1361,17.382,0.0705,,,,,,,,,,,,,
spatial_block_AK,Alaska,pool_mlp,2,,13606.0,16.172,12.358,-3.085,0.1343,17.382,0.0696,,,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,pool_mlp,-1,,13606.0,16.18,12.369,-3.19,0.1335,17.382,0.0691,,,,,,,,,,,,,
spatial_block_AK,Alaska,sa_fusion,0,,13606.0,14.462,10.698,-1.801,0.3078,17.382,0.168,0.2209,9.914,,,,,,,,,,,
spatial_block_AK,Alaska,sa_fusion,1,,13606.0,14.445,10.671,-1.979,0.3093,17.382,0.1689,0.2595,9.29,,,,,,,,,,,
spatial_block_AK,Alaska,sa_fusion,2,,13606.0,14.494,10.735,-1.752,0.3047,17.382,0.1661,0.2232,7.934,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,sa_fusion,-1,,13606.0,14.453,10.69,-1.844,0.3086,17.382,0.1685,,,,,,,,,,,,,
spatial_block_AK,Alaska,sa_z,0,,13606.0,14.361,10.615,-1.873,0.3174,17.382,0.1738,0.9931,302.993,,,,,,,,,,,
spatial_block_AK,Alaska,sa_z,1,,13606.0,14.433,10.696,-2.793,0.3105,17.382,0.1696,0.9927,342.311,,,,,,,,,,,
spatial_block_AK,Alaska,sa_z,2,,13606.0,14.37,10.66,-2.19,0.3165,17.382,0.1733,0.9953,384.304,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,sa_z,-1,,13606.0,14.349,10.624,-2.285,0.3185,17.382,0.1745,,,,,,,,,,,,,
spatial_block_AK,Alaska,stefan_anchor,0,,13606.0,14.457,10.731,-0.993,0.3083,17.382,0.1683,,,,,,,,,,,,,
spatial_block_AK_seedmean,Alaska,stefan_anchor,-1,,13606.0,14.457,10.731,-0.993,0.3083,17.382,0.1683,,,,,,,,,,,,,
boot_LORO,Canada,sa_fusion_vs_direct_catboost,-1,,,,,,,,,,,-0.44939538769904447,-3.938103581426501,3.4636800249087707,,,,,,,,
boot_LORO,Canada,sa_fusion_vs_physfeat_catboost,-1,,,,,,,,,,,-0.5480773632922983,-4.240709622063152,3.5270449799836023,,,,,,,,
boot_LORO,Canada,sa_fusion_vs_pool_catboost,-1,,,,,,,,,,,-0.4800320932983834,-3.483586409833822,3.4596992119174796,,,,,,,,
boot_LORO,Canada,sa_fusion_vs_fixaug_catboost,-1,,,,,,,,,,,0.6966743203021324,0.2401240951778311,1.2304538523681592,,,,,,,,
boot_LORO,Canada,sa_fusion_vs_stefan_anchor,-1,,,,,,,,,,,0.6324351590817527,0.24763741373014012,1.061843509526366,,,,,,,,
boot_LORO,Canada,sa_z_vs_stefan_anchor,-1,,,,,,,,,,,0.24365832932649018,-1.8486200113820912,2.5407247337421,,,,,,,,
boot_LORO,Canada,sa_z_vs_direct_catboost,-1,,,,,,,,,,,-1.1179794662208342,-6.956439480390181,4.296806782941907,,,,,,,,
boot_LORO,Canada,sa_z_vs_direct_mlp,-1,,,,,,,,,,,1.1968780366686806,-4.008958654638152,7.652061646639039,,,,,,,,
boot_LORO,Canada,sa_z_vs_pool_mlp,-1,,,,,,,,,,,-0.8806795105002905,-6.2180215649974855,3.7141287810953334,,,,,,,,
boot_LORO,Alaska,sa_fusion_vs_direct_catboost,-1,,,,,,,,,,,25.968577019468494,14.558987818243914,40.208348419795065,,,,,,,,
boot_LORO,Alaska,sa_fusion_vs_physfeat_catboost,-1,,,,,,,,,,,27.96855323401492,14.16283061191718,44.617923630706485,,,,,,,,
boot_LORO,Alaska,sa_fusion_vs_pool_catboost,-1,,,,,,,,,,,0.7151231413101204,0.00194710023558603,1.9375571900561035,,,,,,,,
boot_LORO,Alaska,sa_fusion_vs_fixaug_catboost,-1,,,,,,,,,,,-1.253830455496939,-2.951608035055215,-0.04684823101995738,,,,,,,,
boot_LORO,Alaska,sa_fusion_vs_stefan_anchor,-1,,,,,,,,,,,-1.1318830278731686,-2.795571930245819,0.018157016052533236,,,,,,,,
boot_LORO,Alaska,sa_z_vs_stefan_anchor,-1,,,,,,,,,,,-1.372985096507841,-3.034200932382157,0.014102885179072263,,,,,,,,
boot_LORO,Alaska,sa_z_vs_direct_catboost,-1,,,,,,,,,,,26.468063922561075,14.431556855187903,39.67569592741026,,,,,,,,
boot_LORO,Alaska,sa_z_vs_direct_mlp,-1,,,,,,,,,,,22.49548486219446,7.5889922914451144,39.07670256220938,,,,,,,,
boot_LORO,Alaska,sa_z_vs_pool_mlp,-1,,,,,,,,,,,0.42918955399955083,-0.40658346951623175,1.790515612849241,,,,,,,,
boot_LORO,Lena,sa_fusion_vs_direct_catboost,-1,,,,,,,,,,,24.523397450125447,9.550149964254913,31.70917399356579,,,,,,,,
boot_LORO,Lena,sa_fusion_vs_physfeat_catboost,-1,,,,,,,,,,,22.11793614766321,10.894903175915152,28.664902025277794,,,,,,,,
boot_LORO,Lena,sa_fusion_vs_pool_catboost,-1,,,,,,,,,,,-0.6557068834467347,-2.146011786446545,1.611690059393788,,,,,,,,
boot_LORO,Lena,sa_fusion_vs_fixaug_catboost,-1,,,,,,,,,,,0.14325466795123074,-0.04362841457528964,0.34075264661247034,,,,,,,,
boot_LORO,Lena,sa_fusion_vs_stefan_anchor,-1,,,,,,,,,,,0.1278507332634914,-0.059033157549272436,0.25684494554769627,,,,,,,,
boot_LORO,Lena,sa_z_vs_stefan_anchor,-1,,,,,,,,,,,0.02845000739934703,-0.14142661813560703,0.17721739900932948,,,,,,,,
boot_LORO,Lena,sa_z_vs_direct_catboost,-1,,,,,,,,,,,25.03440193801973,11.976307061238314,32.2771922934987,,,,,,,,
boot_LORO,Lena,sa_z_vs_direct_mlp,-1,,,,,,,,,,,11.840174293282875,3.740893089306841,17.976703299899086,,,,,,,,
boot_LORO,Lena,sa_z_vs_pool_mlp,-1,,,,,,,,,,,-0.5517364661817942,-2.659365532657496,1.9758271997680967,,,,,,,,
boot_spatial_block_AK,Alaska,sa_fusion_vs_direct_catboost,-1,,,,,,,,,,,0.7728987284139627,-1.1752301626929247,2.6239036619710485,,,,,,,,
boot_spatial_block_AK,Alaska,sa_fusion_vs_physfeat_catboost,-1,,,,,,,,,,,0.6516558055298045,-0.9681551260410196,2.0929785900618554,,,,,,,,
boot_spatial_block_AK,Alaska,sa_fusion_vs_pool_catboost,-1,,,,,,,,,,,1.8155752686883466,0.5072689173024941,3.1138047950267103,,,,,,,,
boot_spatial_block_AK,Alaska,sa_fusion_vs_fixaug_catboost,-1,,,,,,,,,,,0.005734207543404383,-0.2239172945592307,0.2756938124796514,,,,,,,,
boot_spatial_block_AK,Alaska,sa_fusion_vs_stefan_anchor,-1,,,,,,,,,,,0.004429433231157009,-0.21244787899896514,0.29072609779507524,,,,,,,,
boot_spatial_block_AK,Alaska,sa_z_vs_stefan_anchor,-1,,,,,,,,,,,0.14989536962755215,-0.11861426647862387,0.4721614040797231,,,,,,,,
boot_spatial_block_AK,Alaska,sa_z_vs_direct_catboost,-1,,,,,,,,,,,0.9382257974793773,-1.0671096268499034,2.618917764208262,,,,,,,,
boot_spatial_block_AK,Alaska,sa_z_vs_direct_mlp,-1,,,,,,,,,,,0.08540911823197547,-0.7645183490810183,1.0026529821141852,,,,,,,,
boot_spatial_block_AK,Alaska,sa_z_vs_pool_mlp,-1,,,,,,,,,,,1.8008532962466037,0.4809279214322884,3.034390095085423,,,,,,,,
LORO,Canada,sa_diag,0,,,,,,,,,,,,,,direct,0.0,120.42998504638672,0.0,0.0,0.0,0.0,diagnostic
LORO,Canada,sa_diag,0,,,,,,,,,,,,,,stefan,0.3032626211643219,4.199028491973877,-0.6889282133711996,17.019591211512573,1.2730166655219695,27.43982346964773,diagnostic
LORO,Canada,sa_diag,0,,,,,,,,,,,,,,cci,-0.6062316298484802,42.626373291015625,-5.961457171616276,20.393162913731963,10.605177489832892,28.16378255137571,diagnostic
LORO,Canada,sa_diag,1,,,,,,,,,,,,,,direct,0.0,63.541072845458984,0.0,0.0,0.0,0.0,diagnostic
LORO,Canada,sa_diag,1,,,,,,,,,,,,,,stefan,0.13826227188110352,17.018970489501953,-0.6889282133711996,17.019591211512573,1.2730166655219695,27.43982346964773,diagnostic
LORO,Canada,sa_diag,1,,,,,,,,,,,,,,cci,-0.19155791401863098,31.75089454650879,-5.961457171616276,20.393162913731963,10.605177489832892,28.16378255137571,diagnostic
LORO,Canada,sa_diag,2,,,,,,,,,,,,,,direct,0.0,139.42967224121094,0.0,0.0,0.0,0.0,diagnostic
LORO,Canada,sa_diag,2,,,,,,,,,,,,,,stefan,-0.03275223448872566,8.648111343383789,-0.6889282133711996,17.019591211512573,1.2730166655219695,27.43982346964773,diagnostic
LORO,Canada,sa_diag,2,,,,,,,,,,,,,,cci,-0.33953285217285156,28.41313362121582,-5.961457171616276,20.393162913731963,10.605177489832892,28.16378255137571,diagnostic
LORO,Alaska,sa_diag,0,,,,,,,,,,,,,,direct,0.0,33.957908630371094,0.0,0.0,0.0,0.0,diagnostic
LORO,Alaska,sa_diag,0,,,,,,,,,,,,,,stefan,-0.15941554307937622,6.1464691162109375,0.4825550537003411,26.145776717268493,-4.047182893175449,14.029903233901262,diagnostic
LORO,Alaska,sa_diag,0,,,,,,,,,,,,,,cci,-0.4153195023536682,9.360302925109863,-5.858403959506088,26.623062608709976,-5.087498948030036,19.24125991077594,diagnostic
LORO,Alaska,sa_diag,1,,,,,,,,,,,,,,direct,0.0,38.02067947387695,0.0,0.0,0.0,0.0,diagnostic
LORO,Alaska,sa_diag,1,,,,,,,,,,,,,,stefan,0.20071913301944733,1.2444533109664917,0.4825550537003411,26.145776717268493,-4.047182893175449,14.029903233901262,diagnostic
LORO,Alaska,sa_diag,1,,,,,,,,,,,,,,cci,-0.24334368109703064,12.508368492126465,-5.858403959506088,26.623062608709976,-5.087498948030036,19.24125991077594,diagnostic
LORO,Alaska,sa_diag,2,,,,,,,,,,,,,,direct,0.0,40.5909423828125,0.0,0.0,0.0,0.0,diagnostic
LORO,Alaska,sa_diag,2,,,,,,,,,,,,,,stefan,-0.036914605647325516,4.285867214202881,0.4825550537003411,26.145776717268493,-4.047182893175449,14.029903233901262,diagnostic
LORO,Alaska,sa_diag,2,,,,,,,,,,,,,,cci,-0.4435596466064453,7.137641429901123,-5.858403959506088,26.623062608709976,-5.087498948030036,19.24125991077594,diagnostic
LORO,Lena,sa_diag,0,,,,,,,,,,,,,,direct,0.0,241.11952209472656,0.0,0.0,0.0,0.0,diagnostic
LORO,Lena,sa_diag,0,,,,,,,,,,,,,,stefan,0.12706899642944336,1.3891103267669678,-0.8644800126704845,16.611995389559038,5.577747869359975,20.993763705450828,diagnostic
LORO,Lena,sa_diag,0,,,,,,,,,,,,,,cci,-0.9303068518638611,23.066720962524414,-4.519341496664285,21.061872796830517,-8.823063443768312,20.641477585751105,diagnostic
LORO,Lena,sa_diag,1,,,,,,,,,,,,,,direct,0.0,266.7875061035156,0.0,0.0,0.0,0.0,diagnostic
LORO,Lena,sa_diag,1,,,,,,,,,,,,,,stefan,0.3837360441684723,3.6554765701293945,-0.8644800126704845,16.611995389559038,5.577747869359975,20.993763705450828,diagnostic
LORO,Lena,sa_diag,1,,,,,,,,,,,,,,cci,-0.4185701608657837,23.971256256103516,-4.519341496664285,21.061872796830517,-8.823063443768312,20.641477585751105,diagnostic
LORO,Lena,sa_diag,2,,,,,,,,,,,,,,direct,0.0,350.3529052734375,0.0,0.0,0.0,0.0,diagnostic
LORO,Lena,sa_diag,2,,,,,,,,,,,,,,stefan,0.19372166693210602,3.8183979988098145,-0.8644800126704845,16.611995389559038,5.577747869359975,20.993763705450828,diagnostic
LORO,Lena,sa_diag,2,,,,,,,,,,,,,,cci,-0.5743223428726196,20.32373046875,-4.519341496664285,21.061872796830517,-8.823063443768312,20.641477585751105,diagnostic
AK_fold,fold0,sa_diag,0,,,,,,,,,,,,,,direct,0.0,41.24647521972656,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold0,sa_diag,0,,,,,,,,,,,,,,stefan,0.11754638701677322,1.8595284223556519,-0.30982191583512714,15.759102290592375,-5.928663181277776,9.32283305246423,diagnostic
AK_fold,fold0,sa_diag,0,,,,,,,,,,,,,,cci,-0.6782091856002808,14.4395112991333,1.6871678057085953,19.72450141569998,-17.858234198398236,9.226118370238959,diagnostic
AK_fold,fold0,sa_diag,1,,,,,,,,,,,,,,direct,0.0,44.06992721557617,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold0,sa_diag,1,,,,,,,,,,,,,,stefan,0.026662182062864304,1.9751571416854858,-0.30982191583512714,15.759102290592375,-5.928663181277776,9.32283305246423,diagnostic
AK_fold,fold0,sa_diag,1,,,,,,,,,,,,,,cci,-0.548524022102356,16.423507690429688,1.6871678057085953,19.72450141569998,-17.858234198398236,9.226118370238959,diagnostic
AK_fold,fold0,sa_diag,2,,,,,,,,,,,,,,direct,0.0,54.858585357666016,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold0,sa_diag,2,,,,,,,,,,,,,,stefan,0.08163081854581833,1.8523823022842407,-0.30982191583512714,15.759102290592375,-5.928663181277776,9.32283305246423,diagnostic
AK_fold,fold0,sa_diag,2,,,,,,,,,,,,,,cci,-0.4675663411617279,13.930694580078125,1.6871678057085953,19.72450141569998,-17.858234198398236,9.226118370238959,diagnostic
AK_fold,fold1,sa_diag,0,,,,,,,,,,,,,,direct,0.0,26.71160888671875,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold1,sa_diag,0,,,,,,,,,,,,,,stefan,0.24567721784114838,7.219947814941406,-1.0112700158492567,14.46321693939119,1.524763699007919,12.2988556710642,diagnostic
AK_fold,fold1,sa_diag,0,,,,,,,,,,,,,,cci,-0.5008261203765869,4.432319164276123,-5.413476691661526,20.026402982630987,-2.9189585927582367,12.637946024038127,diagnostic
AK_fold,fold1,sa_diag,1,,,,,,,,,,,,,,direct,0.0,43.998504638671875,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold1,sa_diag,1,,,,,,,,,,,,,,stefan,0.27922096848487854,8.021909713745117,-1.0112700158492567,14.46321693939119,1.524763699007919,12.2988556710642,diagnostic
AK_fold,fold1,sa_diag,1,,,,,,,,,,,,,,cci,-0.3349716067314148,9.406184196472168,-5.413476691661526,20.026402982630987,-2.9189585927582367,12.637946024038127,diagnostic
AK_fold,fold1,sa_diag,2,,,,,,,,,,,,,,direct,0.0,26.289325714111328,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold1,sa_diag,2,,,,,,,,,,,,,,stefan,0.1560915857553482,10.515286445617676,-1.0112700158492567,14.46321693939119,1.524763699007919,12.2988556710642,diagnostic
AK_fold,fold1,sa_diag,2,,,,,,,,,,,,,,cci,-0.19038864970207214,9.454085350036621,-5.413476691661526,20.026402982630987,-2.9189585927582367,12.637946024038127,diagnostic
AK_fold,fold2,sa_diag,0,,,,,,,,,,,,,,direct,0.0,155.0434112548828,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold2,sa_diag,0,,,,,,,,,,,,,,stefan,-0.2682816684246063,5.573695182800293,-1.0869526481185063,13.71965858542842,2.530465397213845,16.906783545315317,diagnostic
AK_fold,fold2,sa_diag,0,,,,,,,,,,,,,,cci,-0.04731174185872078,10.002860069274902,-6.44595911400752,19.000680437101057,3.949546520576081,18.370769669237806,diagnostic
AK_fold,fold2,sa_diag,1,,,,,,,,,,,,,,direct,0.0,217.1913299560547,0.0,0.0,0.0,0.0,diagnostic
AK_fold,fold2,sa_diag,1,,,,,,,,,,,,,,stefan,-0.36828041076660156,4.347284317016602,-1.0869526481185063,13.71965858542842,2.530465397213845,16.906783545315317,diagnostic
AK_fold,fold2,sa_diag,1,,,,,,,,,,,,,,cci,-0.08589380234479904,11.544466972351074,-6.44595911400752,19.000680437101057,3.949546520576081,18.370769669237806,diagnostic
AK_fold,fold2,sa_diag,2,,,,,,,,,,,,,,direct,0.0,261.87408447265625,0.0,0.0,0.0,0.0,diagnostic
