axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Mongolia_CAsia,F1k2,F1 Stefan,2,a+E·√TDD,46,273.7,244.109,-244.109,-3.8276,-1.1972,271.645,2.055000000000007,1.4310438173254312,2.7428009742585826
LORO,Mongolia_CAsia,F2k2,F2 멱법칙,2,a·TDD^b,46,273.574,243.966,-243.966,-3.8232,-1.1962,271.645,1.9290000000000305,1.2063620432033417,2.597588434496677
LORO,Mongolia_CAsia,F3k2,F3 TDD 선형,2,a+b·TDD,46,273.064,243.453,-243.453,-3.8052,-1.1921,271.645,1.4190000000000396,1.1775169098756273,1.6335290310760726
LORO,Mongolia_CAsia,F4k2,F4 MAAT 선형,2,a+b·MAAT,46,275.417,246.267,-246.267,-3.8884,-1.211,271.645,3.7719999999999914,2.2133877994064974,5.554426077853398
LORO,Mongolia_CAsia,F5k0,F5 edaphic,0,pedotransfer raw,46,190.453,155.184,-145.796,-1.3375,-0.5289,271.645,-81.19199999999998,-89.00023921311053,-74.13277310577064
LORO,Mongolia_CAsia,F5k1,F5 edaphic,1,c·edaphic,46,252.432,220.365,-220.365,-3.1065,-1.0265,271.645,-19.212999999999994,-20.79937335879908,-17.53943080639768
LORO,Mongolia_CAsia,F5k2,F5 edaphic,2,a+c·edaphic,46,265.248,234.657,-234.657,-3.5341,-1.1293,271.645,-6.396999999999991,-7.139075973689463,-5.441182267624165
LORO,Mongolia_CAsia,F6k0,F6 Kudryavtsev,0,raw,44,206.627,170.448,-167.494,-1.8396,-0.6851,264.554,-57.926999999999964,-64.26429645507044,-50.31781569249854
LORO,Mongolia_CAsia,F6k1,F6 Kudryavtsev,1,c·Ku,44,241.393,208.773,-208.773,-2.8756,-0.9687,264.554,-23.160999999999973,-26.68130976849456,-20.11607675906972
LORO,Mongolia_CAsia,F6k2,F6 Kudryavtsev,2,a+c·Ku,44,260.655,230.448,-230.448,-3.5188,-1.1257,264.554,-3.899000000000001,-4.81198497369859,-2.892521229306814
LORO,Mongolia_CAsia,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,46,272.112,242.696,-242.696,-3.7718,-1.1844,271.645,0.4670000000000414,-1.117140311764173,1.8206300641230284
LORO,Mongolia_CAsia,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,46,271.05,241.57,-241.57,-3.7346,-1.1759,271.645,-0.5949999999999704,-2.1444951637823024,0.7757845400012986
LORO,Mongolia_CAsia,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),46,274.099,244.588,-244.588,-3.8417,-1.2004,271.645,2.4540000000000077,2.192416911249134,2.7078991426575088
LORO,Mongolia_CAsia,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,46,272.448,242.726,-242.726,-3.7836,-1.1871,271.645,0.8029999999999973,0.5735397750859356,1.0480371759563734
LORO,Mongolia_CAsia,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),46,273.406,243.914,-243.914,-3.8173,-1.1948,271.645,1.761000000000024,1.3370962141836287,2.1767754612537416
LORO,Alps,F1k1,F1 Stefan,1,E·√TDD,9,332.325,323.577,-323.577,-17.5736,-3.3097,332.325,0.0,0.0,0.0
LORO,Alps,F1k2,F1 Stefan,2,a+E·√TDD,9,332.583,323.812,-323.812,-17.6025,-3.3131,332.325,0.2580000000000382,-1.1690063272930615,1.3510691062206788
LORO,Alps,F2k2,F2 멱법칙,2,a·TDD^b,9,332.47,323.694,-323.694,-17.5898,-3.3116,332.325,0.14500000000003865,-1.0973306146370874,1.1504613845853555
LORO,Alps,F3k2,F3 TDD 선형,2,a+b·TDD,9,333.066,324.362,-324.362,-17.6565,-3.3193,332.325,0.7409999999999854,-0.3632366651433472,1.4165200302422831
