lat,lon,alt_cm,alt_sd,alt_min,alt_max,n_obs,year_min,year_max,n_years,site,name,country,macro,region,qc,qc_flag,borehole_id,censor_flag,dem_elev,dem_slope,dem_aspect_sin,dem_aspect_cos,dem_tpi,dem_rough,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe,e5_fallback_deg,cci_alt,cci_valid,sg_clay_5_15,sg_sand_5_15,sg_silt_5_15,sg_bdod_5_15,sg_cfvo_5_15,sg_phh2o_5_15,sg_soc_0_5,sg_soc_5_15,sg_soc_15_30,block,loc_id,source_id,fidelity_level,spatial_support_m,sigma_prior_cm,right_censored,insar_alt,insar_alt_std,insar_sub,insar_dist,insar_n,polsar_alt,polsar_std,polsar_valid,insar_miss
49.3472,99.2422,115.0,,115.0,115.0,1,2009,2009,1,M16,Mongot pingo top,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,2212.73681640625,8.691529273986816,-0.926550030708313,-0.3761714696884155,1.733642578125,46.542724609375,-2.0291316509246826,1557.9922485351562,2272.4178161621094,39.47141052122607,14.358551025390625,-19.761398315429688,0.6556956171989441,0.006688157096505165,0.0,44.8,1,28.2,28.3,43.6,1.2,17.7,7.1,72.5,36.5,28.4,9800198,17462,F4_direct,4,100.0,12.0,0,,,,,,,,0.0,1
49.4903,98.6564,281.25,5.175491695067655,275.0,290.0,8,2002,2009,8,M8,Sharga � valley bottom,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1861.59130859375,0.7886648178100586,-0.8134387135505676,0.5816506147384644,0.8416748046875,2.2451212406158447,-2.9579594135284424,1546.0821533203125,2598.130905151367,39.3202511858751,14.48712158203125,-22.399429321289062,-0.30212149024009705,0.006712158676236868,0.0,180.4,1,26.0,36.3,37.8,1.18,16.3,7.4,92.6,58.3,32.5,9800197,17463,F4_direct,4,100.0,5.175491695067655,0,,,,,,,,0.0,1
49.7042,100.1675,343.14285714285717,9.063269671749651,325.0,352.0,7,2000,2006,7,M4 B,Burenkhan � valley bottom,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1454.8983154296875,1.4229801893234253,-0.7516834139823914,-0.6595240831375122,-7.5511474609375,5.492696762084961,0.2975502014160156,2072.131591796875,1935.8980255126953,45.52067213691901,17.22802734375,-18.534194946289062,1.6983438730239868,0.004913859535008669,0.0,102.4,1,23.5,38.4,38.2,1.22,20.3,7.4,91.4,53.3,44.2,9900200,17464,F4_direct,4,100.0,9.063269671749651,0,,,,,,,,0.0,1
49.7828,100.0467,405.0,7.0710678118654755,400.0,410.0,2,2007,2008,2,M4 D,Burenkhan north-facing steep slope,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1773.5889892578125,22.939109802246094,-0.025744128972291946,-0.999668538570404,23.1690673828125,34.470947265625,-1.0477193593978882,1775.6602783203125,2131.468505859375,42.13858419928596,15.69873046875,-19.420578002929688,1.3331400156021118,0.005183842498809099,0.0,112.4,1,27.7,39.3,33.0,1.21,18.7,7.4,94.3,59.5,37.1,9900200,17465,F4_direct,4,100.0,7.0710678118654755,0,,,,,,,,0.0,1
49.7883,100.0342,401.6666666666667,30.100840620497728,340.0,440.0,12,1996,2009,12,M4 A,Burenkhan � northern slope,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1702.72607421875,9.270095825195312,-0.9998753070831299,-0.01579032652080059,-13.5517578125,50.29167556762695,-1.0477193593978882,1775.6602783203125,2131.468505859375,42.13858419928596,15.69873046875,-19.420578002929688,1.3331400156021118,0.005183842498809099,0.0,92.8,1,25.4,41.1,33.6,1.21,19.8,7.2,92.0,50.9,37.6,9900200,17466,F4_direct,4,100.0,30.100840620497728,0,,,,,,,,0.0,1
50.0442,100.7544,112.25,27.47574688096152,82.0,137.0,4,2003,2009,4,M12 G,Dalbay pingo,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,2088.038818359375,12.459450721740723,0.7580958604812622,0.652143120765686,76.2403564453125,54.2605094909668,-2.529568910598755,1610.9571533203125,2507.208465576172,40.13673072536318,14.693511962890625,-21.250991821289062,1.2454885244369507,0.010224818252027035,0.0,118.8,1,28.3,43.0,28.7,1.21,17.0,7.0,67.5,38.8,34.3,10000201,17467,F4_direct,4,100.0,27.47574688096152,0,,,,,,,,0.0,1
50.0444,100.7328,221.66666666666666,10.40832999733066,210.0,230.0,3,2002,2009,3,M12 F,Dalbay,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,2143.8564453125,12.390495300292969,0.7856306433677673,0.6186957955360413,-9.68994140625,60.155025482177734,-1.8036867380142212,1723.5769348144531,2355.1529388427734,41.51598408823345,15.244293212890625,-20.367202758789062,1.2746810913085938,0.009036434814333916,0.0,103.6,1,28.0,43.2,28.9,1.18,17.6,7.2,73.3,42.0,32.4,10000201,17468,F4_direct,4,100.0,10.40832999733066,0,,,,,,,,0.0,1
50.2544,100.8447,385.0,32.710854467592256,355.0,425.0,6,2003,2009,6,M12 C,Shagnuul,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1447.7734375,17.113977432250977,0.9014714360237122,0.4328385591506958,-43.1971435546875,60.63743591308594,-1.6704915761947632,1838.3582153320312,2420.6847229003906,42.87607975703972,15.88720703125,-21.093429565429688,1.681414246559143,0.009794711135327816,0.0,196.8,1,24.5,42.7,32.9,1.18,18.7,7.1,94.5,49.2,32.2,10000201,17469,F4_direct,4,100.0,32.710854467592256,0,,,,,,,,0.0,1
50.4333,100.1606,390.55555555555554,14.169607537888183,370.0,410.0,9,2001,2009,9,M11 B,Hatgal house,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1660.9365234375,0.6117945313453674,-0.9711805582046509,0.23834507167339325,4.495849609375,6.717235088348389,-2.7658207416534424,1475.7245178222656,2459.48486328125,38.4151599999566,13.93243408203125,-20.758468627929688,0.26927947998046875,0.00850591342896223,0.0,164.8,1,26.7,42.2,31.2,1.19,16.9,7.3,78.0,44.9,27.1,10000200,17470,F4_direct,4,100.0,14.169607537888183,0,,,,,,,,0.0,1
50.4386,100.1503,476.875,5.938674695827102,470.0,485.0,8,2002,2009,8,M11,Hatgal � lake terrace,Mongolia,Mongolia_CAsia,CALM_Mongolia_CAsia,,,,0,1668.7205810546875,0.18268759548664093,-0.6747578382492065,-0.7380392551422119,0.7677001953125,2.8132123947143555,-2.7658207416534424,1475.7245178222656,2459.48486328125,38.4151599999566,13.93243408203125,-20.758468627929688,0.26927947998046875,0.00850591342896223,0.0,165.6,1,26.7,42.2,31.2,1.19,16.9,7.3,78.0,44.9,27.1,10000200,17471,F4_direct,4,100.0,5.938674695827102,0,,,,,,,,0.0,1
