part,cv,model,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,seed
B_feature,LORO,mlp_+physics,13606,33.923,26.551,22.851,-2.8087,17.382,-0.9516,,,Alaska,0.0
B_feature,LORO,mlp_+physics,3037,29.984,25.768,18.538,-1.0206,21.094,-0.4215,,,Lena,0.0
B_feature,LORO,mlp_+physics,742,28.853,23.896,16.044,0.1268,30.877,0.0655,,,Canada,1.0
B_feature,LORO,mlp_+physics,13606,32.759,26.283,23.531,-2.552,17.382,-0.8847,,,Alaska,1.0
B_feature,LORO,mlp_+physics,3037,47.666,42.967,38.98,-4.1064,21.094,-1.2597,,,Lena,1.0
B_feature,LORO,mlp_+physics,742,43.883,37.456,31.908,-1.0199,30.877,-0.4212,,,Canada,2.0
B_feature,LORO,mlp_+physics,13606,24.427,19.333,13.579,-0.9749,17.382,-0.4053,,,Alaska,2.0
B_feature,LORO,mlp_+physics,3037,38.852,34.993,30.862,-2.3925,21.094,-0.8419,,,Lena,2.0
B_feature,LORO,lightgbm_BASE,742,40.004,28.188,21.527,-0.6785,30.877,-0.2956,,,Canada,0.0
B_feature,LORO,lightgbm_BASE,13606,36.91,29.83,21.677,-3.5092,17.382,-1.1235,,,Alaska,0.0
B_feature,LORO,lightgbm_BASE,3037,41.786,37.821,34.413,-2.9242,21.094,-0.981,,,Lena,0.0
B_feature,LORO,lightgbm_+physics,742,39.901,28.57,21.241,-0.6699,30.877,-0.2923,,,Canada,0.0
B_feature,LORO,lightgbm_+physics,13606,38.803,31.203,23.404,-3.9834,17.382,-1.2324,,,Alaska,0.0
B_feature,LORO,lightgbm_+physics,3037,43.862,40.101,36.725,-3.3238,21.094,-1.0794,,,Lena,0.0
