target,model,phys,r,seed,rmse_cm,mae_cm,bias_cm,skill,delta_rmse_vs_base
Lena,ftt,stefan,1.0,SUMMARY,17.003666666666668,,,,-2.487
Lena,ftt,stefan,2.0,SUMMARY,16.894000000000002,,,,-2.3773333333333344
Lena,ftt,stefan,5.0,SUMMARY,16.464,,,,-1.9473333333333311
Lena,ftt,stefan,10.0,SUMMARY,16.51,,,,-1.993333333333334
Lena,ftt,kudryavtsev,0.25,SUMMARY,31.730333333333334,,,,-17.21366666666667
Lena,ftt,kudryavtsev,0.5,SUMMARY,31.868666666666666,,,,-17.351999999999997
Lena,ftt,kudryavtsev,1.0,SUMMARY,31.466333333333335,,,,-16.949666666666666
Lena,ftt,kudryavtsev,2.0,SUMMARY,30.886,,,,-16.36933333333333
Lena,ftt,kudryavtsev,5.0,SUMMARY,31.18433333333333,,,,-16.667666666666662
Lena,ftt,kudryavtsev,10.0,SUMMARY,31.487666666666666,,,,-16.970999999999997
Lena,ftt,placebo,0.25,SUMMARY,17.612666666666666,,,,-3.0959999999999983
Lena,ftt,placebo,0.5,SUMMARY,17.97833333333333,,,,-3.4616666666666642
Lena,ftt,placebo,1.0,SUMMARY,18.16,,,,-3.6433333333333326
Lena,ftt,placebo,2.0,SUMMARY,18.322,,,,-3.8053333333333317
Lena,ftt,placebo,5.0,SUMMARY,18.175666666666668,,,,-3.6590000000000007
Lena,ftt,placebo,10.0,SUMMARY,18.135666666666665,,,,-3.618999999999998
Canada,ftt,stefan,0.0,0,35.692,26.257,-17.106,-0.06972077055353809,
Canada,ftt,stefan,0.0,1,35.594,26.335,-16.791,-0.06678782969735786,
Canada,ftt,stefan,0.0,2,34.194,24.699,-15.786,-0.0248363054342966,
Canada,ftt,stefan,0.25,0,32.783,24.346,-10.393,0.01747621158743773,
Canada,ftt,stefan,0.25,1,31.663,23.419,-10.13,0.051040072703773975,
Canada,ftt,stefan,0.25,2,33.755,25.088,-11.345,-0.011657491974212064,
Canada,ftt,stefan,0.5,0,32.24,24.075,-9.47,0.03373166973937136,
Canada,ftt,stefan,0.5,1,32.577,24.379,-10.05,0.023633292546810347,
Canada,ftt,stefan,0.5,2,33.284,24.884,-10.529,0.0024588255023745287,
Canada,ftt,stefan,1.0,0,32.526,24.207,-10.068,0.025159109352198006,
Canada,ftt,stefan,1.0,1,31.873,23.712,-9.693,0.044737582639485796,
Canada,ftt,stefan,1.0,2,32.588,24.143,-10.53,0.023317092819557073,
Canada,ftt,stefan,2.0,0,32.224,23.837,-10.231,0.03421997203694216,
Canada,ftt,stefan,2.0,1,32.101,23.823,-9.83,0.03789752475343566,
Canada,ftt,stefan,2.0,2,32.827,24.323,-10.656,0.01614743308497668,
Canada,ftt,stefan,5.0,0,32.266,23.842,-10.068,0.03295349919150614,
Canada,ftt,stefan,5.0,1,32.06,23.686,-9.793,0.039139007975382056,
Canada,ftt,stefan,5.0,2,31.943,23.63,-9.686,0.04263498398082355,
Canada,ftt,stefan,10.0,0,31.885,23.301,-10.452,0.044381145036811454,
Canada,ftt,stefan,10.0,1,31.833,23.466,-9.76,0.045950689301642256,
Canada,ftt,stefan,10.0,2,31.815,23.583,-9.372,0.04648187281635052,
Canada,ftt,kudryavtsev,0.0,0,35.692,26.257,-17.106,-0.06972077055353809,
Canada,ftt,kudryavtsev,0.0,1,35.594,26.335,-16.791,-0.06678782969735786,
Canada,ftt,kudryavtsev,0.0,2,34.194,24.699,-15.786,-0.0248363054342966,
Canada,ftt,kudryavtsev,0.25,0,65.52,59.413,57.916,-0.9637014078717763,
Canada,ftt,kudryavtsev,0.25,1,67.307,61.505,60.102,-1.0172530899396892,
Canada,ftt,kudryavtsev,0.25,2,59.903,53.206,49.814,-0.7953464297197934,
Canada,ftt,kudryavtsev,0.5,0,66.489,60.132,58.781,-0.9927378190402067,
Canada,ftt,kudryavtsev,0.5,1,67.579,62.008,60.7,-1.025392097523945,
Canada,ftt,kudryavtsev,0.5,2,59.819,53.271,50.479,-0.792816401508724,
Canada,ftt,kudryavtsev,1.0,0,67.342,60.937,59.731,-1.018290567561361,
Canada,ftt,kudryavtsev,1.0,1,66.206,60.144,58.886,-0.9842374393441069,
Canada,ftt,kudryavtsev,1.0,2,61.911,55.949,53.808,-0.8555258112926261,
Canada,ftt,kudryavtsev,2.0,0,64.081,57.553,56.153,-0.9205543733878332,
Canada,ftt,kudryavtsev,2.0,1,64.526,58.056,56.691,-0.9339062408257941,
Canada,ftt,kudryavtsev,2.0,2,60.849,54.319,52.255,-0.8237043647225974,
Canada,ftt,kudryavtsev,5.0,0,63.906,56.696,55.34,-0.9153191021576683,
Canada,ftt,kudryavtsev,5.0,1,64.063,56.922,55.411,-0.920018998015609,
Canada,ftt,kudryavtsev,5.0,2,59.76,52.571,50.37,-0.7910504149486932,
Canada,ftt,kudryavtsev,10.0,0,62.997,55.723,54.255,-0.8880615914583925,
Canada,ftt,kudryavtsev,10.0,1,63.795,56.564,55.01,-0.9119872917835321,
Canada,ftt,kudryavtsev,10.0,2,63.018,55.639,54.044,-0.8886911967092588,
Canada,ftt,placebo,0.0,0,35.692,26.257,-17.106,-0.06972077055353809,
Canada,ftt,placebo,0.0,1,35.594,26.335,-16.791,-0.06678782969735786,
Canada,ftt,placebo,0.0,2,34.194,24.699,-15.786,-0.0248363054342966,
Canada,ftt,placebo,0.25,0,41.623,30.239,-25.321,-0.24747561714929422,
Canada,ftt,placebo,0.25,1,40.843,29.554,-24.437,-0.22410479784192705,
Canada,ftt,placebo,0.25,2,42.215,30.734,-25.849,-0.2652292721435825,
Canada,ftt,placebo,0.5,0,41.962,30.465,-25.614,-0.2576242221265701,
Canada,ftt,placebo,0.5,1,41.224,29.925,-25.058,-0.23553081962213396,
Canada,ftt,placebo,0.5,2,42.457,30.943,-26.465,-0.2724700634235786,
Canada,ftt,placebo,1.0,0,42.667,31.085,-26.345,-0.2787815962482456,
Canada,ftt,placebo,1.0,1,42.125,30.639,-25.798,-0.2625276869778739,
Canada,ftt,placebo,1.0,2,42.628,31.073,-26.441,-0.2776038087666812,
Canada,ftt,placebo,2.0,0,42.561,31.002,-26.227,-0.27558863036407977,
Canada,ftt,placebo,2.0,1,42.329,30.818,-25.997,-0.2686371464035975,
