cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,1496,11,13606,13606,0.5,18.061,10.74,15.238,-0.5811,2.1,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,1496,11,13606,13606,0.75,19.249,12.479,16.533,-0.7958,2.1,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,catboost,0,1496,11,13606,13606,1.0,20.547,14.217,17.901,-1.0462,2.1,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,6.9,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.25,16.313,7.474,13.26,-0.2899,6.9,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.5,16.636,7.684,13.626,-0.3414,6.9,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.75,17.075,7.894,14.072,-0.4131,6.9,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,1.0,17.622,8.104,14.598,-0.505,6.9,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.9,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.25,15.911,7.344,12.801,-0.227,0.9,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.5,15.855,7.424,12.706,-0.2183,0.9,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.75,15.947,7.504,12.683,-0.2325,0.9,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,1.0,16.185,7.585,12.712,-0.2696,0.9,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.9,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.25,18.045,10.454,15.263,-0.5783,0.9,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.5,20.407,13.643,17.755,-1.0184,0.9,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.75,23.067,16.833,20.359,-1.5789,0.9,
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,1.0,25.934,20.022,23.056,-2.2598,0.9,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,10.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.25,16.42,7.981,13.375,-0.3068,10.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.5,16.804,8.697,13.828,-0.3686,10.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.75,17.259,9.414,14.341,-0.4438,10.5,
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,1.0,17.781,10.13,14.895,-0.5325,10.5,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,10.0,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.25,15.896,7.279,12.78,-0.2247,10.0,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.5,15.779,7.293,12.658,-0.2068,10.0,
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,ftt,0,1496,11,13606,13606,0.75,15.766,7.308,12.589,-0.2048,10.0,
