scheme,seed,fold,model,n_test,E_train,nnd_median_km,rmse_cm,mae_cm,bias_cm,r2
random_cell,2,3,ridge,2268,1.6151,0.004,13.079,9.574,-0.396,0.4465
random_cell,2,3,catboost_lo,2268,1.6151,0.004,11.781,8.456,-0.375,0.5509
random_cell,2,3,stefan_ridge_l075,2268,1.6151,0.004,13.199,9.656,-0.608,0.4364
random_cell,2,4,stefan,2267,1.618,0.004,14.312,10.586,-0.686,0.3221
random_cell,2,4,ridge,2267,1.618,0.004,12.512,9.207,0.11,0.4818
random_cell,2,4,catboost_lo,2267,1.618,0.004,11.508,8.268,0.19,0.5617
random_cell,2,4,stefan_ridge_l075,2267,1.618,0.004,12.686,9.314,-0.093,0.4674
random_cell,2,5,stefan,2267,1.6149,0.004,14.532,10.336,-1.211,0.348
random_cell,2,5,ridge,2267,1.6149,0.004,13.055,9.36,0.111,0.4738
random_cell,2,5,catboost_lo,2267,1.6149,0.004,11.912,8.211,0.053,0.5619
random_cell,2,5,stefan_ridge_l075,2267,1.6149,0.004,13.159,9.37,-0.219,0.4654
site_0.05,0,0,stefan,2034,1.6072,0.707,11.713,8.467,-2.434,0.2116
site_0.05,0,0,ridge,2034,1.6072,0.707,12.267,9.018,-3.057,0.1353
site_0.05,0,0,catboost_lo,2034,1.6072,0.707,11.235,8.233,-0.748,0.2747
site_0.05,0,0,stefan_ridge_l075,2034,1.6072,0.707,11.818,8.625,-2.892,0.1975
site_0.05,0,1,stefan,2066,1.618,0.6,15.779,11.804,-1.297,0.0677
site_0.05,0,1,ridge,2066,1.618,0.6,13.122,9.684,0.224,0.3552
site_0.05,0,1,catboost_lo,2066,1.618,0.6,14.156,10.209,-0.336,0.2496
site_0.05,0,1,stefan_ridge_l075,2066,1.618,0.6,13.444,9.845,-0.133,0.3231
site_0.05,0,2,stefan,2353,1.6203,10.677,14.063,10.401,-0.06,0.1956
site_0.05,0,2,ridge,2353,1.6203,10.677,13.791,10.402,1.272,0.2263
site_0.05,0,2,catboost_lo,2353,1.6203,10.677,13.713,9.756,-1.559,0.2351
site_0.05,0,2,stefan_ridge_l075,2353,1.6203,10.677,13.697,10.267,0.939,0.2368
site_0.05,0,3,stefan,2033,1.6138,0.695,16.137,11.885,-0.649,0.3677
site_0.05,0,3,ridge,2033,1.6138,0.695,16.323,11.564,-1.726,0.353
site_0.05,0,3,catboost_lo,2033,1.6138,0.695,16.032,10.677,-3.286,0.3759
site_0.05,0,3,stefan_ridge_l075,2033,1.6138,0.695,15.972,11.399,-1.464,0.3805
site_0.05,0,4,stefan,2152,1.6358,0.869,14.582,10.211,2.479,0.3067
site_0.05,0,4,ridge,2152,1.6358,0.869,12.456,8.641,0.116,0.4941
site_0.05,0,4,catboost_lo,2152,1.6358,0.869,13.357,9.294,0.235,0.4182
site_0.05,0,4,stefan_ridge_l075,2152,1.6358,0.869,12.616,8.643,0.674,0.481
site_0.05,0,5,stefan,2968,1.6072,0.747,13.326,10.537,-2.849,-0.086
site_0.05,0,5,ridge,2968,1.6072,0.747,11.929,9.178,0.365,0.1297
site_0.05,0,5,catboost_lo,2968,1.6072,0.747,11.678,8.963,-0.653,0.166
site_0.05,0,5,stefan_ridge_l075,2968,1.6072,0.747,12.078,9.369,-0.426,0.1079
site_0.05,1,0,stefan,2594,1.6104,10.375,14.195,10.584,-1.779,0.2146
site_0.05,1,0,ridge,2594,1.6104,10.375,13.909,10.348,0.454,0.246
site_0.05,1,0,catboost_lo,2594,1.6104,10.375,14.464,10.473,-0.901,0.1846
site_0.05,1,0,stefan_ridge_l075,2594,1.6104,10.375,13.841,10.285,-0.077,0.2534
site_0.05,1,1,stefan,2445,1.591,0.631,11.925,10.214,-7.035,-0.6179
site_0.05,1,1,ridge,2445,1.591,0.631,10.191,8.654,-4.631,-0.1817
site_0.05,1,1,catboost_lo,2445,1.591,0.631,9.571,8.032,-4.054,-0.0423
site_0.05,1,1,stefan_ridge_l075,2445,1.591,0.631,10.53,8.982,-5.231,-0.2615
site_0.05,1,2,stefan,2278,1.6233,0.942,12.768,9.42,0.657,0.0022
site_0.05,1,2,ridge,2278,1.6233,0.942,12.611,9.661,1.863,0.0266
site_0.05,1,2,catboost_lo,2278,1.6233,0.942,11.748,8.784,1.332,0.1552
site_0.05,1,2,stefan_ridge_l075,2278,1.6233,0.942,12.223,9.299,1.582,0.0854
site_0.05,1,3,stefan,2073,1.6372,0.967,12.182,8.987,3.196,0.4533
site_0.05,1,3,ridge,2073,1.6372,0.967,11.324,8.446,0.634,0.5277
site_0.05,1,3,catboost_lo,2073,1.6372,0.967,11.703,8.927,0.83,0.4955
site_0.05,1,3,stefan_ridge_l075,2073,1.6372,0.967,11.229,8.248,1.259,0.5355
site_0.05,1,4,stefan,2061,1.6237,0.566,17.436,12.106,1.117,0.243
site_0.05,1,4,ridge,2061,1.6237,0.566,16.083,10.904,-0.33,0.3559
site_0.05,1,4,catboost_lo,2061,1.6237,0.566,16.133,10.432,-1.188,0.3519
site_0.05,1,4,stefan_ridge_l075,2061,1.6237,0.566,16.009,10.833,0.068,0.3619
site_0.05,1,5,stefan,2155,1.6167,0.505,16.875,12.344,-0.397,0.2855
site_0.05,1,5,ridge,2155,1.6167,0.505,15.448,11.293,0.203,0.4012
site_0.05,1,5,catboost_lo,2155,1.6167,0.505,15.449,10.988,1.306,0.4011
site_0.05,1,5,stefan_ridge_l075,2155,1.6167,0.505,15.421,11.17,-0.007,0.4033
