set,method,n,n_blocks,resid_mean,resid_sd,rmse,between_block_var_frac,block_mean_abs_resid_median
Alaska_OOF,stefan,13606,74,-0.9932706487608188,14.422562223200346,14.456724652001068,0.22316458224143026,10.060746731544423
Alaska_OOF,stefan_ridge075,13606,74,0.6323949063886074,13.314966788652868,13.329976140284538,0.10861365200577668,7.889528762023193
Alaska_OOF,catboost_lo,13606,74,3.2177513357615797,15.712346159865959,16.038445856947924,0.33031130248115714,8.12726287214176
Lena,stefan,2958,20,5.676348102551443,20.865649453045148,21.623974076906,0.2469896975825144,8.528375035828837
Lena,stefan_cci,2958,20,-1.5733576422367852,20.701236640711823,20.76094055492512,0.23514277495273964,9.026728956209155
Canada,stefan,747,36,2.307247102703225,26.403192725684477,26.50381058079329,0.41320916722975803,12.11753643996397
Canada,stefan_cci,747,36,6.3360166670663896,24.926600205340335,25.7192633059778,0.2633377007282286,18.24950353172503
