table,region,subset,n,n_eval,n_blocks,frac,alt_mean,alt_sd,sqrt_tdd_mean,mid_year_mean,year_gap_mean,n_years_median,frac_multi_year,train_set,method,n_seed,primary,rmse,rmse_seed_sd,rmse_ens,bias,mae,r2,n_folds,rmse_fold_sd,n_a,n_b,nboot,d_rmse,d_rmse_lo,d_rmse_hi,d_bias,d_bias_lo,d_bias_hi,rmse_a,rmse_b,d_bias_expected_lit,year_gap_a,year_gap_b,n_train_a,n_train_b,slope_cm_yr,slope_se_ols,slope_lo,slope_hi,lit_trend_cm_yr,mid_year_sd,year_min,year_max,resid_mean,n_blocks_with_year_var
indomain,Alaska,inside,4119,,24.0,,52.932864569971606,,,,0.71959213401311,,,before,catboost_lo,3.0,0.0,16.478333333333335,0.11443872693377106,16.432,1.296,12.133,0.2085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain,Alaska,before,8798,,34.0,,48.402139179035245,,,,3.6347465333030233,,,before,catboost_lo,3.0,1.0,15.835666666666668,0.9759184847562268,15.757,7.105,12.86,-0.0761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain,Alaska,after,119,,3.0,,55.65966386554622,,,,-4.5,,,before,catboost_lo,3.0,0.0,19.430666666666667,0.22282180224465314,19.403,-5.221333333333333,13.459,-0.0721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,all,stefan,,1.0,14.731125292869686,,,0.36595161688028427,,,6.0,3.9915348885523043,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,all,stefan,,1.0,16.334469642595014,,,3.4563827947631425,,,6.0,4.855243434885476,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,all,stefan,,1.0,15.576565868599452,,,3.4556530581316003,,,6.0,4.637045607656006,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,all,stefan,,1.0,14.072229070174714,,,2.218426452274058,,,6.0,3.9629522804384383,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,all,stefan,,1.0,19.29133331465059,,,6.128738434619322,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,all,stefan_ridge,,1.0,13.608042490827634,,,0.48125451145703085,,,6.0,4.129475829679517,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,all,stefan_ridge,,1.0,15.11384717432938,,,2.8670646073856356,,,6.0,3.113322561339301,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,all,stefan_ridge,,1.0,13.901342664788814,,,2.8232287685295794,,,6.0,2.773891399008702,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,all,stefan_ridge,,1.0,12.449890112410804,,,2.1085908144240286,,,6.0,3.44734767281984,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,all,stefan_ridge,,1.0,17.591181619783917,,,4.1593160259814415,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,all,catboost_lo,,1.0,15.18885313004777,,,0.23190797025203302,,,6.0,4.048256729697819,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,all,catboost_lo,,1.0,17.71596298204123,,,3.6275137941038516,,,6.0,5.453820595820275,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,all,catboost_lo,,1.0,16.84501216386163,,,3.5177078321539454,,,6.0,5.689250747561401,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,all,catboost_lo,,1.0,13.651891635271056,,,2.166893959902607,,,6.0,2.709093002293422,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,all,catboost_lo,,1.0,20.30426674414347,,,-9.333504332661258,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,overlap,stefan,,0.0,14.590613779017339,,,-0.9969810316581499,,,6.0,4.043585939589819,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,overlap,stefan,,1.0,16.132001085609883,,,2.1471071235217605,,,6.0,4.612266612645033,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,overlap,stefan,,1.0,15.34359299971978,,,2.1802731857175717,,,6.0,4.392481387260039,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,overlap,stefan,,0.0,13.645408245292037,,,0.7927202307876814,,,6.0,3.436578899321563,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,overlap,stefan,,0.0,18.65491702230191,,,3.5779220569914365,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,overlap,stefan_ridge,,0.0,14.360089598173941,,,0.3334084467935908,,,6.0,4.281123370809049,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,overlap,stefan_ridge,,1.0,14.740829716149234,,,2.4337425713084255,,,6.0,4.1285646402133915,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,overlap,stefan_ridge,,1.0,13.296402958606626,,,2.854970111751109,,,6.0,3.5585878792963763,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,overlap,stefan_ridge,,0.0,13.10378370569421,,,1.801805157652763,,,6.0,2.866173642348529,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,overlap,stefan_ridge,,0.0,18.18344291994985,,,6.482744883376933,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,overlap,catboost_lo,,0.0,15.397826745921867,,,0.3526164880753309,,,6.0,4.498727230360687,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,overlap,catboost_lo,,1.0,17.93992008147406,,,3.053699217626748,,,6.0,5.142622201953115,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,overlap,catboost_lo,,1.0,16.934903967827804,,,3.067060611455013,,,6.0,5.263272876396683,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,overlap,catboost_lo,,0.0,13.002971144412543,,,2.636815065379546,,,6.0,2.9076131123974296,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,overlap,catboost_lo,,0.0,20.94449493425738,,,-10.867007534075183,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,before,stefan,,0.0,15.002153749266457,,,1.4335314651457025,,,6.0,3.9801671319857728,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,before,stefan,,0.0,16.661502982570784,,,4.462016004617339,,,6.0,5.245693352433496,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,before,stefan,,0.0,15.91708460915516,,,4.441317557209129,,,6.0,5.003352510988316,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,before,stefan,,1.0,14.471947558330939,,,3.3205037704277203,,,6.0,4.197259093749638,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,before,stefan,,0.0,19.706054817849612,,,7.35013528233868,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,before,stefan_ridge,,0.0,18.685762238084163,,,3.777536252149883,,,6.0,6.2928067198485955,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,before,stefan_ridge,,0.0,20.486517022791034,,,6.015513500702444,,,6.0,7.975565036158521,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,before,stefan_ridge,,0.0,19.583423379674212,,,5.70809348262443,,,6.0,7.930254195820311,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,before,stefan_ridge,,1.0,18.3958842373771,,,5.636710492324369,,,6.0,6.166309023862718,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,before,stefan_ridge,,0.0,18.415190480817998,,,6.860846679782179,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,all,13606,,,,,,,,,,,before,catboost_lo,,0.0,15.627637037994306,,,1.7376261217888231,,,6.0,3.7620834587669445,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,overlap,4689,,,,,,,,,,,before,catboost_lo,,0.0,17.369554491958855,,,4.545642594756219,,,6.0,3.8579493498880515,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,inside,4119,,,,,,,,,,,before,catboost_lo,,0.0,16.502708203035287,,,4.702012410856819,,,6.0,3.092150959074176,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,before,8798,,,,,,,,,,,before,catboost_lo,,1.0,14.291057986639602,,,2.914455689521095,,,6.0,2.9739484875306426,,,,,,,,,,,,,,,,,,,,,,,,,,
indomain_foldmean,Alaska,after,119,,,,,,,,,,,before,catboost_lo,,0.0,19.402780397919116,,,-5.221383978933023,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
