region,cond,method,n_splits,n_seeds,n_cells,n_blocks,coverage,coverage_sd_seed,width_mean,interval_score,is_under,is_over,frac_inf,Q_mean,cov_ci_lo,cov_ci_hi,is_ci_lo,is_ci_hi,ci_flag
Alaska,in_domain,raw,1,1,6494,14,0.6401293501693871,,24.171875302325553,72.0755927018699,41.421290193613075,6.482427205931262,0.0,,0.562497222548379,0.8522257788785063,35.68541318517447,79.98318367948495,
Alaska,in_domain,cqr_ak,1,1,6494,14,0.9953803510933169,,71.70264365807374,72.44375237823733,0.1719097865527789,0.569198933610819,0.0,,0.9575664837484171,0.997485059866194,71.72375173910696,74.68271032375485,
Alaska,in_domain,anchor_ak,1,1,6494,14,0.9936864798275331,,83.89068897853664,85.05386662275704,0.43399137891024014,0.7291862653101545,0.0,,0.6605318699873365,0.9979042165551616,74.4384925019935,88.8874269798445,
Canada,covonly,raw,1,1,374,19,0.5026737967914439,,33.404444714593204,287.08341899735706,10.441827404874935,243.23714687788893,0.0,,0.33853722777789674,0.7318598213626633,76.94661523797278,482.20042336787975,
Canada,covonly,cqr_ak,1,1,374,19,0.5855614973262032,,39.95930662896546,264.32568399005817,7.129099699222783,217.23727766186988,0.0,3.2774309571861266,0.38820028266129897,0.8452100095962206,70.28393165949146,447.3355364420911,
Canada,covonly,cqr_iw,1,1,374,19,0.5775401069518716,,39.29253154954241,266.4363385039558,7.3529242363769916,219.79088271803633,0.0,,0.38820028266129897,0.8248940724883738,70.6298292155893,450.76591403443626,
Canada,covonly,anchor_ak,1,1,374,19,0.5721925133689839,,40.39546077408035,191.0015314039669,78.60884823390437,71.99722239598222,0.0,20.19773038704018,0.4147615156621125,0.7900999356407322,67.82041996590428,335.72370919012076,
Canada,covonly,anchor_iw,1,1,374,19,0.8048128342245989,,67.55108488778406,138.7591864136146,35.97421055667585,35.23389096915469,0.0,,0.6111363636363637,0.9554083733699382,71.36578758460637,225.09070046335458,
Canada,covonly,cqr_pseudo,1,1,374,19,0.5641711229946524,,38.07744506890932,270.44423113206363,7.873126307686023,224.49365975546831,0.0,2.336500177158058,0.3859764663054884,0.8095766590389016,71.59781363548235,457.0759777511623,
Canada,covonly,cqr_real,1,1,374,19,0.7032085561497327,,64.37648242531814,203.2258152873169,2.9240218918869627,135.92531097011175,0.0,15.486018855362474,0.4990046896079145,0.9529587765957447,73.50240201224639,334.27029754142904,
