table,region,version,ref,n,n_blocks,d_median,d_q25,d_q75,d_mean,d_sd,rel_median,rel_q25,rel_q75,corr_tdd,sqrt_ratio_mean,tdd_ref_mean,tdd_ref_sd,interannual_sd_mean,frac_pre2010,frac_partial,n_years_matched_median,year_min_median,year_max_median,single_year_frac,E,E_med,st_a,st_E,tdd_a,tdd_b,cci_a,cci_b,ymean,n_train_real,sqrt_tdd_mean_alaska,method,rmse,bias,mae,r2,alt_mean,sqrt_tdd_mean,label,d_rmse,d_rmse_lo,d_rmse_hi,d_bias,d_bias_lo,d_bias_hi,ci_flag,rmse_a,rmse_b,sig,split,pseudo,seed,n_train,rmse_split_sd,n_split,n_seed,ctrl,n_splits,d_split_mean,d_split_sd,cond
tdd_diff,Alaska,clim_re,clim,13606.0,74.0,0.0004597902299110501,0.0001385211944580078,0.0013849735260009766,-0.017235978553461512,1.1143526524711829,4.8573321294652996e-05,1.4208143944516297e-05,0.0003080637128323596,0.9999979613895912,0.9999847627917291,1012.6724253705928,551.8497866813592,127.87717910087493,0.0002204909598706453,0.016169337057180655,1.0,2014.0,2014.0,0.944656769072468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Alaska,clim_yr,clim,13606.0,74.0,14.793268839518305,2.2522125244140625,23.946248372395758,13.471658950679299,10.272169385431932,1.3442112474424028,0.5009662201716687,1.56279571333891,0.999923857267203,1.0061761708106347,1012.6724253705928,551.8497866813592,127.87717910087493,0.0002204909598706453,0.016169337057180655,1.0,2014.0,2014.0,0.944656769072468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Alaska,matched,clim,13606.0,74.0,-157.85739135742188,-175.87335205078125,-28.727983262803946,-103.13402308536597,144.71285942827123,-14.457600078829536,-39.120024176547446,-1.4090955502332416,0.9720589101735554,0.9080421567098869,1012.6724253705928,551.8497866813592,127.87717910087493,0.0002204909598706453,0.016169337057180655,1.0,2014.0,2014.0,0.944656769072468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Alaska,full,clim,13606.0,74.0,-7.543658447265614,-142.4918172200521,29.065722656250045,-50.65050984392488,93.06065430968981,-1.6779580157853498,-10.427049711905337,3.07441167046229,0.9935846308148979,0.9856568795064683,1012.6724253705928,551.8497866813592,127.87717910087493,0.0002204909598706453,0.016169337057180655,1.0,2014.0,2014.0,0.944656769072468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Alaska,matched,clim_yr,13606.0,74.0,-172.7991383870443,-178.1255645751953,-49.68635050455737,-116.60568203604524,142.00303264504123,-15.596855731415914,-39.42349201889239,-2.4380239948328466,0.972566595366741,0.9022629369810643,1026.144084321272,559.4981827876838,127.87717910087493,0.0002204909598706453,0.016169337057180655,1.0,2014.0,2014.0,0.944656769072468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Alaska,full,clim_yr,13606.0,74.0,-9.795870971679676,-153.25065307617183,14.123975626627612,-64.12216879460416,98.14880592490385,-2.168062972831085,-10.974489559545276,1.4724364572784128,0.9940372558490734,0.9795767849592553,1026.144084321272,559.4981827876838,127.87717910087493,0.0002204909598706453,0.016169337057180655,1.0,2014.0,2014.0,0.944656769072468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Lena,clim_re,clim,3037.0,20.0,0.0004730224609375,-0.00015974044799804688,0.0004801750183105469,0.00018591342255890248,0.0005654260539223603,5.237548834967751e-05,-1.923681970750001e-05,5.552534101335968e-05,0.9999999999425657,1.0000001038161075,868.79067243539,51.625766378804464,136.7000175790257,0.2736252881132697,0.0023049061573921633,1.0,2015.0,2015.0,0.9519262430029635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Lena,clim_yr,clim,3037.0,20.0,0.0004730224609375,-0.00014750162756627105,0.0004730224609375,0.0001888649875180089,0.0005634013508294633,5.1595317222323825e-05,-1.7762953914401588e-05,5.552534101335968e-05,0.9999999999428981,1.0000001056087116,868.79067243539,51.625766378804464,136.7000175790257,0.2736252881132697,0.0023049061573921633,1.0,2015.0,2015.0,0.9519262430029635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Lena,matched,clim,3037.0,20.0,-26.038299560546875,-141.296630859375,7.0071228027343295,-37.77692092318991,120.97617161995697,-3.1270037931330728,-16.585985360940867,0.7586691083181111,0.5142848608410582,0.9747191260682833,868.79067243539,51.625766378804464,136.7000175790257,0.2736252881132697,0.0023049061573921633,1.0,2015.0,2015.0,0.9519262430029635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tdd_diff,Lena,full,clim,3037.0,20.0,26.9892537434896,14.580434163411496,35.45743408203123,25.758416821736557,8.916226449952797,3.2501937662640534,1.8801159508334588,3.83901647731444,0.9951861615736973,1.014527563419063,868.79067243539,51.625766378804464,136.7000175790257,0.2736252881132697,0.0023049061573921633,1.0,2015.0,2015.0,0.9519262430029635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
