region,cond,split,method,seed,n_blocks,n,coverage,width_mean,interval_score,is_under,is_over,frac_inf,n_cal,Q
Lena,noinfo,0,raw,0,20,2958,0.48782961460446245,33.57154567046012,139.4211250149174,68.53188948303094,37.31768986142636,0.0,3756.0,
Lena,noinfo,0,cqr_ak,0,20,2958,0.6105476673427992,40.12640758483237,116.27443139257687,43.18563027060722,32.96239353713729,0.0,3756.0,3.2774309571861266
Lena,noinfo,0,cqr_iw,0,20,2958,0.6179851250845165,40.465913136593365,115.30540457936648,42.07999031720191,32.75950112557122,0.0,3756.0,
Lena,noinfo,0,anchor_ak,0,20,2958,0.8475321162947937,40.39546077408035,96.39283998874505,3.42631957454069,52.57105964012401,0.0,3756.0,20.19773038704018
Lena,noinfo,0,anchor_iw,0,20,2958,0.9334009465855307,58.91993885785803,96.5199197919524,0.1868400534512417,37.413140880643155,0.0,3756.0,
Lena,covonly,0,raw,0,11,1496,0.5207219251336899,32.11955829643624,102.56441909597271,57.69469184644726,12.750168953089204,0.0,3756.0,
Lena,covonly,0,cqr_ak,0,11,1496,0.6657754010695187,38.6744202108085,82.34790906816258,33.47602022899725,10.197468628356837,0.0,3756.0,3.2774309571861266
Lena,covonly,0,cqr_iw,0,11,1496,0.6724598930481284,39.01392576256949,81.56316803817244,32.461933043518215,10.087309232084731,0.0,3756.0,
Lena,covonly,0,anchor_ak,0,11,1496,0.9124331550802139,40.395460774080355,63.607315531962264,0.7831816086045805,22.428673149277316,0.0,3756.0,20.19773038704018
Lena,covonly,0,anchor_iw,0,11,1496,0.9632352941176471,58.91993885785803,71.60396727295681,0.12830557590251404,12.555722839196276,0.0,3756.0,
Lena,covonly,0,cqr_pseudo,0,11,1496,0.1410427807486631,10.915868811752055,226.91355320953573,189.05561933484836,26.94206506293529,0.0,1462.0,-10.601844742342095
Lena,covonly,0,cqr_real,0,11,1496,0.983957219251337,68.67915997218232,74.09288778248153,0.7454302516953408,4.668297558603858,0.0,1462.0,18.27980083787304
Lena,covonly,0,anchor_pseudo,0,11,1496,0.5735294117647058,19.229945864072146,89.55949789210196,23.63256836105165,46.696983666978156,0.0,1462.0,9.614972932036075
Lena,covonly,0,anchor_real,0,11,1496,0.9625668449197861,58.14003680736653,71.11412700911676,0.14394532290434794,12.830144878845864,0.0,1462.0,29.070018403683278
Canada,noinfo,0,raw,0,36,747,0.48728246318607765,33.88409901255225,214.66193340205476,32.65845812922521,148.11937626027728,0.0,3756.0,
Canada,noinfo,0,cqr_ak,0,36,747,0.5876840696117804,40.43896092692451,191.26527542994066,20.47586430695251,130.35045019606366,0.0,3756.0,3.2774309571861266
Canada,noinfo,0,cqr_iw,0,36,747,0.5742971887550201,39.77218584750146,193.38695136979248,21.521649553394397,132.09311596889665,0.0,3756.0,
Canada,noinfo,0,anchor_ak,0,36,747,0.5528781793842035,40.395460774080355,162.09712830640638,76.90754002451432,44.79412750781172,0.0,3756.0,20.19773038704018
Canada,noinfo,0,anchor_iw,0,36,747,0.8447121820615796,67.55108488778407,110.59936168366151,21.707215751243815,21.341061044633637,0.0,3756.0,
Canada,covonly,0,raw,0,19,374,0.5026737967914439,33.404444714593204,287.08341899735706,10.441827404874935,243.23714687788893,0.0,3756.0,
Canada,covonly,0,cqr_ak,0,19,374,0.5855614973262032,39.95930662896546,264.32568399005817,7.129099699222783,217.23727766186988,0.0,3756.0,3.2774309571861266
Canada,covonly,0,cqr_iw,0,19,374,0.5775401069518716,39.29253154954241,266.4363385039558,7.3529242363769916,219.79088271803633,0.0,3756.0,
Canada,covonly,0,anchor_ak,0,19,374,0.5721925133689839,40.39546077408035,191.0015314039669,78.60884823390437,71.99722239598222,0.0,3756.0,20.19773038704018
Canada,covonly,0,anchor_iw,0,19,374,0.8048128342245989,67.55108488778406,138.7591864136146,35.97421055667585,35.23389096915469,0.0,3756.0,
Canada,covonly,0,cqr_pseudo,0,19,374,0.5641711229946524,38.07744506890932,270.44423113206363,7.873126307686023,224.49365975546831,0.0,373.0,2.336500177158058
Canada,covonly,0,cqr_real,0,19,374,0.7032085561497327,64.37648242531814,203.2258152873169,2.9240218918869627,135.92531097011175,0.0,373.0,15.486018855362474
Canada,covonly,0,anchor_pseudo,0,19,374,0.22994652406417113,15.645668081160238,315.8280689171678,165.81581435344236,134.3665864825652,0.0,373.0,7.822834040580119
Canada,covonly,0,anchor_real,0,19,374,0.8155080213903744,69.95163148268955,136.59825358927344,33.57742466932039,33.06919743726347,0.0,373.0,34.975815741344775
Russia_W,noinfo,0,raw,0,18,28,0.21428571428571427,36.150956134927185,430.9483230353174,4.136875909159899,390.6604909912303,0.0,3756.0,
Russia_W,noinfo,0,cqr_ak,0,18,28,0.32142857142857145,42.70581804929943,388.7231603353126,1.7958537968840942,344.2214884891292,0.0,3756.0,3.2774309571861266
Russia_W,noinfo,0,cqr_iw,0,18,28,0.35714285714285715,46.24422883959331,369.3444873881826,0.5321356574934276,322.56812289109587,0.0,3756.0,
Russia_W,noinfo,0,anchor_ak,0,18,28,0.39285714285714285,40.39546077408037,360.34398546079655,0.0,319.9485246867162,0.0,3756.0,20.19773038704018
Russia_W,noinfo,0,anchor_iw,0,18,28,0.5714285714285714,58.91993885785799,282.9624649782258,0.0,224.04252612036777,0.0,3756.0,
Russia_W,covonly,0,raw,0,8,12,0.3333333333333333,36.62233645730311,281.793188464378,9.652710454706432,235.51814155236843,0.0,3756.0,
Russia_W,covonly,0,cqr_ak,0,8,12,0.4166666666666667,43.17719837167537,247.2330437224284,4.190325526062886,199.8655198246901,0.0,3756.0,3.2774309571861266
Russia_W,covonly,0,cqr_iw,0,8,12,0.5,46.71560916196924,232.68236702833846,1.2416498674846643,184.7251079988845,0.0,3756.0,
Russia_W,covonly,0,anchor_ak,0,8,12,0.5833333333333334,40.395460774080355,236.87531022038888,0.0,196.47984944630852,0.0,3756.0,20.19773038704018
Russia_W,covonly,0,anchor_iw,0,8,12,0.6666666666666666,58.91993885785801,180.27237284203963,0.0,121.35243398418163,0.0,3756.0,
Russia_W,covonly,0,cqr_pseudo,0,8,12,0.3333333333333333,21.67407293303104,366.5000151019198,22.109596724933166,322.71634544395556,0.0,16.0,-7.4741317621360395
Russia_W,covonly,0,cqr_real,0,8,12,1.0,184.3937999331048,184.3937999331048,0.0,0.0,0.0,16.0,73.88573173790084
Russia_W,covonly,0,anchor_pseudo,0,8,12,0.08333333333333333,8.688020072353096,428.69535165801676,62.197500738591295,357.80983084707236,0.0,16.0,4.344010036176549
Russia_W,covonly,0,anchor_real,0,8,12,1.0,194.17314853508057,194.17314853508057,0.0,0.0,0.0,16.0,97.08657426754027
Russia_C,noinfo,0,raw,0,6,7,0.5714285714285714,35.170817164480844,542.8999208258724,1.774896269736733,505.95420739165485,0.0,3756.0,
Russia_C,noinfo,0,cqr_ak,0,6,7,0.7142857142857143,41.7256790788531,528.9517095723015,0.0,487.2260304934484,0.0,3756.0,3.2774309571861266
Russia_C,noinfo,0,cqr_iw,0,6,7,0.7142857142857143,48.01479350904242,517.2719256305213,0.0,469.25713212147883,0.0,3756.0,
Russia_C,noinfo,0,anchor_ak,0,6,7,0.42857142857142855,40.39546077408037,511.38151214866315,79.2158427411979,391.7702086333849,0.0,3756.0,20.19773038704018
Russia_C,noinfo,0,anchor_iw,0,6,7,0.5714285714285714,69.18277888408034,382.9485660327272,4.245058829547536,309.5207283190993,0.0,3756.0,
Russia_E,noinfo,0,raw,0,19,27,0.6296296296296297,34.94353019753333,196.240150811479,8.128560372329108,153.16806024161653,0.0,3756.0,
Russia_E,noinfo,0,cqr_ak,0,19,27,0.7037037037037037,41.498392111905574,181.58772024248708,3.1846095810186075,136.90471854956292,0.0,3756.0,3.2774309571861266
Russia_E,noinfo,0,cqr_iw,0,19,27,0.7407407407407407,45.03680290219945,175.13091097546678,1.0525246132463195,129.041583460021,0.0,3756.0,
Russia_E,noinfo,0,anchor_ak,0,19,27,0.8148148148148148,40.39546077408036,178.57214499050036,0.0,138.17668421641994,0.0,3756.0,20.19773038704018
Russia_E,noinfo,0,anchor_iw,0,19,27,0.8148148148148148,65.70219546808035,157.01455617709289,0.0,91.31236070901254,0.0,3756.0,
Russia_E,covonly,0,raw,0,9,12,0.5833333333333334,34.08769197845622,112.96951706383062,10.978360390187524,67.90346469518688,0.0,3756.0,
Russia_E,covonly,0,cqr_ak,0,9,12,0.75,40.64255389282847,99.11989553385126,5.316856038382441,53.160485602640364,0.0,3756.0,3.2774309571861266
Russia_E,covonly,0,cqr_iw,0,9,12,0.75,44.18096468312233,93.81227934841048,2.368180379804219,47.26313428548394,0.0,3756.0,
Russia_E,covonly,0,anchor_ak,0,9,12,0.8333333333333334,40.395460774080355,114.77977553409862,0.0,74.38431476001824,0.0,3756.0,20.19773038704018
Russia_E,covonly,0,anchor_iw,0,9,12,0.8333333333333334,65.70219546808035,97.90861907143197,0.0,32.206423603351624,0.0,3756.0,
Russia_E,covonly,0,cqr_pseudo,0,9,12,0.5,21.572233339744823,155.3364479767986,34.57210334508848,99.19211129196533,0.0,15.0,-6.257729319355697
Russia_E,covonly,0,cqr_real,0,9,12,1.0,185.7244575691354,185.7244575691354,0.0,0.0,0.0,15.0,75.81838279533959
Russia_E,covonly,0,anchor_pseudo,0,9,12,0.75,24.715593486252704,125.85328629384037,0.6202659011900143,100.51742690639769,0.0,15.0,12.35779674312635
Russia_E,covonly,0,anchor_real,0,9,12,1.0,179.3391278038026,179.3391278038026,0.0,0.0,0.0,15.0,89.66956390190131
Greenland,noinfo,0,raw,0,1,1,1.0,33.17114370525063,33.17114370525063,0.0,0.0,0.0,3756.0,
Greenland,noinfo,0,cqr_ak,0,1,1,1.0,39.72600561962288,39.72600561962288,0.0,0.0,0.0,3756.0,3.2774309571861266
Greenland,noinfo,0,cqr_iw,0,1,1,1.0,39.053557025033356,39.053557025033356,0.0,0.0,0.0,3756.0,
Greenland,noinfo,0,anchor_ak,0,1,1,0.0,40.39546077408036,47.78757758959617,0.0,7.392116815515806,0.0,3756.0,20.19773038704018
Greenland,noinfo,0,anchor_iw,0,1,1,1.0,60.25847701408034,60.25847701408034,0.0,0.0,0.0,3756.0,
Alaska,in_domain,0,raw,0,14,6494,0.6401293501693871,24.171875302325553,72.0755927018699,41.421290193613075,6.482427205931262,0.0,,
Alaska,in_domain,0,cqr_ak,0,14,6494,0.9953803510933169,71.70264365807374,72.44375237823733,0.1719097865527789,0.569198933610819,0.0,,
Alaska,in_domain,0,anchor_ak,0,14,6494,0.9936864798275331,83.89068897853664,85.05386662275704,0.43399137891024014,0.7291862653101545,0.0,,
