method,feature,group,fold,delta_rmse_cm,rmse_base_fold,n_eval
catboost_lo,dem_elev,지형,0,0.0,17.148123648013875,4716
catboost_lo,dem_elev,지형,1,0.013450924744933524,12.155033897263898,1778
catboost_lo,dem_elev,지형,2,0.012868117012622804,16.333018652917843,1778
catboost_lo,dem_elev,지형,3,-0.06791379877623242,10.89644511662368,1778
catboost_lo,dem_elev,지형,4,0.12401692050120464,11.978706140685421,1778
catboost_lo,dem_elev,지형,5,-0.09327604038451795,22.621791324781906,1778
catboost_lo,dem_slope,지형,0,0.0430663567689205,17.148123648013875,4716
catboost_lo,dem_slope,지형,1,0.006585034257683198,12.155033897263898,1778
catboost_lo,dem_slope,지형,2,0.051015306703732576,16.333018652917843,1778
catboost_lo,dem_slope,지형,3,0.02697952890186528,10.89644511662368,1778
catboost_lo,dem_slope,지형,4,-0.0016830739563321374,11.978706140685421,1778
catboost_lo,dem_slope,지형,5,-0.21765067155208442,22.621791324781906,1778
catboost_lo,dem_aspect_sin,지형,0,0.011609139745315744,17.148123648013875,4716
catboost_lo,dem_aspect_sin,지형,1,-0.007206870362665896,12.155033897263898,1778
catboost_lo,dem_aspect_sin,지형,2,0.038804657208294915,16.333018652917843,1778
catboost_lo,dem_aspect_sin,지형,3,0.0027895510753650045,10.89644511662368,1778
catboost_lo,dem_aspect_sin,지형,4,-0.008314811342647666,11.978706140685421,1778
catboost_lo,dem_aspect_sin,지형,5,-0.05229788212869337,22.621791324781906,1778
catboost_lo,dem_aspect_cos,지형,0,0.07441665980676433,17.148123648013875,4716
catboost_lo,dem_aspect_cos,지형,1,0.008693761412075673,12.155033897263898,1778
catboost_lo,dem_aspect_cos,지형,2,-0.00255127107886679,16.333018652917843,1778
catboost_lo,dem_aspect_cos,지형,3,-0.012078666176517672,10.89644511662368,1778
catboost_lo,dem_aspect_cos,지형,4,-0.028134564516502182,11.978706140685421,1778
catboost_lo,dem_aspect_cos,지형,5,0.006160627997300239,22.621791324781906,1778
catboost_lo,dem_tpi,지형,0,0.05202528444613321,17.148123648013875,4716
catboost_lo,dem_tpi,지형,1,-0.002224818778802984,12.155033897263898,1778
catboost_lo,dem_tpi,지형,2,0.12798646036406752,16.333018652917843,1778
catboost_lo,dem_tpi,지형,3,0.05379398483024715,10.89644511662368,1778
catboost_lo,dem_tpi,지형,4,0.22685034171385432,11.978706140685421,1778
catboost_lo,dem_tpi,지형,5,-0.025386881474145896,22.621791324781906,1778
catboost_lo,dem_rough,지형,0,0.0767185181311973,17.148123648013875,4716
catboost_lo,dem_rough,지형,1,0.05070585720847269,12.155033897263898,1778
catboost_lo,dem_rough,지형,2,-0.005950418416105307,16.333018652917843,1778
catboost_lo,dem_rough,지형,3,0.17662295282724133,10.89644511662368,1778
catboost_lo,dem_rough,지형,4,0.16207414995845948,11.978706140685421,1778
catboost_lo,dem_rough,지형,5,-0.1074363800581363,22.621791324781906,1778
catboost_lo,e5_maat,기후,0,0.0,17.148123648013875,4716
catboost_lo,e5_maat,기후,1,0.029171982324762525,12.155033897263898,1778
catboost_lo,e5_maat,기후,2,-0.029822348661580022,16.333018652917843,1778
catboost_lo,e5_maat,기후,3,0.13188357668326525,10.89644511662368,1778
catboost_lo,e5_maat,기후,4,-0.005249276056946961,11.978706140685421,1778
