cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,family_tag,n_cells,n_seed,range_viol,mono_viol,mono_viol_obs,n_pairs,E_iqr_pred,E_iqr_obs,E_iqr_ratio,E_med_pred,E_med_obs
covonly,Canada,alaska,x14,none,none,0.0,catboost_lo,0,1.0,direct,1152,3,0.0,0.43692474282620464,0.5381700054141851,1847,0.06809106536133373,1.0042392136289189,0.0678036312835065,1.3508024098635822,1.565576651943089
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,analytic,1152,3,0.0,0.0,0.5381700054141851,1847,2.5818908122587914e-08,1.0042392136289189,2.5709918286589015e-08,1.6166886381726535,1.565576651943089
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.25,residual,1152,3,0.0,0.17704385489983757,0.5381700054141851,1847,0.020134707536184626,1.0042392136289189,0.020049712521607123,1.5784820453295476,1.565576651943089
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.5,residual,1152,3,0.0,0.23515610900559467,0.5381700054141851,1847,0.040269409244588626,1.0042392136289189,0.04009941924003454,1.5402754551366147,1.565576651943089
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,0.75,residual,1152,3,0.0,0.2891174878180834,0.5381700054141851,1847,0.06040411095299255,1.0042392136289189,0.06014912595846188,1.5020688649436817,1.565576651943089
covonly,Canada,alaska,x14,stefan,none,0.0,catboost_lo,0,1.0,residual,1152,3,0.0,0.3477711604403537,0.5381700054141851,1847,0.08053881266139655,1.0042392136289189,0.08019883267688929,1.4638622747507488,1.565576651943089
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.0,analytic,1152,3,0.0,0.3086085544125609,0.5381700054141851,1847,0.1900932139065803,1.0042392136289189,0.1892907698950128,1.5080574251670076,1.565576651943089
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.25,residual,1152,3,0.0,0.32809962100703843,0.5381700054141851,1847,0.11853055871937553,1.0042392136289189,0.11803020347219215,1.5269364247794954,1.565576651943089
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.5,residual,1152,3,0.0,0.36834506406785783,0.5381700054141851,1847,0.08375018426715115,1.0042392136289189,0.08339664806008867,1.5388780143924325,1.565576651943089
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.75,residual,1152,3,0.0,0.4508211514167118,0.5381700054141851,1847,0.15276771928277885,1.0042392136289189,0.15212283807434426,1.5208986448538886,1.565576651943089
covonly,Canada,alaska,x25,cci_cal,none,0.0,catboost_lo,0,1.0,residual,1152,3,0.0,0.48366720808518315,0.5381700054141851,1847,0.22179156139688438,1.0042392136289189,0.22085530856280586,1.5089732450225632,1.565576651943089
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.0,analytic,1152,3,0.0,0.3086085544125609,0.5381700054141851,1847,0.8123966719751241,1.0042392136289189,0.8089672868274557,1.875327377040773,1.565576651943089
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.25,residual,1152,3,0.0,0.31203753835047826,0.5381700054141851,1847,0.6494802161356716,1.0042392136289189,0.6467385532464022,1.8268791114101528,1.565576651943089
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.5,residual,1152,3,0.0,0.34307886663057213,0.5381700054141851,1847,0.482422447652783,1.0042392136289189,0.48038598882182787,1.7789405675521959,1.565576651943089
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.75,residual,1152,3,0.0,0.43006677495037,0.5381700054141851,1847,0.34205725981351964,1.0042392136289189,0.3406133271548534,1.6957013583866811,1.565576651943089
covonly,Canada,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1.0,residual,1152,3,0.0,0.4990073993863923,0.5381700054141851,1847,0.3241493616033346,1.0042392136289189,0.3227810238877134,1.512680155351533,1.565576651943089
covonly,Canada,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.0,analytic,1152,3,0.0,0.4098538170005414,0.5381700054141851,1847,0.06093869313518452,1.0042392136289189,0.06068145149896752,1.3716482887737607,1.565576651943089
covonly,Canada,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.25,residual,1152,3,0.0,0.46381519581303016,0.5381700054141851,1847,0.0724527946559909,1.0042392136289189,0.07214694832934822,1.3547542930919585,1.565576651943089
