cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.974,14.056,17.462,-0.9336,1.2,
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.479,13.255,16.93,-0.8391,0.4,
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.976,14.026,17.467,-0.9341,0.4,
covonly,Lena,0,0,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.3,
covonly,Lena,0,0,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.154,7.431,13.062,-0.2647,1.3,
covonly,Lena,0,0,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.5,16.207,7.598,13.146,-0.273,1.3,
covonly,Lena,0,0,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.75,16.273,7.764,13.244,-0.2835,1.3,
covonly,Lena,0,0,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.353,7.931,13.346,-0.2961,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.4,
covonly,Lena,0,1,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.146,7.43,13.055,-0.2635,1.4,
covonly,Lena,0,1,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.5,16.196,7.595,13.14,-0.2714,1.4,
covonly,Lena,0,1,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.75,16.265,7.761,13.238,-0.2822,1.4,
covonly,Lena,0,1,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.351,7.927,13.341,-0.2959,1.4,
covonly,Lena,0,2,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.5,
covonly,Lena,0,2,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.14,7.416,13.048,-0.2625,1.5,
covonly,Lena,0,2,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.5,16.182,7.568,13.121,-0.2691,1.5,
covonly,Lena,0,2,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,0.75,16.24,7.721,13.208,-0.2783,1.6,
covonly,Lena,0,2,alaska,x25,stefan,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.314,7.873,13.301,-0.29,1.6,
covonly,Lena,0,0,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.6,
covonly,Lena,0,0,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.264,7.625,13.195,-0.2821,1.6,
covonly,Lena,0,0,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.5,16.422,7.985,13.395,-0.3071,1.6,
covonly,Lena,0,0,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.75,16.589,8.346,13.604,-0.3338,1.6,
covonly,Lena,0,0,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.763,8.707,13.828,-0.3619,1.6,
covonly,Lena,0,1,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.297,7.663,13.233,-0.2872,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.5,16.489,8.062,13.472,-0.3178,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.75,16.691,8.461,13.725,-0.3502,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.901,8.86,13.99,-0.3845,1.3,
covonly,Lena,0,2,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.5,
covonly,Lena,0,2,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.305,7.68,13.234,-0.2885,1.5,
covonly,Lena,0,2,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.5,16.506,8.096,13.475,-0.3205,1.5,
covonly,Lena,0,2,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,0.75,16.718,8.512,13.727,-0.3546,1.5,
covonly,Lena,0,2,alaska,x25,stefan,stefan_k2,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.94,8.928,13.996,-0.3908,1.5,
covonly,Lena,0,0,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.5,
covonly,Lena,0,0,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.03,7.151,12.901,-0.2454,1.5,
covonly,Lena,0,0,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.5,15.956,7.039,12.812,-0.234,1.5,
covonly,Lena,0,0,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.75,15.894,6.926,12.739,-0.2244,1.5,
covonly,Lena,0,0,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,1.0,15.842,6.813,12.672,-0.2165,1.5,
covonly,Lena,0,1,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.042,7.194,12.919,-0.2473,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.5,15.981,7.125,12.849,-0.2379,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.75,15.933,7.055,12.795,-0.2303,1.3,
covonly,Lena,0,1,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,1.0,15.896,6.986,12.748,-0.2246,1.3,
covonly,Lena,0,2,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.0,16.114,7.264,12.999,-0.2585,1.3,
covonly,Lena,0,2,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.25,16.026,7.17,12.9,-0.2448,1.3,
covonly,Lena,0,2,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.5,15.949,7.076,12.808,-0.2329,1.3,
covonly,Lena,0,2,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,0.75,15.882,6.982,12.734,-0.2226,1.3,
covonly,Lena,0,2,alaska,x25,stefan,stefan_soil,10.0,catboost_lo,0,1496,11,149666,13606,1.0,15.827,6.888,12.664,-0.2141,1.3,
