scope,region,method,feature,group,delta_rmse_cm,delta_rmse_sd,rmse_base,n_eval,n_blocks,n_rep,rank
noinfo,Canada,catboost_lo,sg_phh2o_5_15,토양,0.21849402416039682,0.029031076992206317,28.51866490320412,747,36,10,8
noinfo,Canada,catboost_lo,sg_soc_0_5,토양,0.04164078099740287,0.0017416879982494484,28.51866490320412,747,36,10,13
noinfo,Canada,catboost_lo,sg_soc_5_15,토양,0.03757090463121848,0.009038048857452855,28.51866490320412,747,36,10,14
noinfo,Canada,catboost_lo,sg_soc_15_30,토양,0.07463273074063466,0.03298181917879374,28.51866490320412,747,36,10,11
noinfo,Canada,catboost_lo,cci_alt,CCI,-0.953016093256726,0.08243725558180973,28.51866490320412,747,36,10,25
noinfo,Canada,catboost_lo,cci_valid,CCI,0.0,0.0,28.51866490320412,747,36,10,16
noinfo,Russia_W,catboost_lo,dem_elev,지형,0.062295777857561775,0.042503276463559496,46.27760418104666,28,18,10,5
noinfo,Russia_W,catboost_lo,dem_slope,지형,0.09529587286145187,0.10752115792214725,46.27760418104666,28,18,10,3
noinfo,Russia_W,catboost_lo,dem_aspect_sin,지형,-0.00024191370044519546,0.015521377015448671,46.27760418104666,28,18,10,14
noinfo,Russia_W,catboost_lo,dem_aspect_cos,지형,0.04119122960816881,0.024970225213563842,46.27760418104666,28,18,10,6
noinfo,Russia_W,catboost_lo,dem_tpi,지형,0.10152680069042788,0.22382685685932432,46.27760418104666,28,18,10,2
noinfo,Russia_W,catboost_lo,dem_rough,지형,0.23253092946802098,0.1570880492140671,46.27760418104666,28,18,10,1
noinfo,Russia_W,catboost_lo,e5_maat,기후,-0.00585641273257167,0.013792058416765493,46.27760418104666,28,18,10,17
noinfo,Russia_W,catboost_lo,e5_tdd,기후,-0.04570799376121641,0.009894036249383174,46.27760418104666,28,18,10,23
noinfo,Russia_W,catboost_lo,e5_fdd,기후,-0.032021708829619654,0.05528829070865163,46.27760418104666,28,18,10,22
noinfo,Russia_W,catboost_lo,e5_sqrt_tdd,기후,-0.009500113727361282,0.006217315262608975,46.27760418104666,28,18,10,19
noinfo,Russia_W,catboost_lo,e5_twarm,기후,0.016923902540105472,0.028486583252138927,46.27760418104666,28,18,10,8
noinfo,Russia_W,catboost_lo,e5_tcold,기후,-0.06169528650494342,0.05173641679775747,46.27760418104666,28,18,10,24
noinfo,Russia_W,catboost_lo,e5_stl1,기후,-0.009024862047554904,0.038786226739642306,46.27760418104666,28,18,10,18
noinfo,Russia_W,catboost_lo,e5_swe,기후,-0.08863088210186092,0.10093415531350504,46.27760418104666,28,18,10,25
noinfo,Russia_W,catboost_lo,sg_clay_5_15,토양,-0.0010345461440820713,0.05465807400023437,46.27760418104666,28,18,10,15
