target,model,mode,stratum,n,n_blocks,frac,rmse_model,rmse_stefan,delta_rmse,ci_lo,ci_hi,bias_model,bias_stefan,flag
Russia_E,ridge,direct,all,27,19,1.0,37.122,28.444,8.678,5.313,14.113,-24.912,-9.287,
Russia_E,ridge,direct,complete,27,19,1.0,37.122,28.444,8.678,5.313,14.113,-24.912,-9.287,
Russia_E,ridge,direct,aoa_in,19,13,0.704,41.69,33.379,8.311,4.778,13.885,-28.014,-13.348,
Russia_E,ridge,direct,aoa_out,8,7,0.296,22.873,9.195,13.677,5.75,20.885,-17.544,0.359,참고(n<10)
Russia_E,ridge,direct,swe_in_range,25,17,0.926,37.773,29.52,8.253,5.577,13.559,-24.886,-9.614,
Russia_E,ridge,direct,swe_out_of_range,2,2,0.074,27.722,5.424,22.298,,,-25.235,-5.194,참고(n<10)
Russia_E,ridge,direct,x25_all_in_range,3,3,0.111,9.009,6.528,2.48,-5.159,9.171,-2.103,4.535,참고(n<10)
Russia_E,ridge,direct,x25_any_out_of_range,24,17,0.889,39.245,30.081,9.164,6.168,15.244,-27.763,-11.015,
Russia_E,ridge,stefan+lam0.25,all,27,19,1.0,29.577,28.444,1.133,-1.161,2.195,-12.838,-9.287,
Russia_E,ridge,stefan+lam0.25,complete,27,19,1.0,29.577,28.444,1.133,-1.161,2.195,-12.838,-9.287,
Russia_E,ridge,stefan+lam0.25,aoa_in,19,13,0.704,34.584,33.379,1.206,-0.704,2.347,-16.654,-13.348,
Russia_E,ridge,stefan+lam0.25,aoa_out,8,7,0.296,10.576,9.195,1.381,-1.431,3.901,-3.777,0.359,참고(n<10)
Russia_E,ridge,stefan+lam0.25,swe_in_range,25,17,0.926,30.582,29.52,1.062,-0.571,2.056,-13.004,-9.614,
Russia_E,ridge,stefan+lam0.25,swe_out_of_range,2,2,0.074,10.914,5.424,5.49,,,-10.774,-5.194,참고(n<10)
Russia_E,ridge,stefan+lam0.25,x25_all_in_range,3,3,0.111,4.962,6.528,-1.566,-5.04,-0.875,2.873,4.535,참고(n<10)
Russia_E,ridge,stefan+lam0.25,x25_any_out_of_range,24,17,0.889,31.323,30.081,1.241,-0.047,2.374,-14.802,-11.015,
Russia_E,catboost_lo,direct,all,27,19,1.0,30.555,28.444,2.111,1.148,3.938,-9.023,-9.287,
Russia_E,catboost_lo,direct,complete,27,19,1.0,30.555,28.444,2.111,1.148,3.938,-9.023,-9.287,
Russia_E,catboost_lo,direct,aoa_in,19,13,0.704,34.997,33.379,1.618,0.022,2.39,-14.85,-13.348,
Russia_E,catboost_lo,direct,aoa_out,8,7,0.296,15.558,9.195,6.363,2.406,8.61,4.818,0.359,참고(n<10)
