cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.25,15.911,7.344,12.801,-0.227,1.3
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.5,15.855,7.424,12.706,-0.2183,1.3
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.75,15.947,7.504,12.683,-0.2325,1.3
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,1.0,16.185,7.585,12.712,-0.2696,1.3
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,1.2
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.25,18.045,10.454,15.263,-0.5783,1.2
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.5,20.407,13.643,17.755,-1.0184,1.2
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,0.75,23.067,16.833,20.359,-1.5789,1.2
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,0,1496,11,13606,13606,1.0,25.934,20.022,23.056,-2.2598,1.2
covonly,Lena,0,0,alaska,x25,none,none,0.0,mlp,0,1496,11,13606,13606,1.0,18.289,8.123,14.769,-0.6212,1.0
covonly,Lena,0,1,alaska,x25,none,none,0.0,mlp,0,1496,11,13606,13606,1.0,24.097,18.233,21.599,-1.8145,1.0
covonly,Lena,0,2,alaska,x25,none,none,0.0,mlp,0,1496,11,13606,13606,1.0,16.361,6.032,13.102,-0.2975,0.9
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.2
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.25,16.408,8.009,13.384,-0.3049,0.2
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.5,16.765,8.754,13.839,-0.3623,0.2
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.75,17.181,9.499,14.34,-0.4307,0.2
covonly,Lena,0,0,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,1.0,17.651,10.244,14.863,-0.5101,0.2
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.2
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.25,16.918,8.742,13.957,-0.3872,0.2
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.5,17.899,10.221,15.057,-0.5528,0.2
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.75,19.029,11.699,16.237,-0.7551,0.2
covonly,Lena,0,1,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,1.0,20.285,13.177,17.453,-0.9943,0.2
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.1
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.25,16.444,7.922,13.407,-0.3106,0.1
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.5,16.8,8.58,13.84,-0.368,0.1
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,0.75,17.181,9.238,14.295,-0.4308,0.1
covonly,Lena,0,2,alaska,x25,stefan,none,0.0,mlp,1,1496,11,13606,13606,1.0,17.586,9.896,14.77,-0.4989,0.1
covonly,Lena,0,0,alaska,x25,none,none,0.0,mlp,1,1496,11,13606,13606,1.0,19.394,12.081,16.747,-0.8231,0.2
covonly,Lena,0,1,alaska,x25,none,none,0.0,mlp,1,1496,11,13606,13606,1.0,20.39,12.992,17.753,-1.015,0.2
covonly,Lena,0,2,alaska,x25,none,none,0.0,mlp,1,1496,11,13606,13606,1.0,22.153,15.427,19.546,-1.3787,0.3
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.069,7.218,16.335,-0.1075,0.4
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.639,8.759,17.265,-0.1655,0.4
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.324,10.301,18.278,-0.237,0.4
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.114,11.842,19.351,-0.3223,0.4
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.031,7.031,16.242,-0.1037,0.4
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.529,8.386,17.048,-0.1541,0.4
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.112,9.742,17.922,-0.2147,0.4
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,23.774,11.097,18.849,-0.2853,0.4
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.152,7.352,16.413,-0.1159,0.4
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.811,9.027,17.43,-0.1833,0.4
