cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
deploy,Lena,0,1,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.231,4.47,14.805,-0.025,1.5,
deploy,Lena,0,2,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.229,4.469,14.804,-0.0248,1.3,
deploy,Lena,0,0,alaska,x25,none,ku_cal,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.815,7.63,17.396,-0.1837,1.3,
deploy,Lena,0,1,alaska,x25,none,ku_cal,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.816,7.632,17.398,-0.1838,1.3,
deploy,Lena,0,2,alaska,x25,none,ku_cal,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.816,7.634,17.398,-0.1837,1.3,
deploy,Lena,0,0,alaska,x25,none,ku_k2,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.762,8.544,17.39,-0.1782,1.5,
deploy,Lena,0,1,alaska,x25,none,ku_k2,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.768,8.544,17.395,-0.1788,1.3,
deploy,Lena,0,2,alaska,x25,none,ku_k2,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.763,8.549,17.391,-0.1782,1.5,
deploy,Lena,0,0,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,2958,20,149666,13606,1.0,25.503,14.106,21.152,-0.479,1.4,
deploy,Lena,0,1,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,2958,20,149666,13606,1.0,25.497,14.103,21.147,-0.4783,1.3,
deploy,Lena,0,2,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,2958,20,149666,13606,1.0,25.502,14.108,21.151,-0.4788,1.5,
deploy,Lena,0,0,alaska,x25,none,tddlin,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.654,5.739,15.557,-0.0663,1.3,
deploy,Lena,0,1,alaska,x25,none,tddlin,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.658,5.741,15.558,-0.0666,1.3,
deploy,Lena,0,2,alaska,x25,none,tddlin,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.657,5.742,15.561,-0.0666,1.3,
deploy,Lena,0,0,alaska,x25,none,const,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.624,8.5,17.138,-0.1639,1.3,
deploy,Lena,0,1,alaska,x25,none,const,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.627,8.498,17.139,-0.1642,1.2,
deploy,Lena,0,2,alaska,x25,none,const,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.627,8.499,17.14,-0.1642,1.5,
deploy,Lena,0,0,alaska,x25,none,const_t,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.715,5.66,15.588,-0.0722,1.5,
deploy,Lena,0,1,alaska,x25,none,const_t,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.717,5.66,15.59,-0.0724,1.6,
deploy,Lena,0,2,alaska,x25,none,const_t,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.715,5.659,15.588,-0.0722,1.6,
deploy,Lena,0,0,alaska,x25,none,shuffle,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.716,5.67,15.593,-0.0724,1.6,
deploy,Lena,0,1,alaska,x25,none,shuffle,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.721,5.668,15.595,-0.0728,1.6,
deploy,Lena,0,2,alaska,x25,none,shuffle,10.0,catboost_lo,0,2958,20,149666,13606,1.0,21.717,5.665,15.591,-0.0725,1.6,
deploy,Lena,0,0,alaska,x25,none,cci,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.443,-8.815,13.24,-0.1454,1.5,
deploy,Lena,0,1,alaska,x25,none,cci,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.447,-8.813,13.243,-0.1457,1.6,
deploy,Lena,0,2,alaska,x25,none,cci,10.0,catboost_lo,0,2958,20,149666,13606,1.0,22.442,-8.815,13.242,-0.1453,1.6,
covonly,Lena,1,0,alaska,x25,none,stefan,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.051,8.666,13.124,-0.4117,1.5,
covonly,Lena,1,1,alaska,x25,none,stefan,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.181,8.886,13.266,-0.4347,1.4,
covonly,Lena,1,2,alaska,x25,none,stefan,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.028,8.644,13.098,-0.4077,1.6,
covonly,Lena,1,0,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,17.008,10.322,14.228,-0.585,1.6,
covonly,Lena,1,1,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,17.005,10.334,14.25,-0.5845,1.5,
covonly,Lena,1,2,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.996,10.333,14.248,-0.5828,1.5,
covonly,Lena,1,0,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1478,11,149666,13606,1.0,15.783,8.372,12.834,-0.3649,1.6,
covonly,Lena,1,1,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1478,11,149666,13606,1.0,15.758,8.354,12.811,-0.3605,1.6,
covonly,Lena,1,2,alaska,x25,none,stefan_soil,10.0,catboost_lo,0,1478,11,149666,13606,1.0,15.731,8.274,12.764,-0.3559,1.6,
covonly,Lena,1,0,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1478,11,149666,13606,1.0,17.857,10.501,15.207,-0.7472,1.6,
covonly,Lena,1,1,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1478,11,149666,13606,1.0,17.846,10.508,15.196,-0.745,1.3,
covonly,Lena,1,2,alaska,x25,none,ku_cal,10.0,catboost_lo,0,1478,11,149666,13606,1.0,18.05,10.685,15.385,-0.7852,1.6,
covonly,Lena,1,0,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,17.974,11.51,15.311,-0.7702,1.4,
covonly,Lena,1,1,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,18.031,11.633,15.395,-0.7815,1.2,
covonly,Lena,1,2,alaska,x25,none,ku_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,18.001,11.527,15.338,-0.7756,1.1,
covonly,Lena,1,0,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,22.588,17.537,20.217,-1.7956,1.3,
covonly,Lena,1,1,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,22.279,17.271,19.949,-1.7198,1.2,
covonly,Lena,1,2,alaska,x25,none,edaphic_k2,10.0,catboost_lo,0,1478,11,149666,13606,1.0,22.323,17.322,20.004,-1.7304,1.3,
covonly,Lena,1,0,alaska,x25,none,tddlin,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.277,9.056,13.373,-0.4517,1.2,
covonly,Lena,1,1,alaska,x25,none,tddlin,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.27,9.011,13.372,-0.4504,1.2,
covonly,Lena,1,2,alaska,x25,none,tddlin,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.301,9.11,13.419,-0.456,1.3,
covonly,Lena,1,0,alaska,x25,none,const,10.0,catboost_lo,0,1478,11,149666,13606,1.0,18.096,12.039,15.469,-0.7942,1.1,
covonly,Lena,1,1,alaska,x25,none,const,10.0,catboost_lo,0,1478,11,149666,13606,1.0,18.108,12.058,15.479,-0.7966,1.2,
covonly,Lena,1,2,alaska,x25,none,const,10.0,catboost_lo,0,1478,11,149666,13606,1.0,18.103,12.059,15.481,-0.7958,1.1,
covonly,Lena,1,0,alaska,x25,none,const_t,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.99,10.301,14.202,-0.5817,1.2,
covonly,Lena,1,1,alaska,x25,none,const_t,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.997,10.325,14.211,-0.583,1.2,
covonly,Lena,1,2,alaska,x25,none,const_t,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.984,10.297,14.197,-0.5805,1.1,
covonly,Lena,1,0,alaska,x25,none,shuffle,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.991,10.302,14.203,-0.5819,1.1,
covonly,Lena,1,1,alaska,x25,none,shuffle,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.986,10.316,14.202,-0.5809,1.2,
covonly,Lena,1,2,alaska,x25,none,shuffle,10.0,catboost_lo,0,1478,11,149666,13606,1.0,16.99,10.307,14.204,-0.5816,1.2,
covonly,Lena,1,0,alaska,x25,none,cci,10.0,catboost_lo,0,1478,11,149666,13606,1.0,14.875,-5.578,9.532,-0.2124,1.2,
covonly,Lena,1,1,alaska,x25,none,cci,10.0,catboost_lo,0,1478,11,149666,13606,1.0,14.848,-5.686,9.482,-0.208,1.1,
covonly,Lena,1,2,alaska,x25,none,cci,10.0,catboost_lo,0,1478,11,149666,13606,1.0,14.914,-5.463,9.565,-0.2187,1.2,
covonly,Lena,2,0,alaska,x25,none,stefan,10.0,catboost_lo,0,1687,5,149666,13606,1.0,19.944,8.917,15.936,-0.2318,1.3,
covonly,Lena,2,1,alaska,x25,none,stefan,10.0,catboost_lo,0,1687,5,149666,13606,1.0,19.953,8.928,15.942,-0.2329,1.2,
covonly,Lena,2,2,alaska,x25,none,stefan,10.0,catboost_lo,0,1687,5,149666,13606,1.0,19.956,8.929,15.947,-0.2332,1.2,
covonly,Lena,2,0,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1687,5,149666,13606,1.0,20.583,10.204,16.73,-0.312,1.2,
covonly,Lena,2,1,alaska,x25,none,stefan_k2,10.0,catboost_lo,0,1687,5,149666,13606,1.0,20.563,10.176,16.708,-0.3095,1.2,
