set,stratum_var,stratum,order,n,n_blocks,y_mean,y_sd,method,rmse,rmse_lo,rmse_hi,bias,bias_lo,bias_hi,delta_vs_stefan,delta_lo,delta_hi,ci_flag
Alaska_OOF,ALT 5분위,Q1 [4–36 cm],0,2721,30,29.551625631686,4.921341348035755,stefan,14.849533597094169,9.461326537909033,28.343824577123574,10.216723566338578,5.637841708007609,26.800298306265574,0.0,0.0,0.0,ok
Alaska_OOF,ALT 5분위,Q1 [4–36 cm],0,2721,30,29.551625631686,4.921341348035755,stefan_ridge075,15.219033375250378,12.54168384825751,22.029282516261105,13.524037406650503,11.297736468236286,20.81191820909182,0.36949977815620905,-8.88303358149816,3.2522308801848694,ok
Alaska_OOF,ALT 5분위,Q1 [4–36 cm],0,2721,30,29.551625631686,4.921341348035755,catboost_lo,21.98569843764006,15.204286360567728,23.631471463034238,20.765326833024147,13.691861480893715,22.702166236537863,7.1361648405458915,-10.488156874485194,13.987839192671482,ok
Alaska_OOF,ALT 5분위,Q2 [36–44 cm],1,2721,39,40.035600853620416,2.535400560365668,stefan,10.194642214805672,8.197032789993422,17.281128089543795,2.1702093491978736,-3.1740289136677116,15.315504317696146,0.0,0.0,0.0,ok
Alaska_OOF,ALT 5분위,Q2 [36–44 cm],1,2721,39,40.035600853620416,2.535400560365668,stefan_ridge075,8.084454621462136,5.1123381967803665,12.965721124692287,4.906825734888483,2.127686967470737,11.500358885384292,-2.110187593343536,-5.606673032211364,0.0873668143129278,ok
Alaska_OOF,ALT 5분위,Q2 [36–44 cm],1,2721,39,40.035600853620416,2.535400560365668,catboost_lo,11.724015055005266,7.309695272088098,13.771508845573976,9.743546684206505,4.473638484294066,12.53068247390599,1.5293728401995939,-6.813071156524759,4.96413936547079,ok
Alaska_OOF,ALT 5분위,Q3 [44–52 cm],2,2721,46,48.05916538115622,2.2910821506577053,stefan,12.29891937627679,7.2182538188936025,14.68357623270466,-4.757299142007846,-10.63798916872301,9.553764465257142,0.0,0.0,0.0,ok
Alaska_OOF,ALT 5분위,Q3 [44–52 cm],2,2721,46,48.05916538115622,2.2910821506577053,stefan_ridge075,8.367688876618342,6.807955171517384,11.97193337986939,-1.667442250941583,-5.2591239904427445,7.698713573286066,-3.931230499658449,-6.015628531708751,0.42260159805411984,ok
Alaska_OOF,ALT 5분위,Q3 [44–52 cm],2,2721,46,48.05916538115622,2.2910821506577053,catboost_lo,7.959462200407053,6.170514790019032,10.192663000265405,3.428409321637197,-1.8731762899737425,6.307376393908437,-4.339457175869738,-5.8594548426750706,-0.5622596695677917,ok
Alaska_OOF,ALT 5분위,Q4 [52–65 cm],3,2721,44,58.25987355344901,3.7234579967060863,stefan,12.61703318535221,10.053139508492173,16.11465166381298,-1.05589996626576,-11.664342861602176,5.940189222613699,0.0,0.0,0.0,ok
Alaska_OOF,ALT 5분위,Q4 [52–65 cm],3,2721,44,58.25987355344901,3.7234579967060863,stefan_ridge075,10.390647558025496,7.911521236696544,12.588180983153592,-1.0014838095163694,-9.337205884890519,4.377397673948087,-2.2263856273267137,-4.343140569340804,0.1983203538219968,ok
Alaska_OOF,ALT 5분위,Q4 [52–65 cm],3,2721,44,58.25987355344901,3.7234579967060863,catboost_lo,9.211686949587971,7.032036980598913,12.604679086517729,-1.864052156438694,-9.031078233810625,1.9190506930011881,-3.405346235764238,-7.57373118784757,1.485855324066425,ok
Alaska_OOF,ALT 5분위,Q5 [65–202 cm],4,2722,39,76.44373346043976,13.157109509297392,stefan,20.2489070916899,13.9840730702008,34.091530772704715,-11.536212394049196,-28.646246307180093,-6.946621610182156,0.0,0.0,0.0,ok
Alaska_OOF,ALT 5분위,Q5 [65–202 cm],4,2722,39,76.44373346043976,13.157109509297392,stefan_ridge075,20.3320814916938,14.540164399562478,33.904526295793524,-12.595101286296142,-27.932745090940045,-8.069354336360428,0.08317440000389809,-2.0972191828319886,2.0706651118940465,ok
Alaska_OOF,ALT 5분위,Q5 [65–202 cm],4,2722,39,76.44373346043976,13.157109509297392,catboost_lo,22.73832817547417,17.044924531508467,36.747312578392,-15.97741954905131,-31.74115787585145,-11.993413904364347,2.4894210837842685,0.2060166069259417,5.234649834471038,ok
Alaska_OOF,고도,<100 m,0,8543,25,50.802269668437056,16.99144039413058,stefan,12.470232410037891,11.145819999390499,22.43138899957869,-2.64118387506147,-6.54665933961325,4.575700744477189,0.0,0.0,0.0,ok
Alaska_OOF,고도,<100 m,0,8543,25,50.802269668437056,16.99144039413058,stefan_ridge075,11.002171068643129,9.603012018549961,18.606262543251553,0.7644521160505854,-2.300652294023648,1.5353925092977114,-1.4680613413947619,-3.9166091543079866,-0.32963889285596876,ok
Alaska_OOF,고도,<100 m,0,8543,25,50.802269668437056,16.99144039413058,catboost_lo,15.429594843647235,10.809820360439804,19.488485191354414,6.496509779392463,-4.2533989190554875,13.008159541094036,2.9593624336093445,-2.8588680812690987,5.351470628012019,ok
Alaska_OOF,고도,100–300 m,1,1432,29,53.324696335759555,24.273792789896167,stefan,22.111641678760176,18.196518400877594,25.104365510539587,6.597095475634161,0.8718203698591642,13.836454500751627,0.0,0.0,0.0,ok
Alaska_OOF,고도,100–300 m,1,1432,29,53.324696335759555,24.273792789896167,stefan_ridge075,20.792646008195398,13.945037066875525,25.380948549977646,-0.8854029177546886,-5.7248000217685036,5.661041910178431,-1.318995670564778,-4.868594636482796,0.5048168971441925,ok
Alaska_OOF,고도,100–300 m,1,1432,29,53.324696335759555,24.273792789896167,catboost_lo,21.63845717913885,14.599675217080684,26.947761023742324,-2.525622653731086,-7.6515413593496175,3.7243677400271986,-0.47318449962132547,-4.950049872266249,2.1984105211809064,ok
Alaska_OOF,고도,300–600 m,2,1926,20,48.86691535524458,16.872164501784223,stefan,17.221785421190717,14.74372039102789,24.013465578644176,2.2619229922030812,-2.3258102545457824,12.154617346786447,0.0,0.0,0.0,ok
Alaska_OOF,고도,300–600 m,2,1926,20,48.86691535524458,16.872164501784223,stefan_ridge075,16.526362277462827,13.270812007558803,19.455778056398493,3.908737350090876,-3.579387827960695,7.740596568710428,-0.6954231437278899,-5.08997176797946,0.017720560820871277,ok
Alaska_OOF,고도,300–600 m,2,1926,20,48.86691535524458,16.872164501784223,catboost_lo,16.38543033561887,14.314802288569755,20.081761747020817,-0.12460926313576776,-8.270386146767773,4.757456875638405,-0.8363550855718458,-5.112392704602257,2.2932843416134006,ok
Alaska_OOF,고도,>600 m,3,1705,8,48.233640341601294,11.51897247838642,stefan,11.956559821130172,10.947186027089856,16.403482649634267,-2.7884522032145567,-7.9007034404221415,2.2692688154628904,0.0,0.0,0.0,ok
Alaska_OOF,고도,>600 m,3,1705,8,48.233640341601294,11.51897247838642,stefan_ridge075,11.824290105373366,10.93276063180275,16.01792677400013,-2.4555310786786353,-5.615825772262489,2.5856419788785314,-0.1322697157568058,-1.4256287568265535,0.07974013575930988,ok
Alaska_OOF,고도,>600 m,3,1705,8,48.233640341601294,11.51897247838642,catboost_lo,12.7794416062415,11.624055635113523,17.785619077885755,-4.611301636384368,-7.780091638217888,-4.060311749291441,0.8228817851113277,-0.35599703069962957,1.5751032690660338,ok
Alaska_OOF,MAAT,<−6 °C,0,9228,38,43.560382057943585,13.31252832191033,stefan,13.906055080863673,11.73734428434697,19.241303193827317,-2.986445523478291,-5.65019349109815,3.393844153524511,0.0,0.0,0.0,ok
Alaska_OOF,MAAT,<−6 °C,0,9228,38,43.560382057943585,13.31252832191033,stefan_ridge075,12.48744215884242,9.997958536541178,17.2024006344994,0.8269790248085132,-3.247328534092555,3.224400082212155,-1.4186129220212536,-3.4384470782429903,-0.5790396657498654,ok
Alaska_OOF,MAAT,<−6 °C,0,9228,38,43.560382057943585,13.31252832191033,catboost_lo,16.198525519461153,13.024759834183996,17.55834945554036,6.302015070783437,-4.464889662244485,12.005825828939283,2.29247043859748,-2.8282461051197307,4.924796132965062,ok
Alaska_OOF,MAAT,−6~−2 °C,1,619,20,51.501907949346155,18.130606240619375,stefan,21.285907358385753,18.563578133909438,28.897692525629623,9.989070623175833,6.180024456622444,22.565942849446493,0.0,0.0,0.0,ok
Alaska_OOF,MAAT,−6~−2 °C,1,619,20,51.501907949346155,18.130606240619375,stefan_ridge075,18.46703584221875,16.29424977970225,23.24765302028425,3.782054492149154,-0.20799847559079593,14.749237842753235,-2.818871516167004,-6.802951445869464,-0.6505233281204856,ok
Alaska_OOF,MAAT,−6~−2 °C,1,619,20,51.501907949346155,18.130606240619375,catboost_lo,20.202630390033924,16.672390258568516,23.12770826201488,-3.3606098099592305,-7.9683871794110415,12.291242581726317,-1.0832769683518286,-7.27599114314648,1.2092743738182061,ok
Alaska_OOF,MAAT,>−2 °C,2,3759,18,67.26946103632561,14.310419639386161,stefan,14.392490282932657,11.369169068630761,27.558157180644503,2.091312617151405,-3.2962031843556225,5.600116084154432,0.0,0.0,0.0,ok
Alaska_OOF,MAAT,>−2 °C,2,3759,18,67.26946103632561,14.310419639386161,stefan_ridge075,14.289492702905745,10.530149204328392,28.027604887791284,-0.3639502727453814,-9.082767871353578,1.7078252246598933,-0.10299758002691206,-1.803274359364352,1.1434535457324502,ok
Alaska_OOF,MAAT,>−2 °C,2,3759,18,67.26946103632561,14.310419639386161,catboost_lo,14.822682517686173,10.900158272914142,30.270630821440495,-3.270564758300807,-9.496189093053834,-1.246596773994125,0.4301922347535161,-1.1909828079226132,3.0950690524837037,ok
Alaska_OOF,SOC 0–5 cm 3분위,Q1 [100–300],0,3895,48,62.28759026599366,17.784148100371564,stefan,16.705703506644902,12.73440820793798,23.057298062809437,-1.6328808534690533,-6.259879264333333,1.0667933560025258,0.0,0.0,0.0,ok
