method,current_pooled,current_excl_bigblock,current_fold_mean,random_median,random_p05,random_p95,random_min,random_max,random_excl_bigblock_median,random_fold_mean_median,n_random,delta_vs_stefan_current,delta_vs_stefan_random_median,delta_vs_stefan_random_p05,delta_vs_stefan_random_p95,n_random_delta_negative
stefan,14.456724652001068,15.972264300231124,14.731125156425234,14.444143201402895,14.360268942514905,14.492694725372877,14.351659761364145,14.510656980033827,15.966262414880688,15.0448606710511,10,,,,,
stefan_ridge075,13.329976140284538,14.99913351276577,13.608191050840025,13.510578560434485,13.330350122893671,13.64072192562773,13.289297477439321,13.684034750223017,15.166949557712488,14.177818984455847,10,-1.1267485117165297,-0.8867268138705118,-1.138848007487129,-0.8026339887876532,10.0
ridge,13.619658636814481,15.056765222577704,13.805665238220776,13.887738257124598,13.642830543938828,14.389145426902273,13.642005329900245,14.62177582542935,15.327645717451642,14.52255274710511,10,-0.8370660151865863,-0.5254152334617155,-0.8263675864419733,-0.06489515564186596,9.0
catboost_lo,16.038445856947924,15.417390875804253,15.18885313004777,16.007496818623146,15.618048425788913,16.51665592417268,15.397796295414988,16.607481784898365,15.277325799695795,15.43225238553515,10,1.5817212049468559,1.556436213616455,1.159033318393527,2.102061816774048,0.0
