block,region,n,lat,lon,E,E_med,alt_mean,sg_clay_5_15,sg_sand_5_15,sg_silt_5_15,sg_bdod_5_15,sg_cfvo_5_15,sg_phh2o_5_15,sg_soc_0_5,sg_soc_5_15,sg_soc_15_30,e5_maat,e5_tdd,e5_fdd,e5_sqrt_tdd,e5_twarm,e5_tcold,e5_stl1,e5_swe
9200014,Alps,3,46.09553333333333,7.286633333333334,10.1799041002241,10.16631854080352,414.5532407407407,19.8,40.13333333333333,40.1,1.086666666666667,17.966666666666665,5.733333333333333,110.33333333333333,67.16666666666667,57.23333333333333,2.1729557514190674,1658.3387756347656,847.7801513671875,40.72270589775151,13.338043212890623,-9.05242919921875,3.024571657180786,0.2429709285497665
9500214,Mongolia_CAsia,6,47.767266666666664,107.30069999999999,7.201589713562337,7.871384725586452,328.68055555555554,21.98333333333333,38.050000000000004,40.03333333333333,1.2633333333333332,14.366666666666667,7.25,44.06666666666667,31.150000000000002,25.45,-0.4071782529354095,2083.0096130371094,2202.196350097656,45.64000014282548,17.794097900390625,-20.155288696289062,1.594121336936951,0.0041984315030276
9700178,Mongolia_CAsia,3,48.733399999999996,89.12920000000001,9.91826489045385,8.173881085476543,312.3333333333333,23.8,37.9,38.333333333333336,1.2433333333333334,20.7,7.433333333333333,41.233333333333334,25.0,19.2,-5.728716532389323,1059.1892089843748,3126.852940877279,32.4442315718126,10.897501627604166,-23.015416463216145,-0.14993795131643609,0.018250194688638
9900200,Mongolia_CAsia,3,49.75843333333333,100.0828,8.822318291443308,9.532039917788053,383.26984126984127,25.53333333333333,39.599999999999994,34.93333333333334,1.2133333333333332,19.599999999999998,7.333333333333333,92.56666666666666,54.56666666666666,39.63333333333333,-0.5992961724599203,1874.4840494791667,2066.278345743815,43.26594684516365,16.20849609375,-19.12511698404948,1.4548746347427368,0.0050938481775422
10000200,Mongolia_CAsia,3,50.43683333333334,100.15436666666666,11.499693510011808,11.918657708510391,441.7625661375661,26.7,42.2,31.2,1.19,16.9,7.3,78.0,44.9,27.100000000000005,-2.7658207416534424,1475.7245178222656,2459.48486328125,38.4151599999566,13.93243408203125,-20.758468627929688,0.2692794799804687,0.0085059134289622
10000201,Mongolia_CAsia,3,50.11433333333333,100.77730000000001,5.841093679131403,5.339308980260735,239.63888888888889,26.933333333333334,42.96666666666667,30.166666666666668,1.1899999999999997,17.766666666666666,7.099999999999999,78.43333333333334,43.333333333333336,32.96666666666666,-2.001249074935913,1724.2974344889324,2427.682042439779,41.50959819021212,15.275004069010416,-20.90387471516927,1.4005279541015625,0.0096853214005629
10100200,Mongolia_CAsia,4,50.654675,100.1645,9.51291657532806,9.481580392397456,341.4375,26.1,47.625,26.375,1.1675,18.5,6.550000000000001,99.975,49.425,25.85,-3.843990981578827,1288.9907836914062,2665.1455307006836,35.89625902031635,12.403221130371094,-21.42473602294922,3.6837558150291443,0.033289444632828194
10200198,Mongolia_CAsia,3,51.300466666666665,99.44546666666666,4.0595210424971055,3.8933696495336436,159.5,25.3,44.833333333333336,29.866666666666664,1.2133333333333332,16.0,7.3,98.83333333333333,65.76666666666667,50.4,-3.9741334120432534,1546.6078389485676,2969.451833089193,39.32232420788961,14.729105631510416,-24.023447672526036,-0.013020833333333334,0.012604337806502934
10200201,Mongolia_CAsia,4,51.13665,100.769575,7.926249623514399,7.121944413713323,280.81607142857143,25.1,47.3,27.65,1.1775,17.85,6.625,113.9,61.5,38.55,-3.574494957923889,1262.928123474121,2540.120082855225,35.53583227525982,11.866180419921875,-21.441661834716797,1.2924467623233795,0.010779168689623425
12099765,Canada,48,60.94533229166668,-117.22979068749999,1.6591907004866722,1.5580298532022332,75.67777777791666,21.40625,38.670833333333334,39.977083333333326,1.2425,11.752083333333331,7.260416666666667,48.78958333333333,50.00416666666666,43.520833333333336,-1.1155765963097413,2077.155590693156,2447.3447465896606,45.57543065434205,17.670125325520832,-20.35309886932373,4.346143702665965,0.02724227181170129
12099766,Canada,7,60.86837471428572,-116.7249232857143,1.765446924988003,1.7701885013308534,79.78571428571429,24.699999999999996,38.6,36.699999999999996,1.25,12.400000000000002,7.1000000000000005,66.10000000000001,85.70000000000002,62.199999999999996,-1.1126874685287476,2042.4006652832031,2411.956115722656,45.192927159935145,17.774566650390625,-19.96517944335937,4.030107975006104,0.025721453130245202
12099767,Canada,5,60.736149999999995,-116.4975486,1.6289334631226877,1.7082861081462561,73.9,24.0,40.8,35.4,1.25,12.8,7.1,49.9,57.6,51.4,-0.9638175964355467,2058.1744689941406,2373.7631225585938,45.36710778740629,17.70587158203125,-19.631851196289062,4.209683895111084,0.026380924507975502
12199673,Alaska,1512,61.284969916345055,-163.2096552677456,1.5328623720049688,1.533851289237351,64.69166770674724,14.467195767195768,36.651851851851845,48.88095238095238,0.843915343915344,3.0825396825396822,5.299999999999999,299.9502645502646,258.3227513227513,168.04603174603176,0.934445220011252,1781.1102232352766,1421.3941061837334,42.20320097590219,13.881556919642858,-13.177661007674283,3.509958494592596,0.033233049172888336
12199674,Alaska,1703,61.20261290247032,-162.78189978413997,1.6088273170806946,1.589520456176901,68.490389811991,12.7269524368761,32.06494421608925,55.26423957721668,0.86635349383441,2.6571931884908984,5.315736934820903,287.7497357604228,249.06453317674692,162.25707574867883,1.0781336475734633,1812.1126725291479,1399.9960691280667,42.56884528870603,14.123444481590392,-13.141748111386615,3.397473271286495,0.03113146179426219
12199757,Canada,143,61.30333667715618,-121.27737095984018,2.1611003582514927,2.162994652670354,98.41373626373627,16.599999999999994,43.60000000000001,39.80000000000001,1.1599999999999997,12.200000000000003,6.399999999999999,72.19999999999999,77.60000000000002,119.89999999999998,-1.0935338735580444,2073.774688720703,2438.4136962890625,45.538716371025494,17.35400390625,-20.11557006835937,4.283927917480469,0.030077943578362402
