cond,target,anchor,model,variant,lam,n,n_blocks,rmse_anchor,rmse_standard,rmse_centered,d_vs_anchor,ci_lo,ci_hi,d_vs_standard,ci2_lo,ci2_hi
noinfo,Lena,stefan,ridge,resid_centered,0.25,2958,20,21.623974469334783,21.525380057126053,22.081893941252204,0.4579194719174211,-0.10823729663472237,1.2125420296477314,0.5565138841261508,-0.8221031984354711,1.3809970057075247
noinfo,Lena,stefan,ridge,resid_centered,0.5,2958,20,21.623974469334783,22.041726514802523,22.760873000072383,1.1368985307376,-0.03598328500244577,2.7450286419676986,0.7191464852698601,-2.020911288350843,2.506644829915772
noinfo,Lena,stefan,ridge,resid_centered,1.0,2958,20,21.623974469334783,24.720015559090147,24.70328993559735,3.0793154662625675,0.6472000247882393,6.188389679799855,-0.01672562349279616,-4.965450928916812,4.054716987702792
noinfo,Lena,stefan,ridge,direct_structure,1.0,2958,20,21.623974469334783,26.18988121878257,24.911959149087853,3.2879846797530696,0.6522285523536393,6.690090966371059,-1.2779220696947178,,
noinfo,Lena,stefan,catboost_lo,resid_centered,0.25,2958,20,21.623974469334783,22.0818833609554,21.632975103297877,0.009000633963093918,-0.13488342528334316,0.11919359522469586,-0.4489082576575214,-0.8720481014050668,0.28742868800444366
noinfo,Lena,stefan,catboost_lo,resid_centered,0.5,2958,20,21.623974469334783,22.651337420596548,21.660795623362787,0.036821154028004344,-0.24683912562855506,0.26185395019552393,-0.9905417972337602,-1.7514403950889919,0.5168975561941763
noinfo,Lena,stefan,catboost_lo,resid_centered,1.0,2958,20,21.623974469334783,24.0917154861774,21.772558949619047,0.14858448028426352,-0.44049280775452565,0.6427943247991547,-2.319156536558353,-3.809797644670554,1.1771303291059236
noinfo,Lena,stefan,catboost_lo,direct_structure,1.0,2958,20,21.623974469334783,24.10332518100045,21.798609695399538,0.1746352260647548,-0.08838819726946064,0.871618147031579,-2.304715485600912,,
noinfo,Lena,stefan,catboost,resid_centered,0.25,2958,20,21.623974469334783,22.231217325252157,21.59497194276921,-0.02900252656557356,-0.18406150063801746,0.08173148825479211,-0.6362453824829473,-1.1568562467886057,0.48520566293847023
noinfo,Lena,stefan,catboost,resid_centered,0.5,2958,20,21.623974469334783,23.033541395029573,21.590570114071593,-0.03340435526319041,-0.32681384960449406,0.20215022899520355,-1.4429712809579804,-2.5634162679738663,0.25001414213465567
noinfo,Lena,stefan,catboost,resid_centered,1.0,2958,20,21.623974469334783,25.144319450520833,21.655544716844723,0.031570247509939975,-0.5930366531280722,0.5403078063973227,-3.4887747336761095,-5.526412509057196,0.30428293009264373
noinfo,Lena,stefan,catboost,direct_structure,1.0,2958,20,21.623974469334783,25.49919456771272,21.88346269100237,0.25948822166758845,0.06676743569814247,0.7022495752868577,-3.615731876710349,,
noinfo,Lena,stefan,mlp,resid_centered,0.25,2958,20,21.623974469334783,22.000409930860126,21.578224372092105,-0.04575009724267787,-0.427393053940182,0.12592556103231572,-0.422185558768021,-0.7865801246903736,0.23594297222925334
noinfo,Lena,stefan,mlp,resid_centered,0.5,2958,20,21.623974469334783,22.53783291547811,21.610635427670783,-0.013339041664000462,-0.6477581347087059,0.3484093286701211,-0.9271974878073266,-1.737862604402063,0.382066983663857
noinfo,Lena,stefan,mlp,resid_centered,1.0,2958,20,21.623974469334783,24.049282602611406,21.907716920270936,0.2837424509361526,-0.8658156354933606,1.0501100517798274,-2.1415656823404703,-3.4430458207400667,0.4528348368109555
