cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.031,7.031,16.242,-0.1037,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.529,8.386,17.048,-0.1541,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.112,9.742,17.922,-0.2147,0.4,
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,23.774,11.097,18.849,-0.2853,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.152,7.352,16.413,-0.1159,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.811,9.027,17.43,-0.1833,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.591,10.703,18.532,-0.2655,0.4,
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.479,12.378,19.699,-0.3626,0.4,
noinfo,Lena,0,0,alaska,x25,none,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.301,12.197,19.474,-0.3428,0.4,
noinfo,Lena,0,1,alaska,x25,none,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.013,11.509,19.074,-0.3113,0.4,
noinfo,Lena,0,2,alaska,x25,none,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.105,11.537,19.173,-0.3213,0.4,
noinfo,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,22.091,7.17,16.326,-0.1097,0.4,
noinfo,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,22.681,8.663,17.247,-0.1698,0.4,
noinfo,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,23.386,10.156,18.258,-0.2436,0.4,
noinfo,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,24.194,11.649,19.323,-0.3311,0.4,
noinfo,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,21.771,6.242,15.796,-0.0778,0.4,
noinfo,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.5,21.965,6.808,16.114,-0.0971,0.4,
noinfo,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.75,22.207,7.374,16.46,-0.1214,0.4,
noinfo,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,1.0,22.494,7.939,16.833,-0.1505,0.4,
noinfo,Lena,0,2,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.4,
noinfo,Lena,0,2,alaska,x14,stefan,none,0.0,catboost_lo,0,2958,20,13606,13606,0.25,21.977,7.125,16.211,-0.0983,0.4,
