cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
covonly,Lena,alaska,x25,stefan,none,0.0,ridge,0,0.5,16.718,,16.71758070260004,3.853,1496,11,1,3,0.03333333333333333,main
covonly,Lena,alaska,x25,stefan,none,0.0,ridge,0,0.75,17.719,,17.719371577354124,2.147,1496,11,1,3,0.03333333333333333,main
covonly,Lena,alaska,x25,stefan,none,0.0,ridge,0,1.0,19.102,,19.101514886008246,0.441,1496,11,1,3,0.03333333333333333,main
covonly,Lena,alaska,x25,stefan_cci,none,0.0,ridge,0,0.0,14.568,,14.567517056791306,0.124,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_cci,none,0.0,ridge,0,0.25,15.324,,15.323804683560393,-0.247,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_cci,none,0.0,ridge,0,0.5,16.372,,16.371804926008643,-0.619,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_cci,none,0.0,ridge,0,0.75,17.66,,17.65965947763506,-0.9899999999999999,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_cci,none,0.0,ridge,0,1.0,19.139,,19.13901039688684,-1.361,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_med,none,0.0,ridge,0,0.0,16.158,,16.15779118476379,7.361,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_med,none,0.0,ridge,0,0.25,16.193,,16.192825433644696,5.633,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_med,none,0.0,ridge,0,0.5,16.73,,16.729784203680794,3.905,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_med,none,0.0,ridge,0,0.75,17.723,,17.72310548132412,2.178,1496,11,1,3,0.0,main
covonly,Lena,alaska,x25,stefan_med,none,0.0,ridge,0,1.0,19.102,,19.10172664252453,0.45,1496,11,1,3,0.0,main
labels,Alaska,alaska,x14,stefan,none,0.0,catboost_lo,0,0.0,14.731166666666667,4.372661405444819,14.73112545419231,0.3658333333333333,4716,1,6,3,0.3111111111111111,alaska
labels,Alaska,alaska,x14,stefan,none,0.0,catboost_lo,0,0.25,14.257555555555555,4.5459291076579555,14.255021671361822,0.4798333333333333,4716,1,6,3,0.3111111111111111,alaska
labels,Alaska,alaska,x14,stefan,none,0.0,catboost_lo,0,0.5,14.089888888888888,4.635016138850804,14.079338842923965,0.5939444444444444,4716,1,6,3,0.3111111111111111,alaska
labels,Alaska,alaska,x14,stefan,none,0.0,catboost_lo,0,0.75,14.246666666666664,4.614660276408944,14.223728096745608,0.7080000000000001,4716,1,6,3,0.31666666666666665,alaska
labels,Alaska,alaska,x14,stefan,none,0.0,catboost_lo,0,1.0,14.697444444444443,4.561171845853586,14.659177931613987,0.8220555555555555,4716,1,6,3,0.31666666666666665,alaska
labels,Alaska,alaska,x25,none,none,0.0,catboost,0,1.0,14.434666666666667,4.735547651070101,14.373807400148891,-1.372777777777778,4716,1,6,3,1.2888888888888888,alaska
labels,Alaska,alaska,x25,none,none,0.0,catboost_lo,0,1.0,15.237944444444445,4.437587504823197,15.188853146801655,0.23194444444444443,4716,1,6,3,0.3,alaska
labels,Alaska,alaska,x25,none,none,0.0,ridge,0,1.0,13.805666666666667,4.421706668998597,13.805637043929968,0.7296666666666667,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan,none,0.0,ridge,0,0.0,14.731166666666667,4.372661405444819,14.73112545419231,0.3658333333333333,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan,none,0.0,ridge,0,0.25,14.099166666666667,4.426477128221343,14.098981882968141,0.40399999999999997,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan,none,0.0,ridge,0,0.5,13.713500000000002,4.492399659424794,13.713425592526638,0.44199999999999995,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan,none,0.0,ridge,0,0.75,13.607999999999999,4.523762725873231,13.608156121752387,0.4803333333333333,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan,none,0.0,ridge,0,1.0,13.793666666666667,4.507292476272942,13.79345461896152,0.5185000000000001,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_cci,none,0.0,ridge,0,0.0,16.19483333333333,5.107457622601157,16.194683668222655,-0.6021666666666667,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_cci,none,0.0,ridge,0,0.25,14.916666666666666,4.7214766616670545,14.916694342256582,-0.2923333333333335,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_cci,none,0.0,ridge,0,0.5,14.010833333333332,4.600149363517088,14.010677811364099,0.01733333333333333,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_cci,none,0.0,ridge,0,0.75,13.613,4.547581818945098,13.612966866987025,0.32749999999999996,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_cci,none,0.0,ridge,0,1.0,13.799666666666667,4.44951312692374,13.799681024819032,0.6371666666666665,4716,1,6,3,0.0,alaska
labels,Alaska,alaska,x25,stefan_med,none,0.0,ridge,0,0.0,14.805666666666667,4.336818680400032,14.805657838420144,0.5105000000000001,4716,1,6,3,0.0,alaska
