cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,0.5,30.778,-10.133,23.414,0.0839,144.8
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,0.75,31.665,-11.549,24.065,0.0304,144.8
covonly,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13606,13606,1.0,32.688,-12.964,24.902,-0.0333,144.8
covonly,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13606,13606,0.0,28.52,1.342,21.883,0.2134,146.2
covonly,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13606,13606,0.25,28.737,-2.639,21.809,0.2014,146.2
covonly,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13606,13606,0.5,29.57,-6.62,22.204,0.1544,146.2
covonly,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13606,13606,0.75,30.97,-10.601,23.198,0.0724,146.2
covonly,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13606,13606,1.0,32.866,-14.582,24.75,-0.0446,146.2
noinfo,Canada,0,0,alaska,x25,none,none,0.0,realmlp,0,747,36,13606,13606,1.0,30.359,-9.576,22.011,-0.0212,146.3
noinfo,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,747,36,13606,13606,0.0,26.504,2.307,21.303,0.2217,144.3
noinfo,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,747,36,13606,13606,0.25,26.482,0.746,21.041,0.223,144.3
noinfo,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,747,36,13606,13606,0.5,26.667,-0.815,20.958,0.212,144.3
noinfo,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,747,36,13606,13606,0.75,27.056,-2.376,21.023,0.1889,144.3
noinfo,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,747,36,13606,13606,1.0,27.638,-3.937,21.254,0.1536,144.3
noinfo,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,747,36,13606,13606,0.0,25.719,6.336,20.539,0.2671,147.9
noinfo,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,747,36,13606,13606,0.25,25.561,3.154,20.063,0.2761,147.9
noinfo,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,747,36,13606,13606,0.5,25.956,-0.028,19.995,0.2535,147.9
noinfo,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,747,36,13606,13606,0.75,26.881,-3.211,20.416,0.1993,147.9
noinfo,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,747,36,13606,13606,1.0,28.285,-6.393,21.333,0.1136,147.9
labels,Canada,0,0,alaska,x25,none,none,0.0,realmlp,0,374,19,13981,13981,1.0,30.057,-6.062,22.936,0.1263,151.8
labels,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13981,13981,0.0,29.601,-7.776,22.686,0.1526,151.5
labels,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13981,13981,0.25,29.254,-7.347,22.461,0.1724,151.5
labels,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13981,13981,0.5,29.149,-6.917,22.464,0.1783,151.5
labels,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13981,13981,0.75,29.287,-6.487,22.683,0.1705,151.5
labels,Canada,0,0,alaska,x25,stefan,none,0.0,realmlp,0,374,19,13981,13981,1.0,29.667,-6.058,23.04,0.1489,151.5
labels,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13981,13981,0.0,28.512,1.106,21.863,0.2138,151.5
labels,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13981,13981,0.25,28.426,-1.288,21.619,0.2186,151.5
labels,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13981,13981,0.5,28.831,-3.681,21.873,0.1962,151.5
labels,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13981,13981,0.75,29.706,-6.074,22.598,0.1466,151.5
labels,Canada,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,374,19,13981,13981,1.0,31.012,-8.468,23.848,0.0699,151.5
covonly,Russia_W,0,0,alaska,x25,none,none,0.0,realmlp,0,12,8,13606,13606,1.0,34.756,-27.786,29.154,-1.0806,148.6
covonly,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13606,13606,0.0,32.717,-21.746,26.497,-0.8436,148.2
covonly,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13606,13606,0.25,34.365,-23.043,27.968,-1.0341,148.2
covonly,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13606,13606,0.5,36.106,-24.34,29.636,-1.2454,148.2
covonly,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13606,13606,0.75,37.927,-25.637,31.476,-1.4777,148.2
covonly,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,12,8,13606,13606,1.0,39.818,-26.934,33.42,-1.7308,148.2
covonly,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13606,13606,0.0,32.35,-16.525,25.413,-0.8026,147.8
covonly,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13606,13606,0.25,32.294,-18.39,25.164,-0.7963,147.8
covonly,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13606,13606,0.5,32.493,-20.255,25.342,-0.8186,147.8
covonly,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13606,13606,0.75,32.944,-22.12,25.521,-0.8693,147.8
covonly,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,12,8,13606,13606,1.0,33.635,-23.985,25.699,-0.9486,147.8
noinfo,Russia_W,0,0,alaska,x25,none,none,0.0,realmlp,0,28,18,13606,13606,1.0,47.857,-38.366,40.26,-1.8852,147.5
noinfo,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,28,18,13606,13606,0.0,42.456,-32.366,34.764,-1.2707,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,28,18,13606,13606,0.25,43.808,-33.557,36.05,-1.4177,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,28,18,13606,13606,0.5,45.233,-34.748,37.421,-1.5775,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,28,18,13606,13606,0.75,46.722,-35.939,38.865,-1.75,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan,none,0.0,realmlp,0,28,18,13606,13606,1.0,48.271,-37.13,40.354,-1.9354,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,28,18,13606,13606,0.0,41.444,-29.514,33.723,-1.1638,148.3
noinfo,Russia_W,0,0,alaska,x25,stefan_cci,none,0.0,realmlp,0,28,18,13606,13606,0.25,42.867,-31.407,34.66,-1.3149,148.3
