Event,macro,lat,lon,n_years,year_min,year_max,alt_mean,alt_sd,alt_min,alt_max,alt_sd_detr,se_multiyear,cv
CALM_C6,Canada,68.9667,-133.55,11,1990,2000,83.18181818181819,5.2691210238175765,75.0,91.0,5.441609239104836,1.5886997646342,0.06334462433004737
CALM_C7A,Canada,68.6847,-134.1458,30,1992,2024,136.56666666666666,9.672867610801461,115.0,157.0,8.004824203734515,1.766015928732354,0.07082890610789452
CALM_C7B,Canada,68.6847,-134.1458,8,2000,2008,110.5,6.546536707079773,101.0,121.0,7.06929982388638,2.314550249431379,0.05924467608216989
CALM_C8A,Canada,67.795,-134.1261,22,1992,2022,109.54545454545455,4.3504490488232275,102.0,119.0,4.265818453343842,0.927518853677696,0.03971364276934067
CALM_C8B,Canada,67.795,-134.1261,15,1998,2015,78.73333333333333,4.0964560757992245,71.0,85.0,4.150290161531886,1.0577004106693724,0.05202950138610361
CALM_C9A,Canada,65.6736,-128.8292,14,1992,2005,56.57142857142857,4.718446382416173,48.0,62.0,2.876009139663621,1.2610578400617325,0.08340688049725559
CALM_CH1,Alps,46.4288,9.8218,32,1990,2021,405.59375,131.01904795646837,327.0,841.0,96.98400560079678,23.16111431865606,0.3230302438251782
CALM_CH10,Alps,45.9823,7.676,15,2006,2022,368.93333333333334,81.04449101456265,273.0,533.0,65.81017431773199,20.92559760008385,0.21967245486419223
CALM_CH11,Alps,46.4988,9.9252,25,1997,2022,484.64,63.56747071681658,317.0,517.0,50.841246345746214,12.713494143363317,0.1311643090063069
CALM_CH12,Alps,46.1747,7.8498,20,2002,2022,378.85,32.290254355080414,317.0,475.0,32.25085446130812,7.220320374871843,0.08523229340129447
CALM_CH2,Alps,46.5583,7.8344,24,1999,2022,721.5,273.84571981477,441.0,1304.0,152.0497884964595,55.898523482612944,0.3795505472138184
CALM_CH3,Alps,46.1061,7.2843,22,1999,2023,538.5,95.41575690978232,370.0,667.0,19.62587056392534,20.342707724778375,0.1771880351156589
CALM_CH4,Alps,45.9868,7.8242,21,2001,2023,392.95238095238096,72.52067028818487,288.0,528.0,47.09869657299373,15.82530766878772,0.18455332962334978
CALM_CH5,Alps,46.0968,7.2731,15,2009,2023,414.0,33.770232031014686,383.0,490.0,18.757298945644077,8.719436416912009,0.08157060877056688
CALM_CH6,Alps,46.109,7.5484,9,2007,2015,713.7777777777778,51.02640928425638,645.0,787.0,22.32729129357124,17.00880309475213,0.07148780877308646
