cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.619,11.591,-0.2991,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.99,12.562,-0.5115,0.0
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.619,11.591,-0.2991,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.99,12.562,-0.5115,0.0
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0
covonly,Lena,0,0,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,1,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,2,alaska,x25,none,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.353,-3.04,13.42,-0.8153,0.0
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,21.942,16.484,19.507,-1.3335,2.4
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,22.476,16.768,19.778,-1.4484,1.6
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost,0,1496,11,13606,13606,1.0,21.204,15.206,18.467,-1.1792,1.6
covonly,Lena,0,0,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.974,14.056,17.462,-0.9336,0.4
covonly,Lena,0,1,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.479,13.255,16.93,-0.8391,0.4
covonly,Lena,0,2,alaska,x25,none,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.976,14.026,17.467,-0.9341,0.4
covonly,Lena,0,0,alaska,x25,none,stefan,10.0,catboost,0,1496,11,149666,13606,1.0,16.525,8.236,13.538,-0.3236,3.8
covonly,Lena,0,1,alaska,x25,none,stefan,10.0,catboost,0,1496,11,149666,13606,1.0,16.579,8.353,13.599,-0.3322,2.9
covonly,Lena,0,2,alaska,x25,none,stefan,10.0,catboost,0,1496,11,149666,13606,1.0,16.468,8.185,13.469,-0.3144,3.5
covonly,Lena,0,0,alaska,x25,none,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.48,8.128,13.499,-0.3164,0.8
covonly,Lena,0,1,alaska,x25,none,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.488,8.164,13.525,-0.3177,0.9
covonly,Lena,0,2,alaska,x25,none,stefan,10.0,catboost_lo,0,1496,11,149666,13606,1.0,16.477,8.141,13.495,-0.3159,0.9
covonly,Lena,0,0,alaska,x25,none,const,10.0,catboost,0,1496,11,149666,13606,1.0,18.171,11.198,15.468,-0.6004,3.0
covonly,Lena,0,1,alaska,x25,none,const,10.0,catboost,0,1496,11,149666,13606,1.0,18.243,11.287,15.542,-0.6131,3.1
covonly,Lena,0,2,alaska,x25,none,const,10.0,catboost,0,1496,11,149666,13606,1.0,18.182,11.241,15.498,-0.6023,3.2
covonly,Lena,0,0,alaska,x25,none,ku_cal,10.0,catboost,0,1496,11,149666,13606,1.0,18.427,9.997,15.749,-0.6458,3.2
covonly,Lena,0,1,alaska,x25,none,ku_cal,10.0,catboost,0,1496,11,149666,13606,1.0,18.49,10.098,15.816,-0.6571,2.8
covonly,Lena,0,2,alaska,x25,none,ku_cal,10.0,catboost,0,1496,11,149666,13606,1.0,18.437,10.051,15.759,-0.6476,2.7
covonly,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.2
covonly,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.768,8.51,13.803,-0.3627,0.2
covonly,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,17.512,9.756,14.696,-0.4865,0.2
covonly,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.337,11.003,15.645,-0.6296,0.2
covonly,Lena,0,0,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.23,12.249,16.625,-0.7923,0.2
covonly,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.2
covonly,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.246,7.504,13.137,-0.2792,0.2
covonly,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,16.406,7.744,13.306,-0.3046,0.2
covonly,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,16.594,7.984,13.494,-0.3347,0.2
covonly,Lena,0,1,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,16.809,8.224,13.7,-0.3694,0.2
covonly,Lena,0,2,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.114,7.264,12.999,-0.2585,0.2
covonly,Lena,0,2,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.619,8.449,13.658,-0.3387,0.2
covonly,Lena,0,2,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,17.209,9.634,14.411,-0.4354,0.2
covonly,Lena,0,2,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,17.875,10.819,15.213,-0.5486,0.2
covonly,Lena,0,2,alaska,x14,stefan,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,18.609,12.004,16.059,-0.6784,0.2
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.0
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.25,21.525,2.82,14.828,-0.0536,0.0
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.5,22.042,-0.036,14.661,-0.1048,0.0
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.75,23.132,-2.892,15.046,-0.2167,0.0
noinfo,Lena,0,0,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,1.0,24.72,-5.748,15.951,-0.3895,0.0
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.0
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.25,21.525,2.82,14.828,-0.0536,0.0
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.5,22.042,-0.036,14.661,-0.1048,0.0
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.75,23.132,-2.892,15.046,-0.2167,0.0
noinfo,Lena,0,1,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,1.0,24.72,-5.748,15.951,-0.3895,0.0
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.0,21.624,5.676,15.517,-0.0633,0.0
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.25,21.525,2.82,14.828,-0.0536,0.0
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.5,22.042,-0.036,14.661,-0.1048,0.0
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,0.75,23.132,-2.892,15.046,-0.2167,0.0
noinfo,Lena,0,2,alaska,x25,stefan,none,0.0,ridge,0,2958,20,13606,13606,1.0,24.72,-5.748,15.951,-0.3895,0.0
noinfo,Lena,0,0,alaska,x25,stefan_med,none,0.0,ridge,0,2958,20,13606,13606,0.0,21.65,5.775,15.566,-0.0659,0.0
noinfo,Lena,0,0,alaska,x25,stefan_med,none,0.0,ridge,0,2958,20,13606,13606,0.25,21.535,2.897,14.858,-0.0546,0.0
