scheme,model,seed,n_folds,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,rmse_fold_mean_cm,rmse_fold_sd_cm,nnd_median_km,W_km,max_fold_share
block_0.5_canonical,stefan,1,6,13606,14.457,10.731,-0.993,0.3083,17.382,0.1683,14.731,4.373,28.37,60.319,0.3466
block_0.5_canonical,ridge,1,6,13606,13.62,10.005,1.546,0.386,17.382,0.2164,13.806,4.422,28.37,60.319,0.3466
block_0.5_canonical,catboost_lo,1,6,13606,15.508,11.462,2.361,0.2039,17.382,0.1078,14.96,4.411,28.37,60.319,0.3466
block_0.5_canonical,stefan_ridge_l075,1,6,13606,13.33,9.752,0.634,0.4119,17.382,0.2331,13.608,4.524,28.37,60.319,0.3466
block_0.5_canonical,stefan,2,6,13606,14.457,10.731,-0.993,0.3083,17.382,0.1683,14.731,4.373,28.37,60.319,0.3466
block_0.5_canonical,ridge,2,6,13606,13.62,10.005,1.546,0.386,17.382,0.2164,13.806,4.422,28.37,60.319,0.3466
block_0.5_canonical,catboost_lo,2,6,13606,16.633,12.736,3.641,0.0843,17.382,0.0431,15.531,4.484,28.37,60.319,0.3466
block_0.5_canonical,stefan_ridge_l075,2,6,13606,13.33,9.752,0.634,0.4119,17.382,0.2331,13.608,4.524,28.37,60.319,0.3466
block_1.0,stefan,0,6,13606,14.436,10.711,-1.022,0.3102,17.382,0.1695,14.881,4.791,31.933,59.799,0.3466
block_1.0,ridge,0,6,13606,13.969,10.315,1.607,0.3542,17.382,0.1964,14.363,4.898,31.933,59.799,0.3466
block_1.0,catboost_lo,0,6,13606,16.52,12.667,3.63,0.0967,17.382,0.0496,15.916,4.413,31.933,59.799,0.3466
block_1.0,stefan_ridge_l075,0,6,13606,13.578,9.971,0.67,0.3898,17.382,0.2189,14.053,4.973,31.933,59.799,0.3466
block_1.0,stefan,1,6,13606,14.455,10.73,-0.998,0.3084,17.382,0.1684,14.454,4.853,31.089,54.048,0.3466
block_1.0,ridge,1,6,13606,13.901,10.185,1.301,0.3604,17.382,0.2003,13.936,4.731,31.089,54.048,0.3466
block_1.0,catboost_lo,1,6,13606,15.495,11.458,2.356,0.2053,17.382,0.1086,14.84,4.413,31.089,54.048,0.3466
block_1.0,stefan_ridge_l075,1,6,13606,13.558,9.909,0.454,0.3916,17.382,0.22,13.668,4.817,31.089,54.048,0.3466
block_1.0,stefan,2,6,13606,14.441,10.72,-0.961,0.3097,17.382,0.1692,14.805,4.743,31.154,60.376,0.3466
block_1.0,ridge,2,6,13606,13.811,10.2,1.388,0.3686,17.382,0.2054,14.208,4.593,31.154,60.376,0.3466
block_1.0,catboost_lo,2,6,13606,16.81,13.035,3.819,0.0648,17.382,0.0329,16.03,4.299,31.154,60.376,0.3466
