cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,regime
deploy,Alps,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,0.5,333.56600000000003,,333.5651402619129,-323.39233333333334,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,0.75,333.00033333333334,,332.99831848118777,-322.87833333333333,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1.0,332.43766666666664,,332.43387046530313,-322.365,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,0.0,334.212,,334.2120499461976,-324.353,8,4,1,3,0.3333333333333333,deep
deploy,Alps,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,0.25,333.73066666666665,,333.73034545578884,-323.93966666666665,8,4,1,3,0.3333333333333333,deep
deploy,Alps,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,0.5,333.2513333333333,,333.25049969253,-323.52666666666664,8,4,1,3,0.3333333333333333,deep
deploy,Alps,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,0.75,332.77433333333335,,332.7725206970702,-323.1136666666667,8,4,1,3,0.3333333333333333,deep
deploy,Alps,alaska,x25,stefan_k2,none,0.0,catboost_lo,0,1.0,332.29966666666667,,332.2964165249505,-322.7006666666667,8,4,1,3,0.3333333333333333,deep
deploy,Alps,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,0.0,333.941,,333.9408847620118,-324.134,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,0.25,334.2823333333333,,334.28197794205755,-324.49466666666666,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,0.5,334.625,,334.62405802021533,-324.85566666666665,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,0.75,334.969,,334.96712197292123,-325.2163333333333,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_ku,none,0.0,catboost_lo,0,1.0,335.3143333333333,,335.31116678030656,-325.57733333333334,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_ku_cci,none,0.0,catboost_lo,0,0.0,335.104,,335.1038200056218,-324.53,8,4,1,3,0.3,deep
deploy,Alps,alaska,x25,stefan_ku_cci,none,0.0,catboost_lo,0,0.25,335.18966666666665,,335.1891722008432,-324.68966666666665,8,4,1,3,0.3,deep
deploy,Alps,alaska,x25,stefan_ku_cci,none,0.0,catboost_lo,0,0.5,335.2796666666666,,335.2780702290837,-324.849,8,4,1,3,0.3,deep
deploy,Alps,alaska,x25,stefan_ku_cci,none,0.0,catboost_lo,0,0.75,335.3736666666667,,335.37051127061824,-325.00866666666667,8,4,1,3,0.3,deep
deploy,Alps,alaska,x25,stefan_ku_cci,none,0.0,catboost_lo,0,1.0,335.4723333333333,,335.4664923965118,-325.16766666666666,8,4,1,3,0.3,deep
deploy,Alps,alaska,x25,stefan_med,none,0.0,catboost_lo,0,0.0,333.831,,333.83114969211294,-324.021,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_med,none,0.0,catboost_lo,0,0.25,333.71166666666664,,333.7112550213682,-323.95133333333337,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_med,none,0.0,catboost_lo,0,0.5,333.5946666666667,,333.59377541028925,-323.8806666666667,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_med,none,0.0,catboost_lo,0,0.75,333.48033333333336,,333.47871341124545,-323.811,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_med,none,0.0,catboost_lo,0,1.0,333.36899999999997,,333.3660715275684,-323.74066666666664,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_soil,none,0.0,catboost_lo,0,0.0,343.682,,343.6824256551007,-333.442,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_soil,none,0.0,catboost_lo,0,0.25,342.82166666666666,,342.82176944224875,-332.5933333333333,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_soil,none,0.0,catboost_lo,0,0.5,341.96399999999994,,341.9635255219944,-331.74466666666666,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_soil,none,0.0,catboost_lo,0,0.75,341.109,,341.10771210268155,-330.8963333333333,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_soil,none,0.0,catboost_lo,0,1.0,340.2563333333333,,340.2543475240204,-330.04733333333337,8,4,1,3,0.3666666666666667,deep
deploy,Alps,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,0.0,341.042,,341.0424961792493,-329.383,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,0.25,340.551,,340.5505625702637,-329.01800000000003,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,0.5,340.0686666666667,,340.0673861252635,-328.65366666666665,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,0.75,339.5953333333334,,339.5930042236017,-328.289,8,4,1,3,0.4000000000000001,deep
deploy,Alps,alaska,x25,stefan_soil_cci,none,0.0,catboost_lo,0,1.0,339.13166666666666,,339.12745377151265,-327.9243333333333,8,4,1,3,0.4000000000000001,deep
deploy,Mongolia_CAsia,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.0,242.88700000000003,,242.88742032204715,-212.74799999999996,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.25,243.69333333333336,,243.69274617018058,-213.72033333333334,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.5,244.51733333333334,,244.5155025988289,-214.69266666666667,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,cci_cal,none,0.0,catboost_lo,0,0.75,245.35933333333332,,245.35551425692546,-215.66566666666668,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,cci_cal,none,0.0,catboost_lo,0,1.0,246.21966666666665,,246.21260453382845,-216.63833333333332,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.0,204.713,,204.71283989508572,-166.681,43,19,1,3,0.3333333333333333,deep
deploy,Mongolia_CAsia,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.25,208.91833333333332,,208.91727885017923,-172.48833333333334,43,19,1,3,0.3333333333333333,deep
deploy,Mongolia_CAsia,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.5,213.28233333333333,,213.27961150907603,-178.29533333333333,43,19,1,3,0.3333333333333333,deep
deploy,Mongolia_CAsia,alaska,x25,cci_raw,none,0.0,catboost_lo,0,0.75,217.79666666666665,,217.7903502632923,-184.10266666666666,43,19,1,3,0.3333333333333333,deep
deploy,Mongolia_CAsia,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1.0,222.45166666666668,,222.44046697756906,-189.90933333333336,43,19,1,3,0.3333333333333333,deep
deploy,Mongolia_CAsia,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.0,271.844,,271.84378671905023,-242.63700000000003,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.25,271.63433333333336,,271.6338357576901,-242.49633333333335,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.5,271.4286666666667,,271.4267008618537,-242.35533333333333,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,emap_cb,none,0.0,catboost_lo,0,0.75,271.2266666666667,,271.22238848350213,-242.21433333333334,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,emap_cb,none,0.0,catboost_lo,0,1.0,271.02833333333336,,271.0209050060022,-242.073,43,19,1,3,0.3666666666666667,deep
deploy,Mongolia_CAsia,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.0,259.328,,259.3276973418804,-228.88,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.25,259.68266666666665,,259.68227481664826,-229.36066666666667,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.5,260.04133333333334,,260.04032919397986,-229.84166666666667,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,0.75,260.404,,260.4018461315788,-230.3226666666667,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,emap_ridge,none,0.0,catboost_lo,0,1.0,260.77066666666667,,260.76681122837005,-230.8036666666667,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,ku_cal,none,0.0,catboost_lo,0,0.0,238.14700000000002,,238.14671395776602,-204.808,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,ku_cal,none,0.0,catboost_lo,0,0.25,240.13933333333333,,240.13908503423522,-207.125,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,ku_cal,none,0.0,catboost_lo,0,0.5,242.14133333333334,,242.14004711951696,-209.442,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,ku_cal,none,0.0,catboost_lo,0,0.75,244.15133333333333,,244.14938898708886,-211.75900000000001,43,19,1,3,0.3,deep
deploy,Mongolia_CAsia,alaska,x25,ku_cal,none,0.0,catboost_lo,0,1.0,246.17100000000002,,246.16690543665771,-214.07600000000002,43,19,1,3,0.3,deep
