cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,16.485,-7.016,10.619,-0.3171,0.3,
covonly,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,14.902,-0.837,10.316,-0.0763,0.3,
covonly,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,15.813,5.341,12.49,-0.2119,0.3,
covonly,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,18.859,11.52,16.195,-0.7239,0.3,
covonly,Lena,0,2,alaska,x25,cci_raw,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,23.216,17.698,20.827,-1.6123,0.3,
covonly,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,15.799,6.44,12.595,-0.2099,0.3,
covonly,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.939,8.588,14.031,-0.3907,0.3,
covonly,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,18.31,10.736,15.672,-0.6248,0.3,
covonly,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,19.864,12.883,17.415,-0.9124,0.3,
covonly,Lena,0,0,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,21.562,15.031,19.232,-1.2534,0.3,
covonly,Lena,0,1,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,15.799,6.44,12.595,-0.2099,0.3,
covonly,Lena,0,1,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,16.831,8.416,13.872,-0.373,0.3,
covonly,Lena,0,1,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,18.054,10.391,15.306,-0.5798,0.3,
covonly,Lena,0,1,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,19.434,12.367,16.848,-0.8305,0.3,
covonly,Lena,0,1,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,20.938,14.342,18.458,-1.1249,0.3,
covonly,Lena,0,2,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,15.799,6.44,12.595,-0.2099,0.4,
covonly,Lena,0,2,alaska,x25,stefan_cci_cal,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,17.078,8.866,14.204,-0.4136,0.4,
