cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,1,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.0,16.141,7.324,13.033,-0.2628,0.4,
covonly,Lena,0,1,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.25,16.481,8.354,13.522,-0.3165,0.4,
covonly,Lena,0,1,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.5,16.903,9.384,14.104,-0.3848,0.4,
covonly,Lena,0,1,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.75,17.401,10.414,14.743,-0.4676,0.4,
covonly,Lena,0,1,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,1.0,17.968,11.444,15.413,-0.5648,0.4,
covonly,Lena,0,2,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.0,16.141,7.324,13.033,-0.2628,0.4,
covonly,Lena,0,2,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.25,16.349,7.97,13.318,-0.2955,0.4,
covonly,Lena,0,2,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.5,16.59,8.616,13.642,-0.3339,0.4,
covonly,Lena,0,2,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,0.75,16.862,9.262,14.002,-0.378,0.4,
covonly,Lena,0,2,loro_main,x25,stefan,none,0.0,catboost_lo,0,1496,11,14427,14427,1.0,17.163,9.908,14.386,-0.4278,0.4,
covonly,Lena,0,0,loro_main,x25,none,none,0.0,catboost_lo,0,1496,11,14427,14427,1.0,20.253,14.825,17.971,-0.988,0.5,
covonly,Lena,0,1,loro_main,x25,none,none,0.0,catboost_lo,0,1496,11,14427,14427,1.0,18.606,12.447,16.042,-0.6779,0.4,
