cond,target,split,seed,dset,xset,anchor,pseudo,r,resid,iw,n,n_blocks,n_train,n_train_real,lam,rmse_cm,bias_cm,mae_cm,r2,fit_s,error
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,0.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.618,11.591,-0.2991,0.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.989,12.562,-0.5115,0.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0,
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,0.0,
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0,
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.618,11.591,-0.2991,0.0,
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.989,12.562,-0.5115,0.0,
covonly,Lena,0,1,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0,
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,0.0,
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.25,15.324,-0.247,10.794,-0.1381,0.0,
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.5,16.372,-0.618,11.591,-0.2991,0.0,
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,0.75,17.66,-0.989,12.562,-0.5115,0.0,
covonly,Lena,0,2,alaska,x25,stefan_cci,none,0.0,ridge,0,1496,11,13606,13606,1.0,19.139,-1.361,13.664,-0.7754,0.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.0,14.568,0.124,10.218,-0.0286,1.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.25,15.029,3.114,11.328,-0.0948,1.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.5,16.102,6.103,12.884,-0.2567,1.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,0.75,17.675,9.093,14.844,-0.5142,1.0,
covonly,Lena,0,0,alaska,x25,stefan_cci,none,0.0,catboost_lo,0,1496,11,13606,13606,1.0,19.628,12.082,17.092,-0.8673,1.0,
