region,cond,split,method,seed,n_blocks,n,coverage,width_mean,interval_score,is_under,is_over,frac_inf,n_cal,Q
Lena,noinfo,0,raw,0,20,2958,0.16666666666666666,16.77393786878336,308.40779345008525,245.59703859185333,46.03681698944853,0.0,3756.0,
Lena,noinfo,0,cqr_ak,0,20,2958,0.3343475321162948,31.550791875136593,212.11706308965742,145.0105560607221,35.5557151537987,0.0,3756.0,7.388427003176616
Lena,noinfo,0,cqr_iw,0,20,2958,0.3755916159567275,34.65073268612961,195.19052953952195,126.82271476868796,33.71708208470437,0.0,3756.0,
Lena,noinfo,0,anchor_ak,0,20,2958,0.8475321162947937,40.39546077408035,96.39283998874505,3.42631957454069,52.57105964012401,0.0,3756.0,20.19773038704018
Lena,noinfo,0,anchor_iw,0,20,2958,0.9334009465855307,58.91993885785803,96.5199197919524,0.1868400534512417,37.413140880643155,0.0,3756.0,
Lena,covonly,0,raw,0,11,1496,0.16176470588235295,15.19690438385198,283.51604537246806,251.44528929677696,16.873851691839082,0.0,3756.0,
Lena,covonly,0,cqr_ak,0,11,1496,0.34558823529411764,29.973758390205212,186.88028979189434,145.88278507244763,11.023746329241503,0.0,3756.0,7.388427003176616
Lena,covonly,0,cqr_iw,0,11,1496,0.38836898395721925,33.07369920119824,170.3468583413983,127.1959313681522,10.077227772047873,0.0,3756.0,
Lena,covonly,0,anchor_ak,0,11,1496,0.9124331550802139,40.395460774080355,63.607315531962264,0.7831816086045805,22.428673149277316,0.0,3756.0,20.19773038704018
Lena,covonly,0,anchor_iw,0,11,1496,0.9632352941176471,58.91993885785803,71.60396727295681,0.12830557590251404,12.555722839196276,0.0,3756.0,
Lena,covonly,0,cqr_pseudo,0,11,1496,0.3589572192513369,30.789226313594394,182.40688726196487,140.84466010359355,10.773000844776917,0.0,1462.0,7.796160964871206
Lena,covonly,0,cqr_real,0,11,1496,0.9264705882352942,78.14645900739976,87.67519972666872,5.737388794557154,3.791351924711818,0.0,1462.0,31.474777311773884
Lena,covonly,0,anchor_pseudo,0,11,1496,0.5735294117647058,19.229945864072146,89.55949789210196,23.63256836105165,46.696983666978156,0.0,1462.0,9.614972932036075
Lena,covonly,0,anchor_real,0,11,1496,0.9625668449197861,58.14003680736653,71.11412700911676,0.14394532290434794,12.830144878845864,0.0,1462.0,29.070018403683278
Lena,covonly,1,raw,0,11,1478,0.15358592692828146,15.400999355549676,289.02078185420964,259.9440178850547,13.675764613605276,0.0,3756.0,
Lena,covonly,1,cqr_ak,0,11,1478,0.33152909336941816,30.17785336190291,190.97366161475043,151.73176556358933,9.064042689258189,0.0,3756.0,7.388427003176616
Lena,covonly,1,cqr_iw,0,11,1478,0.37550744248985113,33.27779417289592,174.0149627870285,132.44915982207831,8.288008792054255,0.0,3756.0,
Lena,covonly,1,anchor_ak,0,11,1478,0.9276048714479026,40.395460774080355,59.16236756357521,0.9735547559345079,17.793352033560346,0.0,3756.0,20.19773038704018
Lena,covonly,1,anchor_iw,0,11,1478,0.9702300405953992,58.91993885785803,69.13656108900874,0.13936035420239162,10.07726187694832,0.0,3756.0,
Lena,covonly,1,cqr_pseudo,0,11,1478,0.3342354533152909,30.373786668230583,189.86148560167373,150.47270585402342,9.014993079419735,0.0,1480.0,7.486393656340454
Lena,covonly,1,cqr_real,0,11,1478,0.925575101488498,78.2179001687062,87.82390550911217,6.325325921051495,3.280679419354483,0.0,1480.0,31.408450406578257
Lena,covonly,1,anchor_pseudo,0,11,1478,0.587956698240866,19.229945864072143,81.35845179791889,24.91567144897171,37.21283448487502,0.0,1480.0,9.614972932036075
Lena,covonly,1,anchor_real,0,11,1478,0.9722598105548038,60.606962105778265,70.33648749321661,0.1052478322564518,9.624277555181909,0.0,1480.0,30.303481052889126
Lena,covonly,2,raw,0,5,1687,0.13989330171902786,16.934460390585826,339.5504605004423,291.61588544794097,31.000114661915443,0.0,3756.0,
Lena,covonly,2,cqr_ak,0,5,1687,0.27385892116182575,31.711314396939056,237.21079268626488,182.94601994061082,22.55345834871501,0.0,3756.0,7.388427003176616
Lena,covonly,2,cqr_iw,0,5,1687,0.3094250148192057,34.811255207932085,218.25988730729034,162.41124850205415,21.03738359730411,0.0,3756.0,
Lena,covonly,2,anchor_ak,0,5,1687,0.8429164196799052,40.395460774080355,78.70424745890374,5.137245962263471,33.171540722559904,0.0,3756.0,20.19773038704018
Lena,covonly,2,anchor_iw,0,5,1687,0.949021932424422,58.91993885785802,80.74923230252607,0.09057513408288476,21.738718310585167,0.0,3756.0,
Lena,covonly,2,cqr_pseudo,0,5,1687,0.26318909306461175,30.139012250727916,247.12743811958828,193.64781084056247,23.34061502829785,0.0,1271.0,6.602275930071045
Lena,covonly,2,cqr_real,0,5,1687,0.7694131594546533,68.53476449174602,101.84349739071001,23.13667779621161,10.17205510275238,0.0,1271.0,25.800152050580095
Lena,covonly,2,anchor_pseudo,0,5,1687,0.4985180794309425,20.01701806780184,119.84460624206764,43.87310201095751,55.954486163308296,0.0,1271.0,10.008509033900921
Lena,covonly,2,anchor_real,0,5,1687,0.9324244220509781,53.43866731338938,78.43874824884621,0.4222451181226404,24.577835817334194,0.0,1271.0,26.7193336566947
Canada,noinfo,0,raw,0,36,747,0.20080321285140562,12.838333676702874,309.33546898053015,86.72757979388871,209.76955550993853,0.0,3756.0,
Canada,noinfo,0,cqr_ak,0,36,747,0.42168674698795183,27.615187683056103,222.57656314847506,35.0039600932268,159.95741537219217,0.0,3756.0,7.388427003176616
Canada,noinfo,0,cqr_iw,0,36,747,0.3668005354752343,24.181096461390144,239.97032391384258,45.09478185931971,170.69444559313268,0.0,3756.0,
